,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612737,ATL,Atlanta Hawks,0040900214,2010-05-10T00:00:00,ATL vs. ORL,L,48.0,30,74,0.405,3,12,0.25,21,29,0.724,8,22,30,17,8.0,6,2,6,22,23,84,-14.0,1,5,5,5,1,9,11,7,7,7,8,2,2,8,11,8,11,4,1,5,8,9,6,3,8,7
1,2009-10,1610612737,ATL,Atlanta Hawks,0040900213,2010-05-08T00:00:00,ATL vs. ORL,L,48.0,29,83,0.349,4,15,0.267,13,19,0.684,12,22,34,9,8.0,6,0,5,24,16,75,-30.0,1,5,5,5,1,10,2,10,6,4,7,9,8,11,5,8,9,11,1,5,11,7,7,11,10,10
2,2009-10,1610612737,ATL,Atlanta Hawks,0040900212,2010-05-06T00:00:00,ATL @ ORL,L,48.0,31,75,0.413,6,11,0.545,30,31,0.968,16,25,41,16,12.0,4,2,3,29,24,98,-14.0,1,5,5,5,1,7,10,6,2,8,1,1,1,1,3,6,3,5,4,10,8,3,10,1,3,7
3,2009-10,1610612737,ATL,Atlanta Hawks,0040900211,2010-05-04T00:00:00,ATL @ ORL,L,48.0,28,81,0.346,2,13,0.154,13,18,0.722,10,25,35,12,16.0,9,4,7,24,17,71,-43.0,1,5,5,5,1,11,4,11,10,6,11,9,10,9,9,6,8,10,11,2,7,11,7,10,11,11
4,2009-10,1610612737,ATL,Atlanta Hawks,0040900127,2010-05-02T00:00:00,ATL vs. MIL,W,48.0,36,76,0.474,6,16,0.375,17,21,0.81,17,38,55,21,12.0,1,8,2,21,20,95,21.0,1,1,1,1,1,4,8,4,2,2,4,5,5,4,2,1,1,2,4,11,2,2,5,8,5,1
5,2009-10,1610612737,ATL,Atlanta Hawks,0040900126,2010-04-30T00:00:00,ATL @ MIL,W,48.0,31,81,0.383,5,16,0.313,16,22,0.727,15,36,51,15,12.0,5,6,3,15,24,83,14.0,1,1,1,1,1,7,4,9,5,2,5,7,4,7,4,2,2,8,4,8,5,3,3,1,9,2
6,2009-10,1610612737,ATL,Atlanta Hawks,0040900125,2010-04-28T00:00:00,ATL vs. MIL,L,48.0,36,83,0.434,2,11,0.182,13,17,0.765,12,27,39,16,14.0,6,8,3,25,21,87,-4.0,1,5,5,5,1,4,2,5,10,8,10,9,11,5,5,5,7,5,10,5,2,3,9,5,7,5
7,2009-10,1610612737,ATL,Atlanta Hawks,0040900124,2010-04-26T00:00:00,ATL @ MIL,L,48.0,38,80,0.475,10,19,0.526,18,21,0.857,12,21,33,14,12.0,5,2,3,29,21,104,-7.0,1,5,5,5,1,2,6,2,1,1,3,3,5,2,5,10,10,9,4,8,8,3,10,5,1,6
8,2009-10,1610612737,ATL,Atlanta Hawks,0040900123,2010-04-24T00:00:00,ATL @ MIL,L,48.0,34,87,0.391,3,15,0.2,18,25,0.72,20,21,41,16,12.0,11,5,5,13,22,89,-18.0,1,5,5,5,1,6,1,8,7,4,9,3,3,10,1,10,3,5,4,1,6,7,1,4,6,9
9,2009-10,1610612737,ATL,Atlanta Hawks,0040900122,2010-04-20T00:00:00,ATL vs. MIL,W,48.0,38,80,0.475,3,11,0.273,17,20,0.85,10,30,40,26,10.0,9,8,6,14,21,96,10.0,1,1,1,1,1,2,6,2,7,8,6,5,7,3,9,3,5,1,3,2,2,9,2,5,4,3
10,2009-10,1610612737,ATL,Atlanta Hawks,0040900121,2010-04-17T00:00:00,ATL vs. MIL,W,48.0,41,76,0.539,6,11,0.545,14,19,0.737,11,29,40,18,13.0,8,11,1,17,18,102,10.0,1,1,1,1,1,1,8,1,2,8,1,8,8,6,8,4,5,3,9,4,1,1,4,9,2,3
11,2009-10,1610612737,ATL,Atlanta Hawks,0020901217,2010-04-14T00:00:00,ATL vs. CLE,W,48.0,43,79,0.544,2,11,0.182,11,17,0.647,9,33,42,26,19.0,9,2,2,22,18,99,16.0,1,1,1,1,8,15,52,6,78,81,75,74,70,69,54,24,38,15,80,21,73,11,58,45,49,14
12,2009-10,1610612737,ATL,Atlanta Hawks,0020901207,2010-04-12T00:00:00,ATL @ MIL,W,48.0,39,74,0.527,7,16,0.438,19,27,0.704,11,37,48,17,12.0,4,11,1,21,22,104,8.0,1,1,1,1,8,36,72,16,29,50,21,31,24,57,43,3,13,64,38,67,1,4,47,19,35,33
13,2009-10,1610612737,ATL,Atlanta Hawks,0020901189,2010-04-10T00:00:00,ATL @ WAS,W,48.0,40,74,0.541,9,18,0.5,16,18,0.889,8,23,31,22,12.0,7,8,4,15,17,105,10.0,1,1,1,1,8,29,72,12,5,31,9,47,65,11,64,74,76,35,38,35,9,39,6,56,29,29
14,2009-10,1610612737,ATL,Atlanta Hawks,0020901176,2010-04-09T00:00:00,ATL vs. TOR,W,48.0,36,88,0.409,8,25,0.32,27,30,0.9,18,31,49,24,10.0,8,7,3,21,21,107,6.0,1,1,1,1,8,59,17,67,16,3,53,5,8,7,7,36,11,25,25,28,10,22,47,24,26,37
15,2009-10,1610612737,ATL,Atlanta Hawks,0020901160,2010-04-07T00:00:00,ATL @ DET,L,48.0,36,83,0.434,2,17,0.118,14,23,0.609,15,33,48,21,14.0,9,7,6,17,16,88,-2.0,1,54,54,54,8,59,39,57,78,42,81,62,45,76,16,24,13,41,54,21,10,57,16,62,69,56
16,2009-10,1610612737,ATL,Atlanta Hawks,0020901149,2010-04-06T00:00:00,ATL @ CHA,L,48.0,40,84,0.476,8,19,0.421,12,13,0.923,12,23,35,24,11.0,3,5,8,24,18,100,-9.0,1,54,54,54,8,29,36,38,16,26,26,72,77,4,35,74,66,25,30,72,33,71,68,45,45,73
17,2009-10,1610612737,ATL,Atlanta Hawks,0020901133,2010-04-03T00:00:00,ATL vs. DET,W,48.0,35,73,0.479,7,15,0.467,14,21,0.667,14,36,50,20,14.0,2,4,2,16,18,91,6.0,1,1,1,1,8,66,77,37,29,61,17,62,51,64,23,5,8,52,54,76,44,11,10,45,65,37
18,2009-10,1610612737,ATL,Atlanta Hawks,0020901126,2010-04-02T00:00:00,ATL @ CLE,L,48.0,37,90,0.411,5,18,0.278,9,15,0.6,9,27,36,19,7.0,6,5,9,22,16,88,-5.0,1,54,54,54,8,50,9,64,55,31,60,76,72,77,54,56,63,56,3,48,33,78,58,62,69,62
19,2009-10,1610612737,ATL,Atlanta Hawks,0020901107,2010-03-31T00:00:00,ATL vs. LAL,W,48.0,45,83,0.542,9,22,0.409,10,15,0.667,11,28,39,21,5.0,6,2,0,20,16,109,17.0,1,1,1,1,8,9,39,9,5,11,30,75,72,64,43,52,52,41,1,48,73,1,37,62,21,13
20,2009-10,1610612737,ATL,Atlanta Hawks,0020901089,2010-03-28T00:00:00,ATL vs. IND,W,48.0,39,87,0.448,3,16,0.188,13,18,0.722,14,39,53,24,12.0,4,1,5,12,18,94,10.0,1,1,1,1,8,36,25,51,73,50,74,70,65,53,23,2,2,25,38,67,81,47,2,45,60,29
21,2009-10,1610612737,ATL,Atlanta Hawks,0020901074,2010-03-26T00:00:00,ATL @ PHI,L,48.0,37,78,0.474,7,18,0.389,17,21,0.81,14,25,39,18,19.0,5,3,3,17,18,98,-7.0,1,54,54,54,8,50,58,40,29,31,36,41,51,27,23,67,52,60,80,58,57,22,16,45,52,66
22,2009-10,1610612737,ATL,Atlanta Hawks,0020901057,2010-03-24T00:00:00,ATL vs. ORL,W,48.0,31,76,0.408,7,13,0.538,17,20,0.85,3,35,38,21,11.0,9,5,8,24,17,86,2.0,1,1,1,1,8,76,68,68,29,75,6,41,56,16,81,10,59,41,30,21,33,71,68,56,73,50
23,2009-10,1610612737,ATL,Atlanta Hawks,0020901046,2010-03-22T00:00:00,ATL @ MIL,L,48.0,41,78,0.526,7,17,0.412,6,13,0.462,7,29,36,15,8.0,4,7,2,17,14,95,-3.0,1,54,54,54,8,24,58,17,29,42,29,80,77,80,70,48,63,72,9,67,10,11,16,77,59,57
24,2009-10,1610612737,ATL,Atlanta Hawks,0020901038,2010-03-21T00:00:00,ATL vs. SAS,W,53.0,46,98,0.469,4,17,0.235,23,28,0.821,21,30,51,25,11.0,7,0,3,22,20,119,5.0,1,1,1,1,1,4,2,42,64,42,67,12,17,23,2,40,4,20,30,35,82,22,58,31,7,44
25,2009-10,1610612737,ATL,Atlanta Hawks,0020901020,2010-03-19T00:00:00,ATL vs. CHA,W,53.0,36,86,0.419,4,13,0.308,17,22,0.773,18,33,51,16,17.0,11,3,4,14,16,93,1.0,1,1,1,1,1,59,30,62,64,75,54,41,48,36,7,24,4,67,74,10,57,39,4,62,63,52
26,2009-10,1610612737,ATL,Atlanta Hawks,0020901008,2010-03-17T00:00:00,ATL @ TOR,L,48.0,41,85,0.482,11,18,0.611,12,18,0.667,7,35,42,22,11.0,2,9,1,23,20,105,-1.0,1,54,54,54,8,24,31,33,2,31,2,72,65,64,70,10,38,35,30,76,6,4,64,31,29,54
27,2009-10,1610612737,ATL,Atlanta Hawks,0020901000,2010-03-16T00:00:00,ATL @ NJN,W,48.0,42,85,0.494,8,15,0.533,16,24,0.667,10,37,47,24,7.0,7,4,3,21,18,108,24.0,1,1,1,1,8,21,31,29,16,61,7,47,41,64,50,3,17,25,3,35,44,22,47,45,22,6
