,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612751,NJN,New Jersey Nets,0020901222,2010-04-14T00:00:00,NJN @ MIA,L,58.0,29,80,0.363,5,19,0.263,23,32,0.719,15,39,54,12,20.0,3,5,8,15,26,86,-8.0,1,13,13,13,1,71,43,76,23,13,52,18,7,61,9,2,2,73,74,73,26,69,6,4,60,30
1,2009-10,1610612751,NJN,New Jersey Nets,0020901205,2010-04-12T00:00:00,NJN vs. CHA,L,48.0,35,89,0.393,4,24,0.167,21,25,0.84,15,28,43,18,11.0,8,4,5,17,19,95,-10.0,1,13,13,13,3,29,7,56,43,1,73,31,37,20,9,44,22,43,12,23,45,33,18,44,28,39
2,2009-10,1610612751,NJN,New Jersey Nets,0020901188,2010-04-10T00:00:00,NJN @ IND,L,48.0,43,82,0.524,2,11,0.182,14,17,0.824,13,27,40,21,19.0,6,6,6,18,13,102,-13.0,1,13,13,13,3,4,29,5,69,58,72,65,73,26,18,51,35,24,71,42,18,49,20,80,15,54
3,2009-10,1610612751,NJN,New Jersey Nets,0020901181,2010-04-09T00:00:00,NJN vs. CHI,W,58.0,49,105,0.467,5,21,0.238,24,32,0.75,13,42,55,26,11.0,9,5,9,24,26,127,11.0,1,1,1,1,1,1,1,17,23,6,57,11,7,52,18,1,1,6,12,16,26,77,66,4,1,5
4,2009-10,1610612751,NJN,New Jersey Nets,0020901162,2010-04-07T00:00:00,NJN @ MIL,L,48.0,30,76,0.395,7,16,0.438,22,26,0.846,7,27,34,14,13.0,5,4,6,20,21,89,-19.0,1,13,13,13,3,62,58,55,9,28,17,24,35,16,70,51,65,66,26,59,45,49,37,31,47,66
5,2009-10,1610612751,NJN,New Jersey Nets,0020901146,2010-04-04T00:00:00,NJN @ WAS,L,48.0,36,74,0.486,4,10,0.4,23,28,0.821,6,24,30,14,15.0,9,5,3,25,17,99,-10.0,1,13,13,13,3,26,64,14,43,65,22,18,20,28,79,66,79,66,47,16,26,13,74,61,19,39
6,2009-10,1610612751,NJN,New Jersey Nets,0020901134,2010-04-03T00:00:00,NJN vs. NOH,W,48.0,46,79,0.582,4,9,0.444,19,22,0.864,9,36,45,34,16.0,10,10,6,15,17,115,28.0,1,1,1,1,3,2,47,1,43,71,15,41,49,11,52,9,12,1,54,10,1,49,6,61,3,1
7,2009-10,1610612751,NJN,New Jersey Nets,0020901113,2010-03-31T00:00:00,NJN vs. PHX,L,48.0,42,86,0.488,7,20,0.35,14,16,0.875,10,24,34,28,12.0,3,5,3,18,17,105,-11.0,1,13,13,13,3,7,14,13,9,8,31,65,77,9,42,66,65,4,20,73,26,13,20,61,7,49
8,2009-10,1610612751,NJN,New Jersey Nets,0020901098,2010-03-29T00:00:00,NJN vs. SAS,W,48.0,32,85,0.376,5,19,0.263,21,24,0.875,10,33,43,19,4.0,6,2,4,19,19,90,6.0,1,1,1,1,3,51,16,72,23,13,52,31,43,9,42,12,22,37,1,42,68,20,26,44,45,10
9,2009-10,1610612751,NJN,New Jersey Nets,0020901083,2010-03-27T00:00:00,NJN @ CHI,L,48.0,29,81,0.358,10,22,0.455,15,21,0.714,10,32,42,16,9.0,3,9,4,24,16,83,-23.0,1,13,13,13,3,71,32,78,2,4,12,60,52,62,42,16,27,54,7,73,4,20,66,70,69,73
10,2009-10,1610612751,NJN,New Jersey Nets,0020901077,2010-03-26T00:00:00,NJN vs. DET,W,48.0,40,70,0.571,8,20,0.4,30,36,0.833,8,32,40,30,15.0,6,4,1,16,25,118,8.0,1,1,1,1,3,11,75,2,6,8,22,4,5,21,58,16,35,2,47,42,45,2,12,7,2,8
11,2009-10,1610612751,NJN,New Jersey Nets,0020901062,2010-03-24T00:00:00,NJN vs. SAC,W,48.0,32,82,0.39,6,14,0.429,23,28,0.821,13,37,50,23,8.0,10,6,5,20,20,93,14.0,1,1,1,1,3,51,29,60,15,40,18,18,20,28,18,7,5,12,4,10,18,33,37,37,35,4
12,2009-10,1610612751,NJN,New Jersey Nets,0020901044,2010-03-22T00:00:00,NJN vs. MIA,L,48.0,27,72,0.375,5,9,0.556,30,38,0.789,13,29,42,19,14.0,4,3,5,16,22,89,-10.0,1,13,13,13,3,78,71,73,23,71,4,4,4,42,18,36,27,37,35,69,58,33,12,23,47,39
13,2009-10,1610612751,NJN,New Jersey Nets,0020901031,2010-03-20T00:00:00,NJN vs. TOR,L,48.0,33,83,0.398,4,17,0.235,20,28,0.714,16,26,42,22,13.0,6,4,4,13,25,90,-10.0,1,13,13,13,3,45,23,52,43,22,58,33,20,62,5,54,27,20,26,42,45,20,2,7,45,39
14,2009-10,1610612751,NJN,New Jersey Nets,0020901007,2010-03-17T00:00:00,NJN @ PHI,L,48.0,34,83,0.41,6,16,0.375,23,24,0.958,10,26,36,15,12.0,6,0,10,23,18,97,-11.0,1,13,13,13,3,33,23,48,15,28,26,18,43,1,42,54,57,62,20,42,82,80,62,53,23,49
15,2009-10,1610612751,NJN,New Jersey Nets,0020901000,2010-03-16T00:00:00,NJN vs. ATL,L,48.0,30,78,0.385,4,14,0.286,20,28,0.714,13,32,45,19,16.0,2,3,4,18,21,84,-24.0,1,13,13,13,3,62,52,64,43,40,46,33,20,62,18,16,12,37,54,77,58,20,20,31,66,76
16,2009-10,1610612751,NJN,New Jersey Nets,0020900980,2010-03-13T00:00:00,NJN @ HOU,L,48.0,41,76,0.539,9,15,0.6,17,26,0.654,7,24,31,22,15.0,7,5,1,19,22,108,-8.0,1,13,13,13,3,9,58,3,3,33,1,48,35,76,70,66,77,20,47,33,26,2,26,23,5,30
17,2009-10,1610612751,NJN,New Jersey Nets,0020900972,2010-03-12T00:00:00,NJN @ OKC,L,48.0,40,87,0.46,6,19,0.316,16,19,0.842,11,25,36,22,12.0,9,2,4,19,17,102,-2.0,1,13,13,13,3,11,9,20,15,13,37,50,64,19,34,57,57,20,20,16,68,20,26,61,15,14
18,2009-10,1610612751,NJN,New Jersey Nets,0020900959,2010-03-10T00:00:00,NJN @ DAL,L,48.0,34,83,0.41,6,20,0.3,13,18,0.722,13,31,44,17,13.0,6,2,7,25,18,87,-9.0,1,13,13,13,3,33,23,48,15,8,41,72,69,57,18,22,17,49,26,42,68,60,74,53,54,34
19,2009-10,1610612751,NJN,New Jersey Nets,0020900942,2010-03-08T00:00:00,NJN @ MEM,L,48.0,39,85,0.459,7,23,0.304,16,24,0.667,12,33,45,23,14.0,6,9,5,20,18,101,-6.0,1,13,13,13,3,14,16,22,9,3,40,50,43,75,29,12,12,12,35,42,4,33,37,53,17,26
20,2009-10,1610612751,NJN,New Jersey Nets,0020900927,2010-03-06T00:00:00,NJN @ NYK,W,48.0,43,86,0.5,14,24,0.583,13,18,0.722,11,32,43,23,11.0,6,7,5,16,20,113,20.0,1,1,1,1,3,4,14,10,1,1,2,72,69,57,34,16,22,12,12,42,13,33,12,37,4,2
21,2009-10,1610612751,NJN,New Jersey Nets,0020900920,2010-03-05T00:00:00,NJN vs. ORL,L,48.0,32,80,0.4,4,11,0.364,19,20,0.95,8,30,38,23,14.0,6,6,5,20,15,87,-10.0,1,13,13,13,3,51,43,50,43,58,28,41,57,2,58,31,49,12,35,42,18,33,37,76,54,39
22,2009-10,1610612751,NJN,New Jersey Nets,0020900902,2010-03-03T00:00:00,NJN vs. CLE,L,48.0,33,84,0.393,6,18,0.333,20,28,0.714,16,23,39,16,17.0,7,3,6,14,19,92,-19.0,1,13,13,13,3,45,19,57,15,18,32,33,20,62,5,71,40,54,62,33,58,49,3,44,40,66
23,2009-10,1610612751,NJN,New Jersey Nets,0020900881,2010-02-28T00:00:00,NJN vs. WAS,L,48.0,32,91,0.352,3,14,0.214,18,24,0.75,19,29,48,21,11.0,5,7,5,21,22,85,-4.0,1,13,13,13,3,51,4,81,56,40,66,45,43,52,2,36,7,24,12,59,13,33,45,23,62,20
24,2009-10,1610612751,NJN,New Jersey Nets,0020900871,2010-02-27T00:00:00,NJN @ BOS,W,48.0,32,72,0.444,6,13,0.462,34,41,0.829,10,25,35,15,16.0,12,5,3,11,29,104,8.0,1,1,1,1,3,51,71,30,15,49,11,1,2,23,42,57,61,62,54,7,26,13,1,2,9,8
