,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612738,BOS,Boston Celtics,0040900407,2010-06-17T00:00:00,BOS @ LAL,L,48.0,29,71,0.408,6,16,0.375,15,17,0.882,8,32,40,18,15.0,6,7,3,25,19,79,-4.0,1,16,16,16,2,22,20,23,10,11,11,21,22,1,13,7,11,21,13,17,2,4,11,20,23,16
1,2009-10,1610612738,BOS,Boston Celtics,0040900406,2010-06-15T00:00:00,BOS @ LAL,L,48.0,28,84,0.333,5,23,0.217,6,10,0.6,11,28,39,17,14.0,8,4,8,21,17,67,-22.0,1,16,16,16,2,24,1,24,13,1,21,24,24,23,5,17,12,23,9,10,13,21,4,21,24,23
2,2009-10,1610612738,BOS,Boston Celtics,0040900405,2010-06-13T00:00:00,BOS vs. LAL,W,48.0,40,71,0.563,3,12,0.25,9,13,0.692,7,28,35,21,17.0,8,7,1,23,22,92,6.0,1,1,1,1,2,2,20,1,20,19,16,23,23,20,16,17,19,8,21,10,2,1,8,13,15,12
3,2009-10,1610612738,BOS,Boston Celtics,0040900404,2010-06-10T00:00:00,BOS vs. LAL,W,48.0,37,83,0.446,3,12,0.25,19,23,0.826,16,25,41,15,12.0,12,2,3,21,23,96,7.0,1,1,1,1,2,4,3,12,20,19,16,15,17,5,1,21,8,24,6,2,21,4,4,12,7,11
4,2009-10,1610612738,BOS,Boston Celtics,0040900403,2010-06-08T00:00:00,BOS vs. LAL,L,48.0,32,73,0.438,4,18,0.222,16,24,0.667,8,27,35,20,10.0,4,2,7,27,20,84,-7.0,1,16,16,16,2,17,16,16,17,7,20,19,16,21,13,19,19,10,3,23,21,16,16,19,22,18
5,2009-10,1610612738,BOS,Boston Celtics,0040900402,2010-06-06T00:00:00,BOS @ LAL,W,48.0,36,84,0.429,11,16,0.688,20,26,0.769,13,31,44,28,14.0,6,3,14,29,29,103,9.0,1,1,1,1,2,6,1,19,2,11,1,12,14,12,3,11,5,2,9,17,18,24,19,2,4,8
6,2009-10,1610612738,BOS,Boston Celtics,0040900401,2010-06-03T00:00:00,BOS @ LAL,L,48.0,29,67,0.433,1,10,0.1,30,36,0.833,8,23,31,19,14.0,5,5,7,28,26,89,-13.0,1,16,16,16,2,22,24,17,22,23,23,1,2,3,13,22,22,14,9,21,10,16,17,5,20,21
7,2009-10,1610612738,BOS,Boston Celtics,0040900306,2010-05-28T00:00:00,BOS vs. ORL,W,48.0,32,75,0.427,10,22,0.455,22,27,0.815,11,34,45,19,17.0,7,3,3,25,21,96,12.0,1,1,1,1,2,17,12,21,3,3,7,6,11,6,5,6,4,14,21,14,18,4,11,16,7,5
8,2009-10,1610612738,BOS,Boston Celtics,0040900305,2010-05-26T00:00:00,BOS @ ORL,L,48.0,31,72,0.431,7,16,0.438,23,30,0.767,4,22,26,19,10.0,5,4,7,30,24,92,-21.0,1,16,16,16,2,20,18,18,8,11,8,4,5,14,23,23,24,14,3,21,13,16,21,9,15,22
9,2009-10,1610612738,BOS,Boston Celtics,0040900304,2010-05-24T00:00:00,BOS vs. ORL,L,53.0,32,76,0.421,5,18,0.278,23,30,0.767,10,37,47,19,16.0,10,6,5,30,27,92,-4.0,1,16,16,16,1,17,10,22,13,7,15,4,5,14,8,3,2,14,16,6,4,10,21,3,15,16
