,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612766,CHA,Charlotte Bobcats,0040900114,2010-04-26T00:00:00,CHA vs. ORL,L,48.0,32,71,0.451,5,19,0.263,21,33,0.636,7,29,36,27,10.0,2,2,4,29,23,90,-9.0,1,1,1,1,1,2,2,2,2,2,2,1,1,4,3,2,2,1,1,4,4,2,3,3,1,2
1,2009-10,1610612766,CHA,Charlotte Bobcats,0040900113,2010-04-24T00:00:00,CHA vs. ORL,L,48.0,31,74,0.419,5,23,0.217,19,23,0.826,6,27,33,17,15.0,10,5,9,27,25,86,-4.0,1,1,1,1,1,3,1,4,2,1,4,3,3,1,4,3,4,4,2,1,2,3,2,1,3,1
2,2009-10,1610612766,CHA,Charlotte Bobcats,0040900112,2010-04-21T00:00:00,CHA @ ORL,L,48.0,29,66,0.439,6,14,0.429,13,18,0.722,11,25,36,18,21.0,7,6,3,29,22,77,-15.0,1,1,1,1,1,4,4,3,1,3,1,4,4,2,1,4,2,3,4,2,1,1,3,4,4,4
3,2009-10,1610612766,CHA,Charlotte Bobcats,0040900111,2010-04-18T00:00:00,CHA @ ORL,L,48.0,33,71,0.465,3,12,0.25,20,28,0.714,10,31,41,19,16.0,3,5,10,22,24,89,-9.0,1,1,1,1,1,1,2,1,4,4,3,2,2,3,2,1,1,2,3,3,2,4,1,2,2,2
4,2009-10,1610612766,CHA,Charlotte Bobcats,0020901219,2010-04-14T00:00:00,CHA vs. CHI,L,48.0,32,80,0.4,3,14,0.214,22,26,0.846,9,24,33,20,13.0,15,7,6,21,22,89,-9.0,1,45,45,45,8,63,27,70,66,54,71,23,43,12,53,70,73,35,17,1,22,35,46,38,62,69
5,2009-10,1610612766,CHA,Charlotte Bobcats,0020901205,2010-04-12T00:00:00,CHA @ NJN,W,48.0,43,87,0.494,3,7,0.429,16,17,0.941,11,36,47,31,15.0,3,5,4,19,17,105,10.0,1,1,1,1,8,4,8,18,66,81,23,59,72,1,29,9,13,1,31,79,39,14,31,75,14,19
6,2009-10,1610612766,CHA,Charlotte Bobcats,0020901187,2010-04-10T00:00:00,CHA vs. DET,W,48.0,35,65,0.538,7,15,0.467,22,26,0.846,6,29,35,27,15.0,5,5,2,22,23,99,4.0,1,1,1,1,8,33,79,5,15,44,16,23,43,12,70,48,57,7,31,58,39,1,54,31,30,34
7,2009-10,1610612766,CHA,Charlotte Bobcats,0020901184,2010-04-09T00:00:00,CHA @ HOU,L,48.0,33,77,0.429,4,14,0.286,20,26,0.769,12,32,44,19,16.0,6,6,5,22,25,90,-7.0,1,45,45,45,8,57,34,56,59,54,52,40,43,34,19,30,23,44,41,47,29,23,54,14,59,64
8,2009-10,1610612766,CHA,Charlotte Bobcats,0020901164,2010-04-07T00:00:00,CHA @ NOH,W,48.0,36,74,0.486,11,24,0.458,21,24,0.875,10,31,41,22,22.0,8,6,5,20,23,104,1.0,1,1,1,1,8,27,52,22,4,4,20,31,56,5,38,37,41,25,79,33,29,23,37,31,16,41
9,2009-10,1610612766,CHA,Charlotte Bobcats,0020901149,2010-04-06T00:00:00,CHA vs. ATL,W,48.0,37,72,0.514,7,12,0.583,28,32,0.875,11,22,33,25,12.0,5,8,5,18,24,109,9.0,1,1,1,1,8,22,60,9,15,68,4,9,18,5,29,77,73,10,12,58,13,23,27,23,7,22
10,2009-10,1610612766,CHA,Charlotte Bobcats,0020901135,2010-04-03T00:00:00,CHA @ CHI,L,48.0,35,83,0.422,6,18,0.333,12,16,0.75,8,26,34,19,8.0,5,5,7,16,13,88,-8.0,1,45,45,45,8,33,14,62,27,20,37,73,75,40,58,62,65,44,2,58,39,50,13,81,65,67
11,2009-10,1610612766,CHA,Charlotte Bobcats,0020901122,2010-04-02T00:00:00,CHA vs. MIL,W,53.0,30,80,0.375,7,17,0.412,20,27,0.741,16,32,48,17,18.0,4,12,10,16,22,87,1.0,1,1,1,1,2,69,27,77,15,31,29,40,36,47,7,30,10,63,57,71,2,74,13,38,69,41
12,2009-10,1610612766,CHA,Charlotte Bobcats,0020901108,2010-03-31T00:00:00,CHA vs. PHI,W,48.0,35,75,0.467,6,20,0.3,27,35,0.771,12,30,42,22,17.0,11,6,7,12,27,103,19.0,1,1,1,1,8,33,44,36,27,14,48,11,9,33,19,42,37,25,48,11,29,50,2,5,19,5
