,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612741,CHI,Chicago Bulls,0040900105,2010-04-27T00:00:00,CHI @ CLE,L,48.0,35,76,0.461,2,10,0.2,22,29,0.759,10,29,39,15,10.0,7,3,6,23,21,94,-2.0,1,2,2,2,1,4,5,2,4,4,4,2,2,4,3,4,3,4,3,2,3,1,4,3,4,2
1,2009-10,1610612741,CHI,Chicago Bulls,0040900104,2010-04-25T00:00:00,CHI vs. CLE,L,48.0,34,91,0.374,4,12,0.333,26,32,0.813,17,32,49,14,14.0,2,1,7,24,26,98,-23.0,1,2,2,2,1,5,2,5,2,2,2,1,1,2,1,2,1,5,4,5,5,2,5,1,3,5
2,2009-10,1610612741,CHI,Chicago Bulls,0040900103,2010-04-22T00:00:00,CHI vs. CLE,W,48.0,42,84,0.5,5,12,0.417,19,25,0.76,7,35,42,22,8.0,5,4,7,22,24,108,2.0,1,1,1,1,1,1,4,1,1,2,1,3,3,3,4,1,2,2,2,3,1,2,3,2,1,1
3,2009-10,1610612741,CHI,Chicago Bulls,0040900102,2010-04-19T00:00:00,CHI @ CLE,L,48.0,41,93,0.441,4,13,0.308,16,17,0.941,13,24,37,25,4.0,3,3,9,19,19,102,-10.0,1,2,2,2,1,2,1,3,2,1,3,4,4,1,2,5,5,1,1,4,3,4,1,4,2,3
4,2009-10,1610612741,CHI,Chicago Bulls,0040900101,2010-04-17T00:00:00,CHI @ CLE,L,48.0,37,87,0.425,1,7,0.143,8,11,0.727,7,31,38,19,14.0,12,4,12,19,15,83,-13.0,1,2,2,2,1,3,3,4,5,5,5,5,5,5,4,3,4,3,4,1,1,5,1,5,5,4
5,2009-10,1610612741,CHI,Chicago Bulls,0020901219,2010-04-14T00:00:00,CHI @ CHA,W,48.0,36,76,0.474,6,18,0.333,20,25,0.8,13,28,41,18,18.0,7,6,7,22,21,98,9.0,1,1,1,1,8,48,71,28,17,10,41,26,36,21,23,69,56,59,65,30,32,57,54,36,31,16
6,2009-10,1610612741,CHI,Chicago Bulls,0020901213,2010-04-13T00:00:00,CHI vs. BOS,W,48.0,40,83,0.482,5,11,0.455,16,24,0.667,11,38,49,22,10.0,1,6,3,21,24,101,8.0,1,1,1,1,8,24,40,20,23,48,14,52,41,70,37,16,23,29,11,81,32,12,48,7,25,19
7,2009-10,1610612741,CHI,Chicago Bulls,0020901197,2010-04-11T00:00:00,CHI @ TOR,W,48.0,42,85,0.494,3,15,0.2,17,23,0.739,9,40,49,26,10.0,3,6,4,14,18,104,16.0,1,1,1,1,8,16,28,18,50,19,65,45,47,49,54,8,23,7,11,74,32,20,5,57,21,5
8,2009-10,1610612741,CHI,Chicago Bulls,0020901181,2010-04-09T00:00:00,CHI @ NJN,L,58.0,44,92,0.478,9,24,0.375,19,29,0.655,9,42,51,25,17.0,3,9,5,26,24,116,-11.0,1,42,42,42,1,5,7,22,1,2,33,30,16,73,54,5,15,11,59,74,9,32,70,7,6,65
9,2009-10,1610612741,CHI,Chicago Bulls,0020901171,2010-04-08T00:00:00,CHI vs. CLE,W,48.0,44,85,0.518,5,11,0.455,16,25,0.64,8,36,44,25,13.0,5,9,6,21,19,109,1.0,1,1,1,1,8,5,28,12,23,48,14,52,36,78,64,25,39,11,26,52,9,46,48,51,13,40
10,2009-10,1610612741,CHI,Chicago Bulls,0020901154,2010-04-06T00:00:00,CHI vs. MIL,L,48.0,32,74,0.432,3,11,0.273,7,11,0.636,6,36,42,21,16.0,4,5,2,19,16,74,-5.0,1,42,42,42,8,74,75,54,50,48,54,82,79,79,78,25,51,36,51,64,42,7,32,66,81,48
11,2009-10,1610612741,CHI,Chicago Bulls,0020901135,2010-04-03T00:00:00,CHI vs. CHA,W,48.0,39,86,0.453,2,11,0.182,16,21,0.762,18,38,56,22,12.0,2,7,5,13,16,96,8.0,1,1,1,1,8,25,25,37,66,48,69,52,57,36,3,16,2,29,19,80,21,32,3,66,43,19
12,2009-10,1610612741,CHI,Chicago Bulls,0020901124,2010-04-02T00:00:00,CHI @ WAS,W,48.0,37,84,0.44,3,14,0.214,18,24,0.75,14,36,50,22,10.0,5,6,4,18,20,95,8.0,1,1,1,1,8,41,31,48,50,28,62,39,41,41,19,25,19,29,11,52,32,20,23,43,49,19
13,2009-10,1610612741,CHI,Chicago Bulls,0020901104,2010-03-30T00:00:00,CHI vs. PHX,L,48.0,36,81,0.444,8,21,0.381,25,29,0.862,13,31,44,26,11.0,7,4,0,22,22,105,-6.0,1,42,42,42,8,48,49,45,2,6,32,9,16,6,23,49,39,7,16,30,56,1,54,26,20,50
14,2009-10,1610612741,CHI,Chicago Bulls,0020901090,2010-03-28T00:00:00,CHI @ DET,W,48.0,39,71,0.549,5,14,0.357,27,34,0.794,7,30,37,24,12.0,5,6,4,20,24,110,7.0,1,1,1,1,8,25,80,4,23,28,39,4,5,25,74,56,70,15,19,52,32,20,39,7,11,24
15,2009-10,1610612741,CHI,Chicago Bulls,0020901083,2010-03-27T00:00:00,CHI vs. NJN,W,48.0,37,84,0.44,7,13,0.538,25,29,0.862,9,45,54,30,8.0,4,4,9,16,24,106,23.0,1,1,1,1,8,41,31,48,7,34,6,9,16,6,54,1,4,1,5,64,56,74,12,7,18,4
16,2009-10,1610612741,CHI,Chicago Bulls,0020901068,2010-03-25T00:00:00,CHI vs. MIA,L,48.0,27,82,0.329,4,15,0.267,16,23,0.696,13,29,42,18,12.0,4,3,9,19,18,74,-29.0,1,42,42,42,8,82,45,81,36,19,55,52,47,62,23,59,51,59,19,64,66,74,32,57,81,79
17,2009-10,1610612741,CHI,Chicago Bulls,0020901045,2010-03-22T00:00:00,CHI vs. HOU,W,48.0,37,78,0.474,7,14,0.5,17,26,0.654,14,39,53,23,18.0,4,9,0,26,25,98,10.0,1,1,1,1,8,41,61,27,7,28,9,45,33,74,19,10,6,20,65,64,9,1,70,2,31,13
18,2009-10,1610612741,CHI,Chicago Bulls,0020901029,2010-03-20T00:00:00,CHI @ PHI,W,48.0,36,80,0.45,7,18,0.389,19,27,0.704,4,37,41,29,10.0,7,4,2,19,23,98,14.0,1,1,1,1,8,48,55,41,7,10,29,30,24,59,82,21,56,3,11,30,56,7,32,15,31,6
19,2009-10,1610612741,CHI,Chicago Bulls,0020901022,2010-03-19T00:00:00,CHI vs. CLE,L,48.0,33,84,0.393,4,22,0.182,15,22,0.682,9,32,41,20,9.0,10,3,6,26,16,85,-7.0,1,42,42,42,8,66,31,72,36,4,69,59,52,66,54,47,56,42,6,4,66,46,70,66,71,53
20,2009-10,1610612741,CHI,Chicago Bulls,0020901011,2010-03-17T00:00:00,CHI @ DAL,L,48.0,43,82,0.524,3,15,0.2,17,23,0.739,12,24,36,20,17.0,8,2,5,23,16,106,-7.0,1,42,42,42,8,10,45,9,50,19,65,45,47,49,31,77,75,42,59,18,74,32,62,66,18,53
21,2009-10,1610612741,CHI,Chicago Bulls,0020901001,2010-03-16T00:00:00,CHI @ MEM,L,48.0,34,78,0.436,7,27,0.259,22,27,0.815,8,29,37,18,19.0,10,7,2,28,23,97,-7.0,1,42,42,42,8,61,61,52,7,1,56,17,24,17,64,59,70,59,69,4,21,7,79,15,39,53
22,2009-10,1610612741,CHI,Chicago Bulls,0020900967,2010-03-12T00:00:00,CHI @ MIA,L,48.0,38,78,0.487,7,23,0.304,12,17,0.706,8,29,37,15,16.0,5,3,6,25,19,95,-13.0,1,42,42,42,8,32,61,19,7,3,50,68,68,57,64,59,70,75,51,52,66,46,68,51,49,66
23,2009-10,1610612741,CHI,Chicago Bulls,0020900962,2010-03-11T00:00:00,CHI @ ORL,L,48.0,33,83,0.398,4,16,0.25,12,19,0.632,9,20,29,19,14.0,10,1,8,27,19,82,-29.0,1,42,42,42,8,66,40,71,36,15,57,68,65,80,54,80,81,51,37,4,80,67,75,51,75,79
24,2009-10,1610612741,CHI,Chicago Bulls,0020900949,2010-03-09T00:00:00,CHI vs. UTA,L,48.0,41,76,0.539,8,15,0.533,18,27,0.667,6,26,32,25,16.0,8,1,3,29,21,108,-24.0,1,42,42,42,8,19,71,5,2,19,7,39,24,70,78,74,78,11,51,18,80,12,82,36,15,74
25,2009-10,1610612741,CHI,Chicago Bulls,0020900928,2010-03-06T00:00:00,CHI vs. DAL,L,48.0,47,90,0.522,7,16,0.438,15,19,0.789,10,27,37,23,9.0,4,2,6,18,13,116,-6.0,1,42,42,42,8,3,12,10,7,15,22,59,65,27,45,70,70,20,6,64,74,46,23,78,6,50
26,2009-10,1610612741,CHI,Chicago Bulls,0020900911,2010-03-04T00:00:00,CHI vs. MEM,L,48.0,37,83,0.446,3,14,0.214,19,21,0.905,9,22,31,17,13.0,10,6,5,23,22,96,-9.0,1,42,42,42,8,41,40,44,50,28,62,30,57,3,54,78,80,69,26,4,32,32,62,26,43,60
27,2009-10,1610612741,CHI,Chicago Bulls,0020900889,2010-03-01T00:00:00,CHI vs. ATL,L,48.0,39,89,0.438,2,17,0.118,12,15,0.8,8,29,37,20,12.0,4,7,3,19,15,92,-24.0,1,42,42,42,8,25,15,50,66,13,79,68,73,21,64,59,70,42,19,64,21,12,32,70,58,74
28,2009-10,1610612741,CHI,Chicago Bulls,0020900873,2010-02-27T00:00:00,CHI @ IND,L,48.0,31,74,0.419,3,13,0.231,25,33,0.758,13,30,43,14,21.0,7,4,6,21,20,90,-10.0,1,42,42,42,8,76,75,61,50,34,60,9,6,40,23,56,47,78,77,30,56,46,48,43,61,62
29,2009-10,1610612741,CHI,Chicago Bulls,0020900862,2010-02-26T00:00:00,CHI vs. POR,W,53.0,46,80,0.575,1,6,0.167,22,28,0.786,10,33,43,23,21.0,7,2,4,24,24,115,4.0,1,1,1,1,3,4,55,2,78,80,74,17,19,30,45,44,47,20,77,30,74,20,66,7,8,33
30,2009-10,1610612741,CHI,Chicago Bulls,0020900848,2010-02-24T00:00:00,CHI vs. IND,W,48.0,44,87,0.506,5,11,0.455,27,35,0.771,12,34,46,22,17.0,6,10,4,20,23,120,10.0,1,1,1,1,8,5,21,16,23,48,14,4,1,34,31,36,31,29,59,43,5,20,39,15,3,13
31,2009-10,1610612741,CHI,Chicago Bulls,0020900832,2010-02-22T00:00:00,CHI @ WAS,L,48.0,36,78,0.462,5,12,0.417,18,25,0.72,10,26,36,20,14.0,5,5,7,19,19,95,-6.0,1,42,42,42,8,48,61,33,23,41,26,39,36,54,45,74,75,42,37,52,42,57,32,51,49,50
32,2009-10,1610612741,CHI,Chicago Bulls,0020900818,2010-02-20T00:00:00,CHI vs. PHI,W,48.0,44,95,0.463,8,15,0.533,26,32,0.813,17,36,53,26,4.0,10,6,4,18,22,122,32.0,1,1,1,1,8,5,6,31,2,19,7,7,11,18,5,25,6,7,1,4,32,20,23,26,1,3
33,2009-10,1610612741,CHI,Chicago Bulls,0020900809,2010-02-19T00:00:00,CHI @ MIN,W,48.0,38,88,0.432,2,15,0.133,22,31,0.71,16,34,50,20,11.0,5,2,4,19,21,100,6.0,1,1,1,1,8,32,16,55,66,19,76,17,12,56,7,36,19,42,16,52,74,20,32,36,30,28
34,2009-10,1610612741,CHI,Chicago Bulls,0020900796,2010-02-17T00:00:00,CHI @ NYK,W,48.0,43,90,0.478,3,10,0.3,26,33,0.788,18,34,52,16,13.0,6,5,4,18,25,115,6.0,1,1,1,1,8,10,12,25,50,58,51,7,6,29,3,36,11,72,26,43,42,20,23,2,8,28
35,2009-10,1610612741,CHI,Chicago Bulls,0020900784,2010-02-16T00:00:00,CHI vs. NYK,W,48.0,52,86,0.605,5,13,0.385,9,13,0.692,5,44,49,30,10.0,10,9,3,18,13,118,33.0,1,1,1,1,8,1,25,1,23,34,30,76,75,63,81,2,23,1,11,4,9,12,23,78,5,1
36,2009-10,1610612741,CHI,Chicago Bulls,0020900773,2010-02-10T00:00:00,CHI vs. ORL,L,48.0,32,87,0.368,4,19,0.211,19,23,0.826,10,31,41,18,13.0,7,4,6,17,20,87,-20.0,1,42,42,42,8,74,21,77,36,8,64,30,47,12,45,49,56,59,26,30,56,46,20,43,65,73
37,2009-10,1610612741,CHI,Chicago Bulls,0020900760,2010-02-09T00:00:00,CHI @ IND,W,48.0,41,81,0.506,4,13,0.308,23,33,0.697,7,37,44,16,16.0,11,5,1,16,23,109,8.0,1,1,1,1,8,19,49,14,36,34,49,14,6,61,74,21,39,72,51,3,42,3,12,15,13,19
38,2009-10,1610612741,CHI,Chicago Bulls,0020900745,2010-02-06T00:00:00,CHI vs. MIA,W,48.0,33,82,0.402,1,8,0.125,28,35,0.8,8,33,41,16,11.0,9,7,8,16,23,95,4.0,1,1,1,1,8,66,45,69,78,72,78,3,1,21,64,44,56,72,16,11,21,67,12,15,49,33
39,2009-10,1610612741,CHI,Chicago Bulls,0020900735,2010-02-05T00:00:00,CHI @ ATL,L,48.0,33,76,0.434,0,10,0.0,15,20,0.75,9,31,40,15,14.0,3,3,2,10,21,81,-10.0,1,42,42,42,8,66,71,53,82,58,82,59,63,41,54,49,65,75,37,74,66,7,1,36,77,62
40,2009-10,1610612741,CHI,Chicago Bulls,0020900719,2010-02-03T00:00:00,CHI @ PHI,L,53.0,38,86,0.442,8,22,0.364,19,25,0.76,10,31,41,22,19.0,7,0,7,16,18,103,-3.0,1,42,42,42,3,32,25,47,2,4,38,30,36,39,45,49,56,29,69,30,82,57,12,57,24,45
