,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900206,2010-05-13T00:00:00,CLE @ BOS,L,48.0,28,73,0.384,5,17,0.294,24,34,0.706,12,36,48,17,24.0,10,3,5,22,26,85,-9.0,1,7,7,7,1,8,6,11,6,8,8,6,3,6,3,2,2,10,11,1,11,8,6,4,11,8
1,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900205,2010-05-11T00:00:00,CLE vs. BOS,L,48.0,28,68,0.412,5,15,0.333,27,34,0.794,7,24,31,20,17.0,5,10,4,30,28,88,-32.0,1,7,7,7,1,8,10,8,6,9,6,3,3,3,7,11,11,7,8,8,2,5,11,3,8,11
2,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900204,2010-05-09T00:00:00,CLE @ BOS,L,48.0,27,67,0.403,4,21,0.19,29,39,0.744,3,30,33,19,17.0,6,5,8,27,31,87,-10.0,1,7,7,7,1,11,11,9,9,5,10,2,1,4,11,6,9,8,8,5,7,11,10,1,9,9
3,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900203,2010-05-07T00:00:00,CLE @ BOS,W,48.0,44,74,0.595,5,12,0.417,31,34,0.912,11,34,45,25,12.0,3,4,6,24,22,124,29.0,1,1,1,1,1,1,5,1,6,10,3,1,3,2,4,4,3,2,3,10,10,9,7,8,1,1
4,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900202,2010-05-03T00:00:00,CLE vs. BOS,L,48.0,28,70,0.4,4,21,0.19,26,38,0.684,6,26,32,17,15.0,9,5,2,16,31,86,-18.0,1,7,7,7,1,8,9,10,9,5,10,4,2,8,8,10,10,10,7,2,7,2,2,1,10,10
5,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900201,2010-05-01T00:00:00,CLE vs. BOS,W,48.0,38,78,0.487,4,12,0.333,21,31,0.677,11,30,41,18,11.0,8,5,6,17,25,101,8.0,1,1,1,1,1,5,4,4,9,10,6,8,7,9,4,6,5,9,1,3,7,9,3,5,5,5
6,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900105,2010-04-27T00:00:00,CLE vs. CHI,W,48.0,34,73,0.466,10,26,0.385,18,28,0.643,8,29,37,23,14.0,6,6,3,21,23,96,2.0,1,1,1,1,1,7,6,5,3,2,5,10,9,11,6,8,7,4,6,5,6,3,5,7,6,6
7,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900104,2010-04-25T00:00:00,CLE @ CHI,W,48.0,42,79,0.532,12,25,0.48,25,34,0.735,5,36,41,21,11.0,6,7,1,26,24,121,23.0,1,1,1,1,1,2,3,3,2,3,2,5,3,5,9,2,5,5,1,5,4,1,9,6,2,2
8,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900103,2010-04-22T00:00:00,CLE @ CHI,L,48.0,36,82,0.439,14,35,0.4,20,31,0.645,14,29,43,21,13.0,5,7,4,24,22,106,-2.0,1,7,7,7,1,6,2,7,1,1,4,9,7,10,1,8,4,5,5,8,4,5,7,8,4,7
9,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900102,2010-04-19T00:00:00,CLE vs. CHI,W,48.0,40,71,0.563,10,20,0.5,22,24,0.917,5,31,36,24,12.0,2,9,3,19,19,112,10.0,1,1,1,1,1,3,8,2,3,7,1,7,10,1,9,5,8,3,3,11,3,3,4,10,3,4
10,2009-10,1610612739,CLE,Cleveland Cavaliers,0040900101,2010-04-17T00:00:00,CLE vs. CHI,W,48.0,39,84,0.464,6,23,0.261,12,17,0.706,13,37,50,27,18.0,7,12,4,15,19,96,13.0,1,1,1,1,1,4,1,6,5,4,9,11,11,6,2,1,1,1,10,4,1,5,1,10,6,3
11,2009-10,1610612739,CLE,Cleveland Cavaliers,0020901217,2010-04-14T00:00:00,CLE @ ATL,L,48.0,31,73,0.425,1,14,0.071,20,36,0.556,9,26,35,18,15.0,11,2,2,18,22,83,-16.0,1,62,62,62,5,76,64,70,82,71,82,30,11,78,41,75,72,64,49,4,69,7,28,26,82,80
12,2009-10,1610612739,CLE,Cleveland Cavaliers,0020901195,2010-04-11T00:00:00,CLE vs. ORL,L,48.0,34,83,0.41,6,18,0.333,18,23,0.783,14,28,42,17,14.0,6,2,9,22,18,92,-6.0,1,62,62,62,5,61,15,77,51,45,49,44,55,26,9,65,43,69,42,47,69,80,58,58,69,72
13,2009-10,1610612739,CLE,Cleveland Cavaliers,0020901178,2010-04-09T00:00:00,CLE vs. IND,L,48.0,41,89,0.461,7,18,0.389,24,28,0.857,13,34,47,29,15.0,8,2,7,21,22,113,-3.0,1,62,62,62,5,17,6,62,32,45,35,16,29,5,14,33,15,4,49,25,69,75,51,26,10,68
14,2009-10,1610612739,CLE,Cleveland Cavaliers,0020901171,2010-04-08T00:00:00,CLE @ CHI,L,48.0,41,86,0.477,9,25,0.36,17,24,0.708,9,27,36,23,11.0,6,6,9,19,21,108,-1.0,1,62,62,62,5,17,7,48,14,8,42,49,48,48,41,71,68,37,12,47,23,80,39,34,21,62
15,2009-10,1610612739,CLE,Cleveland Cavaliers,0020901150,2010-04-06T00:00:00,CLE vs. TOR,W,48.0,47,84,0.56,8,20,0.4,11,14,0.786,3,37,40,38,10.0,6,2,0,13,12,113,12.0,1,1,1,1,5,2,11,8,28,29,33,75,80,25,82,11,55,1,9,47,69,1,6,82,10,22
16,2009-10,1610612739,CLE,Cleveland Cavaliers,0020901141,2010-04-04T00:00:00,CLE @ BOS,L,48.0,40,78,0.513,7,17,0.412,26,40,0.65,7,35,42,20,11.0,4,4,4,27,27,113,-4.0,1,62,62,62,5,22,37,23,32,56,26,9,4,63,62,26,43,54,12,65,48,37,78,6,10,70
17,2009-10,1610612739,CLE,Cleveland Cavaliers,0020901126,2010-04-02T00:00:00,CLE vs. ATL,W,48.0,33,80,0.413,6,19,0.316,21,28,0.75,14,41,55,14,12.0,4,9,5,16,22,93,5.0,1,1,1,1,5,69,27,75,51,39,62,28,29,36,9,5,3,79,26,65,6,54,12,26,66,49
