,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612742,DAL,Dallas Mavericks,0040900156,2010-04-29T00:00:00,DAL @ SAS,L,48.0,35,80,0.438,5,20,0.25,12,15,0.8,11,29,40,15,13.0,4,4,4,27,17,87,-10.0,1,3,3,3,1,2,3,4,5,2,5,6,5,3,5,4,5,6,3,6,4,3,6,4,6,5
1,2009-10,1610612742,DAL,Dallas Mavericks,0040900155,2010-04-27T00:00:00,DAL vs. SAS,W,48.0,37,84,0.44,6,24,0.25,23,33,0.697,14,38,52,20,12.0,14,7,5,23,23,103,22.0,1,1,1,1,1,1,2,3,4,1,5,2,2,6,1,1,1,2,2,1,1,6,4,2,1,1
2,2009-10,1610612742,DAL,Dallas Mavericks,0040900154,2010-04-25T00:00:00,DAL @ SAS,L,48.0,32,77,0.416,7,19,0.368,18,23,0.783,12,36,48,17,15.0,5,5,4,22,20,89,-3.0,1,3,3,3,1,5,4,5,2,4,2,4,3,4,4,2,2,4,4,4,3,3,3,3,4,3
3,2009-10,1610612742,DAL,Dallas Mavericks,0040900153,2010-04-23T00:00:00,DAL @ SAS,L,48.0,34,76,0.447,8,20,0.4,14,15,0.933,8,28,36,17,16.0,5,4,4,25,16,90,-4.0,1,3,3,3,1,4,5,2,1,2,1,5,5,2,6,5,6,4,6,4,4,3,5,5,3,4
4,2009-10,1610612742,DAL,Dallas Mavericks,0040900152,2010-04-21T00:00:00,DAL vs. SAS,L,48.0,31,85,0.365,7,19,0.368,19,20,0.95,14,28,42,19,7.0,7,6,1,18,15,88,-14.0,1,3,3,3,1,6,1,6,2,4,2,3,4,1,1,5,4,3,1,3,2,1,1,6,5,6
5,2009-10,1610612742,DAL,Dallas Mavericks,0040900151,2010-04-18T00:00:00,DAL vs. SAS,W,48.0,35,74,0.473,5,14,0.357,25,34,0.735,13,32,45,23,15.0,10,4,1,20,28,100,6.0,1,1,1,1,1,2,6,1,5,6,4,1,1,5,3,3,3,1,4,2,4,1,2,1,2,2
6,2009-10,1610612742,DAL,Dallas Mavericks,0020901220,2010-04-14T00:00:00,DAL vs. SAS,W,48.0,35,85,0.412,6,14,0.429,20,28,0.714,10,37,47,22,12.0,8,7,3,15,17,96,7.0,1,1,1,1,9,58,26,66,45,68,23,28,13,71,36,9,13,44,31,33,14,21,7,64,51,33
7,2009-10,1610612742,DAL,Dallas Mavericks,0020901212,2010-04-12T00:00:00,DAL @ LAC,W,48.0,45,83,0.542,11,27,0.407,16,19,0.842,8,29,37,37,10.0,6,4,3,15,19,117,23.0,1,1,1,1,9,8,36,11,6,4,29,54,58,34,55,55,63,1,15,49,54,21,7,45,9,5
8,2009-10,1610612742,DAL,Dallas Mavericks,0020901193,2010-04-10T00:00:00,DAL @ SAC,W,48.0,42,79,0.532,13,21,0.619,29,34,0.853,7,29,36,27,11.0,9,7,2,20,22,126,18.0,1,1,1,1,9,18,62,12,2,16,1,4,5,29,62,55,67,20,24,22,14,7,49,25,5,8
9,2009-10,1610612742,DAL,Dallas Mavericks,0020901186,2010-04-09T00:00:00,DAL @ POR,W,48.0,24,71,0.338,5,20,0.25,30,35,0.857,11,32,43,11,13.0,8,4,7,19,22,83,6.0,1,1,1,1,9,82,77,81,51,27,71,3,3,25,27,32,30,81,37,33,54,74,40,25,76,36
10,2009-10,1610612742,DAL,Dallas Mavericks,0020901167,2010-04-07T00:00:00,DAL vs. MEM,W,48.0,42,76,0.553,8,14,0.571,18,21,0.857,7,30,37,28,14.0,11,4,1,21,22,110,26.0,1,1,1,1,9,18,68,8,20,68,3,41,48,25,62,48,63,16,48,6,54,1,60,25,20,4
11,2009-10,1610612742,DAL,Dallas Mavericks,0020901137,2010-04-03T00:00:00,DAL vs. OKC,L,48.0,43,81,0.531,5,19,0.263,25,29,0.862,12,27,39,20,18.0,8,6,1,28,23,116,-5.0,1,56,56,56,9,14,46,13,51,33,68,9,11,24,20,66,55,55,74,33,27,1,81,16,11,59
12,2009-10,1610612742,DAL,Dallas Mavericks,0020901120,2010-04-01T00:00:00,DAL vs. ORL,L,48.0,31,81,0.383,4,14,0.286,16,17,0.941,10,32,42,7,10.0,9,2,6,17,17,82,-15.0,1,56,56,56,9,74,46,75,64,68,62,54,65,8,36,32,33,82,15,22,73,62,22,64,78,74
13,2009-10,1610612742,DAL,Dallas Mavericks,0020901114,2010-03-31T00:00:00,DAL @ MEM,W,53.0,38,89,0.427,11,28,0.393,19,25,0.76,13,34,47,22,18.0,11,7,6,24,24,106,4.0,1,1,1,1,1,38,13,58,6,3,35,33,27,62,14,20,13,44,74,6,14,62,71,12,30,45
14,2009-10,1610612742,DAL,Dallas Mavericks,0020901100,2010-03-29T00:00:00,DAL vs. DEN,W,48.0,38,81,0.469,12,22,0.545,21,24,0.875,9,33,42,27,8.0,10,5,3,25,20,109,16.0,1,1,1,1,9,38,46,36,3,11,6,22,30,20,44,24,33,20,6,16,42,21,76,38,22,10
15,2009-10,1610612742,DAL,Dallas Mavericks,0020901086,2010-03-27T00:00:00,DAL @ GSW,W,48.0,44,91,0.484,16,30,0.533,7,10,0.7,4,48,52,34,15.0,15,6,3,15,10,111,21.0,1,1,1,1,9,10,9,31,1,1,10,81,80,76,80,1,5,3,52,1,27,21,7,82,18,6
16,2009-10,1610612742,DAL,Dallas Mavericks,0020901070,2010-03-25T00:00:00,DAL @ POR,L,48.0,36,81,0.444,9,22,0.409,8,9,0.889,7,32,39,20,12.0,6,6,6,18,14,89,-12.0,1,56,56,56,9,51,46,52,15,11,28,79,82,17,62,32,55,55,31,49,27,62,28,75,71,71
