,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612743,DEN,Denver Nuggets,0040900176,2010-04-30T00:00:00,DEN @ UTA,L,48.0,36,83,0.434,5,17,0.294,27,40,0.675,11,28,39,19,10.0,8,4,4,39,31,104,-8.0,1,3,3,3,1,4,3,5,4,3,4,3,3,6,2,4,5,4,2,4,4,2,6,1,5,4
1,2009-10,1610612743,DEN,Denver Nuggets,0040900175,2010-04-28T00:00:00,DEN vs. UTA,W,48.0,37,73,0.507,9,17,0.529,33,42,0.786,9,31,40,20,13.0,10,5,5,25,26,116,14.0,1,1,1,1,1,2,5,2,2,3,1,2,2,2,4,3,3,3,3,2,3,4,1,4,2,1
2,2009-10,1610612743,DEN,Denver Nuggets,0040900174,2010-04-25T00:00:00,DEN @ UTA,L,48.0,37,84,0.44,6,16,0.375,26,35,0.743,18,27,45,13,18.0,12,4,7,34,29,106,-11.0,1,3,3,3,1,2,1,4,3,5,3,5,4,5,1,5,1,5,5,1,4,6,4,3,4,5
3,2009-10,1610612743,DEN,Denver Nuggets,0040900173,2010-04-23T00:00:00,DEN @ UTA,L,48.0,31,72,0.431,4,15,0.267,27,35,0.771,8,32,40,12,14.0,4,6,0,25,26,93,-12.0,1,3,3,3,1,6,6,6,5,6,5,3,4,3,5,1,3,6,4,6,1,1,1,4,6,6
4,2009-10,1610612743,DEN,Denver Nuggets,0040900172,2010-04-19T00:00:00,DEN vs. UTA,L,48.0,35,75,0.467,4,18,0.222,37,44,0.841,6,26,32,22,19.0,9,6,4,37,30,111,-3.0,1,3,3,3,1,5,4,3,5,2,6,1,1,1,6,6,6,2,6,3,1,2,5,2,3,3
5,2009-10,1610612743,DEN,Denver Nuggets,0040900171,2010-04-17T00:00:00,DEN vs. UTA,W,48.0,48,84,0.571,11,26,0.423,19,25,0.76,10,32,42,29,8.0,6,3,6,25,25,126,13.0,1,1,1,1,1,1,1,1,1,1,2,6,6,4,3,1,2,1,1,5,6,5,1,6,1,2
6,2009-10,1610612743,DEN,Denver Nuggets,0020901216,2010-04-13T00:00:00,DEN @ PHX,L,48.0,41,97,0.423,6,21,0.286,13,21,0.619,12,22,34,15,6.0,7,5,7,26,22,101,-22.0,1,54,54,54,5,25,3,63,36,24,50,79,73,78,20,80,72,66,2,46,40,60,67,48,47,81
7,2009-10,1610612743,DEN,Denver Nuggets,0020901209,2010-04-12T00:00:00,DEN vs. MEM,W,48.0,40,87,0.46,11,32,0.344,32,39,0.821,11,37,48,24,9.0,9,11,9,24,27,123,22.0,1,1,1,1,5,28,17,43,4,1,40,8,10,22,28,10,12,23,10,29,1,72,48,17,11,6
8,2009-10,1610612743,DEN,Denver Nuggets,0020901192,2010-04-10T00:00:00,DEN vs. SAS,L,48.0,29,74,0.392,6,17,0.353,21,31,0.677,8,23,31,18,16.0,10,5,2,29,20,85,-19.0,1,54,54,54,5,78,69,78,36,44,39,54,35,72,58,77,80,53,55,18,40,5,79,61,80,79
9,2009-10,1610612743,DEN,Denver Nuggets,0020901173,2010-04-08T00:00:00,DEN vs. LAL,W,48.0,34,78,0.436,11,25,0.44,19,28,0.679,9,30,39,23,10.0,5,7,6,23,20,98,2.0,1,1,1,1,5,59,53,59,4,6,21,63,52,70,49,42,45,27,14,68,14,46,37,61,57,48
