,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612765,DET,Detroit Pistons,0020901223,2010-04-14T00:00:00,DET @ MIN,W,48.0,38,79,0.481,4,17,0.235,23,30,0.767,12,23,35,16,13.0,11,5,7,21,24,103,5.0,1,1,1,1,5,18,47,17,41,16,61,14,18,28,41,65,62,60,33,3,17,62,31,19,13,18
1,2009-10,1610612765,DET,Detroit Pistons,0020901204,2010-04-12T00:00:00,DET vs. TOR,L,48.0,37,79,0.468,5,17,0.294,18,23,0.783,11,23,34,20,10.0,7,5,3,17,21,97,-14.0,1,28,28,28,5,28,47,22,23,16,42,35,43,24,49,65,64,30,11,41,17,15,7,32,30,68
2,2009-10,1610612765,DET,Detroit Pistons,0020901187,2010-04-10T00:00:00,DET @ CHA,L,48.0,36,79,0.456,6,21,0.286,17,26,0.654,13,21,34,26,10.0,9,2,5,23,22,95,-4.0,1,28,28,28,5,39,47,32,16,4,46,39,29,65,35,74,64,9,11,17,62,36,45,29,37,29
3,2009-10,1610612765,DET,Detroit Pistons,0020901179,2010-04-09T00:00:00,DET @ MIA,W,48.0,40,80,0.5,11,25,0.44,15,19,0.789,13,21,34,22,9.0,9,1,5,19,16,106,7.0,1,1,1,1,5,10,40,11,1,2,11,49,61,22,35,74,64,21,3,17,70,36,19,71,7,12
4,2009-10,1610612765,DET,Detroit Pistons,0020901160,2010-04-07T00:00:00,DET vs. ATL,W,48.0,34,79,0.43,6,14,0.429,16,16,1.0,7,30,37,19,15.0,11,6,7,16,17,90,2.0,1,1,1,1,5,53,47,52,16,40,13,43,75,1,75,20,57,38,53,3,9,62,2,59,57,26
5,2009-10,1610612765,DET,Detroit Pistons,0020901151,2010-04-06T00:00:00,DET @ PHI,W,48.0,47,75,0.627,8,17,0.471,22,29,0.759,8,25,33,27,10.0,14,1,5,18,19,124,21.0,1,1,1,1,5,1,64,1,6,16,7,20,21,36,70,55,72,6,11,1,70,36,12,43,1,4
6,2009-10,1610612765,DET,Detroit Pistons,0020901133,2010-04-03T00:00:00,DET @ ATL,L,48.0,32,85,0.376,5,14,0.357,16,20,0.8,11,23,34,16,3.0,8,2,4,18,16,85,-6.0,1,28,28,28,5,67,18,78,23,40,24,43,52,18,49,65,64,60,1,29,62,25,12,71,68,37
7,2009-10,1610612765,DET,Detroit Pistons,0020901127,2010-04-02T00:00:00,DET vs. PHX,L,48.0,36,82,0.439,2,11,0.182,20,26,0.769,14,24,38,21,10.0,6,3,7,16,23,94,-15.0,1,28,28,28,5,39,30,45,67,65,68,28,29,27,30,57,54,25,11,48,45,62,2,22,39,69
8,2009-10,1610612765,DET,Detroit Pistons,0020901112,2010-03-31T00:00:00,DET vs. MIA,L,48.0,32,74,0.432,4,14,0.286,13,22,0.591,11,21,32,19,14.0,9,3,5,16,23,81,-17.0,1,28,28,28,5,67,68,51,41,40,46,61,44,73,49,74,78,38,48,17,45,36,2,22,76,71
9,2009-10,1610612765,DET,Detroit Pistons,0020901090,2010-03-28T00:00:00,DET vs. CHI,L,48.0,35,79,0.443,9,27,0.333,24,26,0.923,7,24,31,23,10.0,6,4,6,24,20,103,-7.0,1,28,28,28,5,48,47,41,3,1,32,10,29,4,75,57,80,17,11,48,29,52,52,34,13,43
