,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612744,GSW,Golden State Warriors,0020901229,2010-04-14T00:00:00,GSW @ POR,W,48.0,44,88,0.5,12,30,0.4,22,31,0.71,9,31,40,22,8.0,10,4,2,18,21,122,6.0,1,1,1,1,3,24,28,24,9,6,30,26,16,66,37,28,27,36,3,25,32,7,5,37,13,20
1,2009-10,1610612744,GSW,Golden State Warriors,0020901214,2010-04-13T00:00:00,GSW vs. UTA,L,48.0,32,84,0.381,7,23,0.304,23,28,0.821,6,29,35,20,14.0,11,4,3,19,23,94,-9.0,1,27,27,27,3,77,52,76,43,27,60,23,26,28,63,40,57,53,35,17,32,13,9,23,70,48
2,2009-10,1610612744,GSW,Golden State Warriors,0020901200,2010-04-11T00:00:00,GSW vs. OKC,W,48.0,41,81,0.506,12,21,0.571,26,33,0.788,8,35,43,25,15.0,6,8,6,20,25,120,3.0,1,1,1,1,3,35,68,21,9,38,5,12,10,45,45,11,18,20,43,69,6,52,15,13,19,25
3,2009-10,1610612744,GSW,Golden State Warriors,0020901194,2010-04-10T00:00:00,GSW @ LAC,L,48.0,37,92,0.402,14,32,0.438,16,21,0.762,8,31,39,19,11.0,9,1,6,22,20,104,-3.0,1,27,27,27,3,56,16,70,2,2,21,58,57,50,45,28,34,61,11,38,75,52,29,45,50,31
4,2009-10,1610612744,GSW,Golden State Warriors,0020901163,2010-04-07T00:00:00,GSW @ MIN,W,48.0,46,82,0.561,8,16,0.5,16,18,0.889,7,32,39,33,17.0,11,1,2,23,15,116,9.0,1,1,1,1,3,14,64,8,32,62,9,58,72,8,55,21,34,3,58,17,75,7,39,76,24,15
5,2009-10,1610612744,GSW,Golden State Warriors,0020901152,2010-04-06T00:00:00,GSW @ WAS,L,48.0,33,84,0.393,7,20,0.35,21,23,0.913,8,23,31,16,8.0,6,7,8,19,18,94,-18.0,1,27,27,27,3,74,52,72,43,43,45,30,47,5,45,72,72,73,3,69,9,72,9,66,70,73
6,2009-10,1610612744,GSW,Golden State Warriors,0020901145,2010-04-04T00:00:00,GSW @ TOR,W,48.0,41,86,0.477,13,26,0.5,18,25,0.72,7,33,40,31,13.0,7,3,5,28,23,113,1.0,1,1,1,1,3,35,40,37,3,15,9,45,38,62,55,17,27,5,23,56,44,38,71,23,28,26
7,2009-10,1610612744,GSW,Golden State Warriors,0020901130,2010-04-02T00:00:00,GSW vs. NYK,W,48.0,54,94,0.574,7,21,0.333,13,19,0.684,8,32,40,26,11.0,12,5,1,16,20,128,11.0,1,1,1,1,3,1,11,4,43,38,49,71,68,70,45,21,27,17,11,11,24,2,2,45,8,13
8,2009-10,1610612744,GSW,Golden State Warriors,0020901119,2010-03-31T00:00:00,GSW @ UTA,L,48.0,32,89,0.36,4,26,0.154,36,42,0.857,8,27,35,13,13.0,7,2,5,25,31,104,-24.0,1,27,27,27,3,77,23,79,66,15,81,1,1,17,45,52,57,80,23,56,59,38,52,1,50,77
9,2009-10,1610612744,GSW,Golden State Warriors,0020901096,2010-03-28T00:00:00,GSW @ LAC,W,48.0,47,88,0.534,8,18,0.444,19,23,0.826,8,30,38,25,13.0,7,6,9,25,22,121,18.0,1,1,1,1,3,10,28,16,32,50,20,39,47,26,45,34,39,20,23,56,14,74,52,30,16,6
10,2009-10,1610612744,GSW,Golden State Warriors,0020901086,2010-03-27T00:00:00,GSW vs. DAL,L,48.0,34,102,0.333,8,29,0.276,14,15,0.933,16,43,59,18,15.0,9,3,6,10,15,90,-21.0,1,27,27,27,3,70,1,81,32,8,67,69,76,1,2,1,1,65,43,38,44,52,1,76,76,74
11,2009-10,1610612744,GSW,Golden State Warriors,0020901067,2010-03-24T00:00:00,GSW vs. MEM,W,48.0,48,88,0.545,10,24,0.417,22,27,0.815,13,32,45,30,20.0,10,4,5,22,23,128,18.0,1,1,1,1,3,7,28,12,17,21,27,26,32,32,13,21,13,8,71,25,32,38,29,23,8,6
12,2009-10,1610612744,GSW,Golden State Warriors,0020901052,2010-03-22T00:00:00,GSW vs. PHX,L,48.0,46,92,0.5,9,27,0.333,30,37,0.811,8,27,35,24,12.0,11,5,0,29,25,131,-2.0,1,27,27,27,3,14,16,24,26,11,49,6,6,33,45,52,57,27,17,17,24,1,79,13,4,29
13,2009-10,1610612744,GSW,Golden State Warriors,0020901032,2010-03-20T00:00:00,GSW @ MEM,L,48.0,45,93,0.484,6,21,0.286,11,13,0.846,7,30,37,20,15.0,11,2,6,19,15,107,-16.0,1,27,27,27,3,18,15,32,50,38,63,78,80,20,55,34,46,53,43,17,59,52,9,76,42,69
14,2009-10,1610612744,GSW,Golden State Warriors,0020901024,2010-03-19T00:00:00,GSW @ SAS,L,48.0,44,91,0.484,12,32,0.375,16,21,0.762,3,26,29,25,9.0,5,5,7,25,16,116,-31.0,1,27,27,27,3,24,20,33,9,2,37,58,57,50,79,58,76,20,5,76,24,67,52,75,24,81
15,2009-10,1610612744,GSW,Golden State Warriors,0020901014,2010-03-17T00:00:00,GSW vs. NOH,W,48.0,47,87,0.54,13,27,0.481,24,26,0.923,6,26,32,32,14.0,14,3,2,25,19,131,10.0,1,1,1,1,3,10,34,13,3,11,13,20,36,2,63,58,69,4,35,6,44,7,52,60,4,14
16,2009-10,1610612744,GSW,Golden State Warriors,0020900995,2010-03-15T00:00:00,GSW vs. LAL,L,48.0,48,100,0.48,13,30,0.433,12,13,0.923,7,18,25,29,5.0,14,1,8,26,14,121,-3.0,1,27,27,27,3,7,2,35,3,6,24,75,80,2,55,81,80,10,1,6,75,72,64,81,16,31
17,2009-10,1610612744,GSW,Golden State Warriors,0020900982,2010-03-13T00:00:00,GSW vs. TOR,W,48.0,45,95,0.474,16,27,0.593,18,22,0.818,18,24,42,22,11.0,11,1,6,16,23,124,12.0,1,1,1,1,3,18,7,41,1,11,2,45,52,30,1,68,21,36,11,17,75,52,2,23,12,12
18,2009-10,1610612744,GSW,Golden State Warriors,0020900963,2010-03-11T00:00:00,GSW vs. POR,L,48.0,38,80,0.475,10,26,0.385,19,21,0.905,11,25,36,19,15.0,9,2,5,31,17,105,-5.0,1,27,27,27,3,53,69,40,17,15,35,39,57,6,20,62,52,61,43,38,59,38,82,72,48,38
19,2009-10,1610612744,GSW,Golden State Warriors,0020900944,2010-03-08T00:00:00,GSW @ NOH,L,48.0,50,85,0.588,13,25,0.52,18,21,0.857,4,19,23,26,13.0,9,3,1,23,18,131,-4.0,1,27,27,27,3,3,44,2,3,20,8,45,57,17,76,80,82,17,23,38,44,2,39,66,4,35
20,2009-10,1610612744,GSW,Golden State Warriors,0020900925,2010-03-06T00:00:00,GSW @ CHA,L,48.0,34,89,0.382,10,23,0.435,12,19,0.632,12,24,36,18,9.0,6,5,11,21,20,90,-11.0,1,27,27,27,3,70,23,74,17,27,22,75,68,76,16,68,52,65,5,69,24,80,21,45,76,57
