,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612745,HOU,Houston Rockets,0020901221,2010-04-14T00:00:00,HOU vs. NOH,L,48.0,47,87,0.54,6,19,0.316,15,25,0.6,9,23,32,31,10.0,8,6,2,19,17,115,-8.0,1,43,43,43,8,1,26,5,56,58,47,64,38,80,59,74,79,2,9,25,11,2,26,76,12,57
1,2009-10,1610612745,HOU,Houston Rockets,0020901211,2010-04-12T00:00:00,HOU @ SAC,W,48.0,43,83,0.518,8,24,0.333,23,23,1.0,6,29,35,22,14.0,5,5,2,17,20,117,10.0,1,1,1,1,8,8,45,9,29,25,39,16,46,1,77,42,71,35,34,63,16,2,7,59,6,14
2,2009-10,1610612745,HOU,Houston Rockets,0020901201,2010-04-11T00:00:00,HOU @ PHX,L,48.0,38,85,0.447,12,22,0.545,18,23,0.783,10,35,45,28,18.0,7,4,7,23,24,106,-10.0,1,43,43,43,8,37,38,38,3,43,3,45,46,41,54,13,25,8,68,36,32,42,58,24,31,68
3,2009-10,1610612745,HOU,Houston Rockets,0020901184,2010-04-09T00:00:00,HOU vs. CHA,W,48.0,38,86,0.442,8,23,0.348,13,15,0.867,10,29,39,23,13.0,6,5,6,25,22,97,7.0,1,1,1,1,8,37,31,44,29,32,35,70,74,16,54,42,52,32,25,45,16,35,67,42,55,25
4,2009-10,1610612745,HOU,Houston Rockets,0020901168,2010-04-07T00:00:00,HOU vs. UTA,W,48.0,41,84,0.488,10,19,0.526,21,26,0.808,11,27,38,27,15.0,12,3,5,20,23,113,17.0,1,1,1,1,8,19,41,19,18,58,4,28,31,33,42,58,56,12,40,4,44,23,35,32,14,6
5,2009-10,1610612745,HOU,Houston Rockets,0020901155,2010-04-06T00:00:00,HOU @ MEM,W,48.0,38,87,0.437,8,27,0.296,29,33,0.879,16,33,49,19,13.0,8,4,8,18,22,113,10.0,1,1,1,1,8,37,26,47,29,10,52,3,10,13,12,22,8,57,25,25,32,52,18,42,14,14
6,2009-10,1610612745,HOU,Houston Rockets,0020901143,2010-04-04T00:00:00,HOU @ IND,L,48.0,39,87,0.448,10,27,0.37,14,23,0.609,12,25,37,24,16.0,10,4,6,20,18,102,-31.0,1,43,43,43,8,31,26,36,18,10,30,66,46,79,34,70,62,25,48,13,32,35,35,70,41,80
7,2009-10,1610612745,HOU,Houston Rockets,0020901125,2010-04-02T00:00:00,HOU @ BOS,W,53.0,41,81,0.506,12,18,0.667,25,28,0.893,15,26,41,24,23.0,6,3,4,27,27,119,5.0,1,1,1,1,2,19,54,13,3,68,2,11,24,12,15,64,42,25,80,45,44,12,74,7,4,29
8,2009-10,1610612745,HOU,Houston Rockets,0020901117,2010-03-31T00:00:00,HOU @ SAS,L,48.0,38,91,0.418,6,19,0.316,20,27,0.741,17,31,48,16,18.0,11,2,8,22,22,102,-17.0,1,43,43,43,8,37,12,58,56,58,47,34,28,50,7,28,13,71,68,7,56,52,46,42,41,74
9,2009-10,1610612745,HOU,Houston Rockets,0020901106,2010-03-30T00:00:00,HOU vs. WAS,W,48.0,38,84,0.452,4,19,0.211,18,25,0.72,11,29,40,24,11.0,7,4,9,17,21,98,4.0,1,1,1,1,8,37,41,35,75,58,77,45,38,58,42,42,48,25,17,36,32,61,7,55,53,34
