,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612754,IND,Indiana Pacers,0020901227,2010-04-14T00:00:00,IND @ WAS,L,48.0,33,83,0.398,3,22,0.136,28,32,0.875,13,29,42,15,15.0,8,3,4,22,23,97,-1.0,1,33,33,33,2,63,43,67,76,45,80,6,15,11,16,54,35,70,42,24,55,21,33,20,52,33
1,2009-10,1610612754,IND,Indiana Pacers,0020901202,2010-04-12T00:00:00,IND vs. ORL,L,48.0,36,88,0.409,10,29,0.345,16,24,0.667,9,29,38,20,14.0,9,2,6,23,21,98,-20.0,1,33,33,33,2,43,20,61,15,7,46,52,44,74,34,54,53,42,32,11,70,53,45,37,47,74
2,2009-10,1610612754,IND,Indiana Pacers,0020901188,2010-04-10T00:00:00,IND vs. NJN,W,48.0,46,86,0.535,9,24,0.375,14,18,0.778,10,22,32,26,12.0,8,6,6,13,18,115,13.0,1,1,1,1,2,3,29,3,29,32,29,61,63,38,32,82,78,13,17,24,31,53,1,61,10,12
3,2009-10,1610612754,IND,Indiana Pacers,0020901178,2010-04-09T00:00:00,IND @ CLE,W,48.0,42,83,0.506,14,32,0.438,18,24,0.75,7,28,35,29,12.0,6,7,2,22,21,116,3.0,1,1,1,1,2,12,43,11,3,2,18,44,44,46,53,63,67,6,17,53,18,6,33,37,9,30
4,2009-10,1610612754,IND,Indiana Pacers,0020901158,2010-04-07T00:00:00,IND vs. NYK,W,48.0,43,88,0.489,10,28,0.357,17,26,0.654,16,32,48,23,10.0,7,3,2,16,20,113,8.0,1,1,1,1,2,7,20,15,15,12,40,48,34,79,4,31,11,28,3,41,55,6,3,48,13,22
5,2009-10,1610612754,IND,Indiana Pacers,0020901143,2010-04-04T00:00:00,IND vs. HOU,W,48.0,49,85,0.576,14,26,0.538,21,27,0.778,11,38,49,28,14.0,10,6,4,18,20,133,31.0,1,1,1,1,2,1,34,1,3,22,5,28,30,38,27,9,9,9,32,6,31,21,9,48,1,1
6,2009-10,1610612754,IND,Indiana Pacers,0020901123,2010-04-02T00:00:00,IND vs. MIA,L,53.0,31,82,0.378,10,27,0.37,24,29,0.828,8,30,38,18,12.0,5,3,8,22,20,96,-9.0,1,33,33,33,1,72,50,72,15,15,32,18,21,21,47,47,53,55,17,65,55,71,33,48,55,50
7,2009-10,1610612754,IND,Indiana Pacers,0020901102,2010-03-30T00:00:00,IND vs. SAC,W,48.0,39,83,0.47,12,26,0.462,12,15,0.8,4,31,35,25,15.0,6,7,2,16,22,102,7.0,1,1,1,1,2,23,43,26,7,22,12,69,71,28,76,37,67,18,42,53,18,6,3,33,34,25
8,2009-10,1610612754,IND,Indiana Pacers,0020901089,2010-03-28T00:00:00,IND @ ATL,L,48.0,33,81,0.407,8,26,0.308,10,14,0.714,9,30,39,24,13.0,7,5,1,18,12,84,-10.0,1,33,33,33,2,63,54,63,36,22,54,76,75,60,34,47,49,22,25,41,41,1,9,78,73,55
9,2009-10,1610612754,IND,Indiana Pacers,0020901072,2010-03-26T00:00:00,IND vs. UTA,W,48.0,43,85,0.506,17,36,0.472,19,29,0.655,6,33,39,26,12.0,9,10,5,20,24,122,16.0,1,1,1,1,2,7,34,12,1,1,11,38,21,77,63,25,49,13,17,11,3,35,20,17,4,5
10,2009-10,1610612754,IND,Indiana Pacers,0020901060,2010-03-24T00:00:00,IND vs. WAS,W,48.0,37,83,0.446,6,28,0.214,19,29,0.655,9,44,53,19,11.0,7,8,3,18,21,99,17.0,1,1,1,1,2,37,43,38,55,12,72,38,21,77,34,1,5,47,11,41,12,13,9,37,43,4
11,2009-10,1610612754,IND,Indiana Pacers,0020901054,2010-03-23T00:00:00,IND @ DET,W,48.0,33,76,0.434,12,31,0.387,20,33,0.606,9,35,44,24,15.0,8,4,3,14,26,98,15.0,1,1,1,1,2,63,64,46,7,4,27,33,12,82,34,18,24,22,42,24,49,13,2,9,47,9
