,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612746,LAC,Los Angeles Clippers,0020901228,2010-04-14T00:00:00,LAC vs. LAL,W,48.0,42,83,0.506,9,23,0.391,14,19,0.737,9,39,48,31,12.0,9,7,2,21,16,107,16.0,1,1,1,1,2,7,30,16,10,11,23,52,51,40,53,4,16,2,13,14,24,9,52,55,7,3
1,2009-10,1610612746,LAC,Los Angeles Clippers,0020901212,2010-04-12T00:00:00,LAC vs. DAL,L,48.0,38,83,0.458,6,17,0.353,12,15,0.8,11,28,39,23,16.0,5,3,4,19,15,94,-23.0,1,30,30,30,2,26,30,41,32,43,37,60,69,19,38,49,48,32,43,52,62,32,37,67,42,73
2,2009-10,1610612746,LAC,Los Angeles Clippers,0020901194,2010-04-10T00:00:00,LAC vs. GSW,W,48.0,42,83,0.506,5,20,0.25,18,27,0.667,9,46,55,23,18.0,6,6,1,20,22,107,3.0,1,1,1,1,2,7,30,16,45,24,58,29,23,55,53,1,4,32,55,40,28,4,45,24,7,25
3,2009-10,1610612746,LAC,Los Angeles Clippers,0020901172,2010-04-08T00:00:00,LAC @ SAC,L,48.0,39,82,0.476,7,19,0.368,9,11,0.818,7,25,32,18,12.0,5,4,3,14,13,94,-22.0,1,30,30,30,2,18,37,28,20,32,31,74,78,13,65,69,77,62,13,52,56,19,5,80,42,69
4,2009-10,1610612746,LAC,Los Angeles Clippers,0020901169,2010-04-07T00:00:00,LAC vs. POR,L,48.0,38,77,0.494,5,15,0.333,4,8,0.5,8,26,34,24,15.0,7,5,4,11,17,85,-8.0,1,30,30,30,2,26,53,21,45,54,44,82,81,81,60,58,72,27,34,27,44,32,2,50,74,41
5,2009-10,1610612746,LAC,Los Angeles Clippers,0020901148,2010-04-04T00:00:00,LAC vs. NYK,L,48.0,43,87,0.494,7,28,0.25,14,21,0.667,13,36,49,22,18.0,6,5,4,17,15,107,-6.0,1,30,30,30,2,4,13,20,20,1,58,52,43,55,26,13,11,41,55,40,44,32,20,67,7,37
6,2009-10,1610612746,LAC,Los Angeles Clippers,0020901139,2010-04-03T00:00:00,LAC @ DEN,L,48.0,36,76,0.474,10,24,0.417,8,12,0.667,7,37,44,26,23.0,5,3,4,17,15,90,-8.0,1,30,30,30,2,43,56,31,4,10,17,75,76,55,65,9,29,15,79,52,62,32,20,67,57,41
7,2009-10,1610612746,LAC,Los Angeles Clippers,0020901110,2010-03-31T00:00:00,LAC @ TOR,L,48.0,38,88,0.432,9,25,0.36,7,15,0.467,15,26,41,25,12.0,6,4,8,18,14,92,-22.0,1,30,30,30,2,26,11,50,10,6,33,78,69,82,11,58,41,22,13,40,56,74,29,74,48,69
8,2009-10,1610612746,LAC,Los Angeles Clippers,0020901105,2010-03-30T00:00:00,LAC @ MIL,L,48.0,32,87,0.368,5,15,0.333,20,25,0.8,20,32,52,16,13.0,4,3,2,19,19,89,-18.0,1,30,30,30,2,70,13,79,45,54,44,22,33,19,3,30,7,74,19,65,62,9,37,39,60,65
9,2009-10,1610612746,LAC,Los Angeles Clippers,0020901096,2010-03-28T00:00:00,LAC vs. GSW,L,48.0,34,90,0.378,8,26,0.308,27,32,0.844,24,29,53,19,20.0,3,9,6,22,25,103,-18.0,1,30,30,30,2,57,4,75,15,5,49,3,9,7,1,42,6,57,68,72,9,59,58,7,17,65
10,2009-10,1610612746,LAC,Los Angeles Clippers,0020901069,2010-03-25T00:00:00,LAC @ HOU,W,48.0,36,85,0.424,9,28,0.321,18,26,0.692,15,41,56,22,15.0,4,10,2,19,24,99,6.0,1,1,1,1,2,43,25,59,10,1,48,29,29,51,11,2,2,41,34,65,3,9,37,12,27,19
11,2009-10,1610612746,LAC,Los Angeles Clippers,0020901056,2010-03-23T00:00:00,LAC @ DAL,L,48.0,33,87,0.379,7,25,0.28,23,30,0.767,18,32,50,20,12.0,4,4,7,17,16,96,-10.0,1,30,30,30,2,66,13,74,20,6,54,13,16,34,5,30,9,53,13,65,56,67,20,55,41,48
12,2009-10,1610612746,LAC,Los Angeles Clippers,0020901039,2010-03-21T00:00:00,LAC vs. SAC,L,48.0,34,74,0.459,2,12,0.167,19,27,0.704,6,34,40,17,19.0,6,6,8,14,22,89,-13.0,1,30,30,30,2,57,68,36,74,71,77,25,23,48,77,22,45,70,64,40,28,74,5,24,60,52
13,2009-10,1610612746,LAC,Los Angeles Clippers,0020901015,2010-03-17T00:00:00,LAC vs. MIL,W,48.0,34,64,0.531,6,12,0.5,27,34,0.794,4,34,38,25,18.0,8,8,6,12,26,101,8.0,1,1,1,1,2,57,80,10,32,71,4,3,4,22,78,22,52,22,55,20,15,59,3,6,22,13
14,2009-10,1610612746,LAC,Los Angeles Clippers,0020900996,2010-03-15T00:00:00,LAC vs. NOH,L,48.0,40,93,0.43,5,25,0.2,15,19,0.789,13,26,39,30,8.0,5,1,2,12,17,100,-8.0,1,30,30,30,2,14,2,54,45,6,71,47,51,24,26,58,48,3,1,52,81,9,3,50,26,41
15,2009-10,1610612746,LAC,Los Angeles Clippers,0020900981,2010-03-13T00:00:00,LAC @ SAS,L,48.0,37,82,0.451,6,14,0.429,8,12,0.667,7,25,32,16,15.0,5,8,4,14,12,88,-30.0,1,30,30,30,2,33,37,43,32,59,15,75,76,55,65,69,77,74,34,52,15,32,5,81,65,79
16,2009-10,1610612746,LAC,Los Angeles Clippers,0020900964,2010-03-12T00:00:00,LAC @ CHA,L,48.0,42,73,0.575,9,19,0.474,5,9,0.556,7,23,30,22,23.0,8,7,0,17,14,98,-8.0,1,30,30,30,2,7,71,5,10,32,7,80,80,76,65,78,80,41,79,20,24,1,20,74,32,41
17,2009-10,1610612746,LAC,Los Angeles Clippers,0020900956,2010-03-10T00:00:00,LAC @ MIA,L,48.0,38,89,0.427,11,27,0.407,10,13,0.769,14,28,42,21,13.0,6,2,3,26,14,97,-11.0,1,30,30,30,2,26,8,55,2,4,20,69,75,33,20,49,34,47,19,40,72,19,78,74,36,50
18,2009-10,1610612746,LAC,Los Angeles Clippers,0020900947,2010-03-09T00:00:00,LAC @ ORL,L,48.0,37,86,0.43,8,21,0.381,5,6,0.833,9,33,42,21,13.0,3,6,5,8,10,87,-26.0,1,30,30,30,2,33,19,52,15,17,26,80,82,11,53,27,34,47,19,72,28,45,1,82,67,76
19,2009-10,1610612746,LAC,Los Angeles Clippers,0020900933,2010-03-06T00:00:00,LAC @ UTA,L,48.0,35,86,0.407,8,21,0.381,7,11,0.636,11,37,48,18,20.0,3,10,3,14,15,85,-22.0,1,30,30,30,2,50,19,67,15,17,26,78,78,66,38,9,16,62,68,72,3,19,5,67,74,69
20,2009-10,1610612746,LAC,Los Angeles Clippers,0020900924,2010-03-05T00:00:00,LAC vs. OKC,L,48.0,32,86,0.372,6,21,0.286,17,26,0.654,16,31,47,18,18.0,8,2,11,24,18,87,-17.0,1,30,30,30,2,70,19,78,32,17,52,38,29,64,8,34,22,62,55,20,72,82,69,43,67,62
21,2009-10,1610612746,LAC,Los Angeles Clippers,0020900910,2010-03-03T00:00:00,LAC vs. PHX,L,48.0,39,85,0.459,10,28,0.357,13,17,0.765,8,22,30,26,13.0,7,3,6,19,14,101,-26.0,1,30,30,30,2,18,25,38,4,1,34,59,64,35,60,81,80,15,19,27,62,59,37,74,22,76
