,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612747,LAL,Los Angeles Lakers,0040900407,2010-06-17T00:00:00,LAL vs. BOS,W,48.0,27,83,0.325,4,20,0.2,25,37,0.676,23,30,53,11,11.0,7,3,7,19,25,83,4.0,1,1,1,1,1,23,8,23,18,12,20,4,2,19,1,10,2,23,8,9,18,18,2,9,23,12
1,2009-10,1610612747,LAL,Los Angeles Lakers,0040900406,2010-06-15T00:00:00,LAL vs. BOS,W,48.0,33,79,0.418,6,19,0.316,17,19,0.895,12,40,52,17,13.0,13,8,4,17,21,89,22.0,1,1,1,1,1,17,12,16,13,14,14,15,19,1,10,1,3,17,11,1,5,11,1,14,18,2
2,2009-10,1610612747,LAL,Los Angeles Lakers,0040900405,2010-06-13T00:00:00,LAL @ BOS,L,48.0,31,78,0.397,7,19,0.368,17,26,0.654,16,18,34,12,14.0,9,1,7,22,23,86,-6.0,1,17,17,17,1,21,15,21,10,14,7,15,12,20,5,23,22,22,13,4,23,18,10,11,22,18
3,2009-10,1610612747,LAL,Los Angeles Lakers,0040900404,2010-06-10T00:00:00,LAL @ BOS,L,48.0,32,71,0.451,7,20,0.35,18,22,0.818,8,26,34,13,16.0,6,3,2,23,21,89,-7.0,1,17,17,17,1,19,22,14,10,12,11,13,15,7,22,20,22,20,19,12,18,1,11,14,18,19
4,2009-10,1610612747,LAL,Los Angeles Lakers,0040900403,2010-06-08T00:00:00,LAL @ BOS,W,48.0,34,76,0.447,2,15,0.133,21,24,0.875,11,32,43,13,9.0,2,7,2,20,27,91,7.0,1,1,1,1,1,15,20,15,22,20,23,10,13,2,15,7,7,20,5,23,8,1,4,6,17,10
5,2009-10,1610612747,LAL,Los Angeles Lakers,0040900402,2010-06-06T00:00:00,LAL vs. BOS,L,48.0,29,71,0.408,5,22,0.227,31,41,0.756,10,29,39,18,15.0,8,14,3,29,29,94,-9.0,1,17,17,17,1,22,22,20,16,8,19,1,1,12,16,15,17,12,17,6,1,5,22,2,16,20
6,2009-10,1610612747,LAL,Los Angeles Lakers,0040900401,2010-06-03T00:00:00,LAL vs. BOS,W,48.0,37,76,0.487,4,10,0.4,24,31,0.774,12,30,42,18,15.0,6,7,5,26,28,102,13.0,1,1,1,1,1,13,20,7,18,23,6,6,7,11,10,10,11,12,17,12,8,16,17,3,12,5
7,2009-10,1610612747,LAL,Los Angeles Lakers,0040900316,2010-05-29T00:00:00,LAL @ PHX,W,48.0,39,83,0.47,10,24,0.417,23,28,0.821,14,27,41,18,10.0,6,3,6,23,19,111,8.0,1,1,1,1,1,9,8,10,3,5,5,7,9,6,6,18,14,12,7,12,18,17,11,20,3,7
8,2009-10,1610612747,LAL,Los Angeles Lakers,0040900315,2010-05-27T00:00:00,LAL vs. PHX,W,48.0,38,91,0.418,7,24,0.292,20,23,0.87,19,30,49,28,11.0,7,10,8,24,21,103,2.0,1,1,1,1,1,10,1,17,10,5,15,11,14,3,2,10,4,2,8,9,3,21,15,14,11,14
9,2009-10,1610612747,LAL,Los Angeles Lakers,0040900314,2010-05-25T00:00:00,LAL @ PHX,L,48.0,45,91,0.495,9,28,0.321,7,13,0.538,13,23,36,25,7.0,4,7,3,23,12,106,-9.0,1,17,17,17,1,2,1,6,5,4,13,23,22,23,8,22,21,6,2,18,8,5,11,23,9,20
