,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612763,MEM,Memphis Grizzlies,0020901224,2010-04-14T00:00:00,MEM @ OKC,L,48.0,39,85,0.459,1,9,0.111,26,33,0.788,11,28,39,19,10.0,7,2,9,17,25,105,-9.0,1,41,41,41,9,40,35,50,75,59,79,9,16,20,53,53,62,36,4,46,72,67,11,18,30,56
1,2009-10,1610612763,MEM,Memphis Grizzlies,0020901209,2010-04-12T00:00:00,MEM @ DEN,L,48.0,36,92,0.391,2,10,0.2,27,36,0.75,14,33,47,17,13.0,6,9,11,27,24,101,-22.0,1,41,41,41,9,58,9,77,62,51,63,8,7,32,28,24,23,49,21,61,3,82,78,25,46,77
2,2009-10,1610612763,MEM,Memphis Grizzlies,0020901190,2010-04-10T00:00:00,MEM vs. PHI,L,48.0,34,69,0.493,3,13,0.231,30,41,0.732,6,27,33,15,16.0,10,1,5,14,26,101,-19.0,1,41,41,41,9,67,82,26,46,32,57,2,2,43,80,60,76,61,42,14,79,23,3,14,46,76
3,2009-10,1610612763,MEM,Memphis Grizzlies,0020901185,2010-04-09T00:00:00,MEM @ SAS,W,48.0,43,88,0.489,4,9,0.444,17,25,0.68,16,32,48,19,11.0,9,5,5,23,22,107,8.0,1,1,1,1,9,17,27,28,31,59,21,50,47,61,16,28,18,36,11,21,28,23,63,39,24,19
4,2009-10,1610612763,MEM,Memphis Grizzlies,0020901167,2010-04-07T00:00:00,MEM @ DAL,L,48.0,33,71,0.465,2,10,0.2,16,24,0.667,9,24,33,12,20.0,4,1,4,22,21,84,-26.0,1,41,41,41,9,74,79,46,62,51,63,59,53,64,64,74,76,78,70,73,79,14,55,51,78,81
5,2009-10,1610612763,MEM,Memphis Grizzlies,0020901155,2010-04-06T00:00:00,MEM vs. HOU,L,48.0,45,92,0.489,1,5,0.2,12,16,0.75,14,28,42,15,16.0,7,8,4,22,18,103,-10.0,1,41,41,41,9,7,9,27,75,82,63,76,78,32,28,53,46,61,42,46,6,14,55,71,38,57
6,2009-10,1610612763,MEM,Memphis Grizzlies,0020901144,2010-04-04T00:00:00,MEM @ ORL,L,48.0,30,75,0.4,3,9,0.333,29,38,0.763,12,34,46,12,15.0,8,5,10,22,28,92,-15.0,1,41,41,41,9,78,74,74,46,59,34,4,3,28,47,13,27,78,36,32,28,77,55,6,68,69
7,2009-10,1610612763,MEM,Memphis Grizzlies,0020901128,2010-04-02T00:00:00,MEM vs. NOH,W,48.0,40,90,0.444,5,13,0.385,22,30,0.733,17,39,56,15,14.0,8,5,7,17,23,107,11.0,1,1,1,1,9,35,16,59,22,32,30,28,31,41,9,2,2,61,26,32,28,43,11,31,24,11
8,2009-10,1610612763,MEM,Memphis Grizzlies,0020901114,2010-03-31T00:00:00,MEM vs. DAL,L,53.0,38,93,0.409,6,19,0.316,20,31,0.645,13,36,49,14,17.0,6,6,7,24,24,102,-4.0,1,41,41,41,2,49,8,70,12,5,40,36,28,71,37,8,11,70,55,61,16,43,72,25,40,45
9,2009-10,1610612763,MEM,Memphis Grizzlies,0020901088,2010-03-28T00:00:00,MEM @ MIL,L,53.0,42,90,0.467,3,11,0.273,16,22,0.727,14,31,45,23,22.0,11,5,8,30,21,103,-5.0,1,41,41,41,2,22,16,45,46,44,50,59,57,44,28,34,35,11,80,10,28,58,81,51,38,47
10,2009-10,1610612763,MEM,Memphis Grizzlies,0020901067,2010-03-24T00:00:00,MEM @ GSW,L,48.0,41,90,0.456,3,13,0.231,25,33,0.758,16,25,41,19,19.0,11,5,4,23,22,110,-18.0,1,41,41,41,9,28,16,53,46,32,57,14,16,31,16,70,56,36,69,10,28,14,63,39,19,74
11,2009-10,1610612763,MEM,Memphis Grizzlies,0020901051,2010-03-22T00:00:00,MEM @ SAC,W,48.0,38,84,0.452,6,12,0.5,20,32,0.625,14,34,48,17,11.0,9,5,8,11,23,102,17.0,1,1,1,1,9,49,39,58,12,39,13,36,20,75,28,13,18,49,11,21,28,58,1,31,40,5
12,2009-10,1610612763,MEM,Memphis Grizzlies,0020901032,2010-03-20T00:00:00,MEM vs. GSW,W,48.0,49,98,0.5,10,18,0.556,15,18,0.833,16,38,54,23,17.0,7,6,2,15,19,123,16.0,1,1,1,1,9,4,3,21,2,8,5,63,71,11,16,5,4,11,55,46,16,4,5,66,4,6
13,2009-10,1610612763,MEM,Memphis Grizzlies,0020901012,2010-03-17T00:00:00,MEM @ HOU,L,48.0,39,91,0.429,1,7,0.143,15,26,0.577,17,25,42,14,14.0,10,5,10,24,22,94,-13.0,1,41,41,41,9,40,14,66,75,77,74,63,45,82,9,70,46,70,26,14,28,77,72,39,62,63
14,2009-10,1610612763,MEM,Memphis Grizzlies,0020901001,2010-03-16T00:00:00,MEM vs. CHI,W,48.0,36,76,0.474,8,15,0.533,24,34,0.706,12,30,42,22,22.0,12,2,7,23,28,104,7.0,1,1,1,1,9,58,68,38,7,19,10,17,13,53,47,46,46,18,80,5,72,43,63,6,34,21
15,2009-10,1610612763,MEM,Memphis Grizzlies,0020900978,2010-03-13T00:00:00,MEM vs. DEN,L,48.0,39,78,0.5,5,17,0.294,25,32,0.781,9,21,30,19,10.0,4,2,7,19,25,108,-17.0,1,41,41,41,9,40,64,21,22,12,45,14,20,21,64,81,80,36,4,73,72,43,29,18,23,73
16,2009-10,1610612763,MEM,Memphis Grizzlies,0020900969,2010-03-12T00:00:00,MEM vs. NYK,W,48.0,42,87,0.483,5,18,0.278,30,33,0.909,13,34,47,18,13.0,5,4,4,22,24,119,7.0,1,1,1,1,9,22,29,33,22,8,49,2,16,2,37,13,23,44,21,68,47,14,55,25,9,21
17,2009-10,1610612763,MEM,Memphis Grizzlies,0020900954,2010-03-10T00:00:00,MEM @ BOS,W,48.0,44,80,0.55,9,16,0.563,14,19,0.737,9,39,48,21,16.0,3,3,6,23,16,111,20.0,1,1,1,1,9,14,53,3,3,16,4,67,68,40,64,2,18,26,42,80,59,33,63,78,15,4
18,2009-10,1610612763,MEM,Memphis Grizzlies,0020900942,2010-03-08T00:00:00,MEM vs. NJN,W,48.0,41,87,0.471,4,12,0.333,21,28,0.75,16,36,52,16,11.0,10,5,9,18,20,107,6.0,1,1,1,1,9,28,29,41,31,39,34,31,38,32,16,8,7,57,11,14,28,67,18,62,24,25
19,2009-10,1610612763,MEM,Memphis Grizzlies,0020900929,2010-03-06T00:00:00,MEM vs. SAS,L,48.0,36,83,0.434,3,10,0.3,17,25,0.68,16,28,44,13,15.0,8,4,6,17,22,92,-10.0,1,41,41,41,9,58,41,64,46,51,43,50,47,61,16,53,41,75,36,32,47,33,11,39,68,57
20,2009-10,1610612763,MEM,Memphis Grizzlies,0020900911,2010-03-04T00:00:00,MEM @ CHI,W,48.0,40,76,0.526,2,10,0.2,23,30,0.767,13,33,46,17,16.0,8,5,6,22,23,105,9.0,1,1,1,1,9,35,68,11,62,51,63,24,31,27,37,24,27,49,42,32,28,33,55,31,30,18
21,2009-10,1610612763,MEM,Memphis Grizzlies,0020900905,2010-03-03T00:00:00,MEM @ NOH,W,48.0,39,79,0.494,2,11,0.182,24,38,0.632,11,28,39,19,17.0,12,3,9,14,29,104,4.0,1,1,1,1,9,40,59,25,62,44,70,17,3,73,53,53,62,36,55,5,59,67,3,3,34,33
22,2009-10,1610612763,MEM,Memphis Grizzlies,0020900890,2010-03-01T00:00:00,MEM vs. POR,L,48.0,35,77,0.455,4,16,0.25,19,25,0.76,12,31,43,16,21.0,6,5,7,19,21,93,-10.0,1,41,41,41,9,64,66,55,31,16,53,44,47,29,47,34,44,57,76,61,28,43,29,51,66,57
23,2009-10,1610612763,MEM,Memphis Grizzlies,0020900874,2010-02-27T00:00:00,MEM @ NYK,W,48.0,45,87,0.517,6,13,0.462,24,35,0.686,17,35,52,22,8.0,5,2,5,15,25,120,11.0,1,1,1,1,9,7,29,14,12,32,19,17,10,60,9,12,7,18,1,68,72,23,5,18,8,11
24,2009-10,1610612763,MEM,Memphis Grizzlies,0020900863,2010-02-26T00:00:00,MEM vs. CHA,L,48.0,34,70,0.486,9,20,0.45,12,18,0.667,9,28,37,19,20.0,9,7,7,18,19,89,-4.0,1,41,41,41,9,67,80,32,3,3,20,76,71,64,64,53,67,36,70,21,11,43,18,66,72,45
25,2009-10,1610612763,MEM,Memphis Grizzlies,0020900847,2010-02-24T00:00:00,MEM @ WAS,W,48.0,42,87,0.483,3,10,0.3,12,18,0.667,15,31,46,23,10.0,6,6,6,18,18,99,5.0,1,1,1,1,9,22,29,33,46,51,43,76,71,64,22,34,27,11,4,61,16,33,18,71,49,29
26,2009-10,1610612763,MEM,Memphis Grizzlies,0020900841,2010-02-23T00:00:00,MEM vs. LAL,L,48.0,39,83,0.47,5,14,0.357,15,20,0.75,8,34,42,15,18.0,10,8,4,21,20,98,-1.0,1,41,41,41,9,40,41,42,22,23,32,63,62,32,75,13,46,61,63,14,6,14,47,62,52,41
