,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612748,MIA,Miami Heat,0040900135,2010-04-27T00:00:00,MIA @ BOS,L,48.0,31,79,0.392,5,20,0.25,19,22,0.864,11,27,38,18,20.0,6,7,6,21,24,86,-10.0,1,2,2,2,1,3,1,4,4,1,4,1,2,1,2,3,3,2,4,4,1,4,1,1,3,4
1,2009-10,1610612748,MIA,Miami Heat,0040900134,2010-04-25T00:00:00,MIA vs. BOS,W,48.0,38,76,0.5,10,18,0.556,15,25,0.6,9,34,43,16,16.0,9,2,4,22,22,101,9.0,1,1,1,1,1,2,4,2,1,2,1,2,1,5,3,1,1,4,2,1,5,2,3,3,1,1
2,2009-10,1610612748,MIA,Miami Heat,0040900133,2010-04-23T00:00:00,MIA vs. BOS,L,48.0,39,77,0.506,6,18,0.333,14,17,0.824,9,25,34,20,18.0,7,4,2,21,23,98,-2.0,1,2,2,2,1,1,3,1,3,2,3,3,3,2,3,5,4,1,3,3,4,1,1,2,2,2
3,2009-10,1610612748,MIA,Miami Heat,0040900132,2010-04-20T00:00:00,MIA @ BOS,L,48.0,29,76,0.382,9,18,0.5,10,16,0.625,6,27,33,16,13.0,4,7,4,26,14,77,-29.0,1,2,2,2,1,5,4,5,2,2,2,4,4,4,5,3,5,4,1,5,1,2,5,4,4,5
4,2009-10,1610612748,MIA,Miami Heat,0040900131,2010-04-17T00:00:00,MIA @ BOS,L,48.0,31,78,0.397,4,17,0.235,10,13,0.769,12,28,40,18,22.0,9,5,6,24,11,76,-9.0,1,2,2,2,1,3,2,3,5,5,5,4,5,3,1,2,2,2,5,1,3,4,4,5,5,3
5,2009-10,1610612748,MIA,Miami Heat,0020901222,2010-04-14T00:00:00,MIA vs. NJN,W,58.0,37,93,0.398,8,26,0.308,12,16,0.75,15,34,49,15,15.0,10,8,5,26,15,94,8.0,1,1,1,1,1,32,2,70,14,3,50,69,68,40,3,23,12,64,49,12,7,47,74,69,48,30
6,2009-10,1610612748,MIA,Miami Heat,0020901203,2010-04-12T00:00:00,MIA @ PHI,W,48.0,40,72,0.556,5,12,0.417,22,28,0.786,9,29,38,21,12.0,8,2,3,18,23,107,2.0,1,1,1,1,7,19,73,8,52,70,20,15,22,32,51,52,56,25,26,29,76,17,14,20,17,44
7,2009-10,1610612748,MIA,Miami Heat,0020901199,2010-04-11T00:00:00,MIA @ NYK,W,48.0,44,84,0.524,7,18,0.389,16,22,0.727,11,26,37,18,11.0,8,2,2,21,18,111,13.0,1,1,1,1,7,7,16,14,21,33,28,44,43,51,37,68,62,43,16,29,76,6,39,51,12,16
8,2009-10,1610612748,MIA,Miami Heat,0020901179,2010-04-09T00:00:00,MIA vs. DET,L,48.0,39,70,0.557,6,16,0.375,15,18,0.833,11,24,35,23,16.0,6,5,1,16,19,99,-7.0,1,48,48,48,7,23,78,7,36,44,30,50,59,17,37,76,72,14,68,48,40,2,7,41,33,58
9,2009-10,1610612748,MIA,Miami Heat,0020901161,2010-04-07T00:00:00,MIA vs. PHI,W,48.0,36,86,0.419,6,19,0.316,21,30,0.7,14,28,42,16,12.0,15,4,6,16,26,99,4.0,1,1,1,1,7,40,12,56,36,27,47,17,16,59,9,56,40,56,26,1,55,60,7,6,33,37
10,2009-10,1610612748,MIA,Miami Heat,0020901136,2010-04-03T00:00:00,MIA @ MIN,W,48.0,38,76,0.5,6,14,0.429,15,24,0.625,11,37,48,23,17.0,6,4,6,22,19,97,13.0,1,1,1,1,7,28,57,23,36,58,17,50,38,77,37,12,13,14,70,48,55,60,45,41,39,16
11,2009-10,1610612748,MIA,Miami Heat,0020901123,2010-04-02T00:00:00,MIA @ IND,W,53.0,38,84,0.452,7,21,0.333,22,30,0.733,12,40,52,12,15.0,8,8,3,20,22,105,9.0,1,1,1,1,3,28,16,41,21,19,40,15,16,47,26,4,2,76,49,29,7,17,33,27,21,28
12,2009-10,1610612748,MIA,Miami Heat,0020901112,2010-03-31T00:00:00,MIA @ DET,W,48.0,36,73,0.493,12,21,0.571,14,17,0.824,14,27,41,20,17.0,9,5,3,23,16,98,17.0,1,1,1,1,7,40,69,29,2,19,4,56,64,22,9,60,46,32,70,22,40,17,54,61,38,13
13,2009-10,1610612748,MIA,Miami Heat,0020901091,2010-03-28T00:00:00,MIA vs. TOR,W,48.0,37,70,0.529,4,17,0.235,19,21,0.905,5,25,30,19,15.0,8,6,2,16,24,97,3.0,1,1,1,1,7,32,78,12,59,38,66,34,47,3,79,71,79,35,49,29,28,6,7,15,39,41
14,2009-10,1610612748,MIA,Miami Heat,0020901079,2010-03-26T00:00:00,MIA @ MIL,W,48.0,30,61,0.492,2,14,0.143,25,28,0.893,9,37,46,16,20.0,5,6,0,22,22,87,13.0,1,1,1,1,7,73,82,31,75,58,77,9,22,4,51,12,17,56,81,60,28,1,45,27,64,16
15,2009-10,1610612748,MIA,Miami Heat,0020901068,2010-03-25T00:00:00,MIA @ CHI,W,48.0,41,79,0.519,3,11,0.273,18,26,0.692,9,36,45,22,10.0,4,9,3,18,19,103,29.0,1,1,1,1,7,14,37,17,66,78,56,39,31,62,51,16,23,20,12,69,5,17,14,41,26,5
16,2009-10,1610612748,MIA,Miami Heat,0020901044,2010-03-22T00:00:00,MIA @ NJN,W,48.0,41,74,0.554,3,12,0.25,14,22,0.636,8,33,41,28,9.0,8,5,3,22,16,99,10.0,1,1,1,1,7,14,66,9,66,70,62,56,43,75,61,26,46,3,6,29,40,17,45,61,33,26
17,2009-10,1610612748,MIA,Miami Heat,0020901030,2010-03-20T00:00:00,MIA vs. CHA,W,48.0,28,78,0.359,7,28,0.25,14,20,0.7,13,37,50,19,13.0,6,13,5,27,21,77,6.0,1,1,1,1,7,79,45,80,21,2,62,56,49,59,17,12,9,35,37,48,1,47,77,29,79,34
18,2009-10,1610612748,MIA,Miami Heat,0020901016,2010-03-18T00:00:00,MIA vs. ORL,L,53.0,37,90,0.411,8,25,0.32,20,24,0.833,13,31,44,16,11.0,4,8,7,24,20,102,-6.0,1,48,48,48,3,32,5,63,14,5,44,25,38,17,17,38,30,56,16,69,7,69,65,36,28,55
19,2009-10,1610612748,MIA,Miami Heat,0020900999,2010-03-16T00:00:00,MIA vs. SAS,L,48.0,30,78,0.385,3,16,0.188,13,19,0.684,8,28,36,11,15.0,11,5,3,20,19,76,-12.0,1,48,48,48,7,73,45,76,66,44,73,64,54,64,61,56,67,80,49,6,40,17,33,41,80,69
20,2009-10,1610612748,MIA,Miami Heat,0020900985,2010-03-14T00:00:00,MIA vs. PHI,W,48.0,39,79,0.494,7,22,0.318,19,26,0.731,9,35,44,24,11.0,11,6,4,17,20,104,13.0,1,1,1,1,7,23,37,26,21,12,45,34,31,49,51,18,30,10,16,6,28,38,11,36,23,16
21,2009-10,1610612748,MIA,Miami Heat,0020900967,2010-03-12T00:00:00,MIA vs. CHI,W,48.0,36,73,0.493,12,21,0.571,24,32,0.75,8,31,39,21,15.0,3,6,3,19,25,108,13.0,1,1,1,1,7,40,69,29,2,19,4,12,7,40,61,38,55,25,49,76,28,17,27,12,15,16
22,2009-10,1610612748,MIA,Miami Heat,0020900956,2010-03-10T00:00:00,MIA vs. LAC,W,48.0,35,77,0.455,9,17,0.529,29,35,0.829,13,35,48,20,12.0,10,3,2,14,26,108,11.0,1,1,1,1,7,46,53,40,9,38,8,2,4,20,17,18,13,32,26,12,69,6,1,6,15,25
23,2009-10,1610612748,MIA,Miami Heat,0020900945,2010-03-09T00:00:00,MIA @ CHA,L,48.0,31,77,0.403,3,18,0.167,13,16,0.813,7,35,42,12,11.0,6,5,8,24,13,78,-5.0,1,48,48,48,7,70,53,67,66,33,74,64,68,26,70,18,40,76,16,48,40,76,65,79,77,53
24,2009-10,1610612748,MIA,Miami Heat,0020900926,2010-03-06T00:00:00,MIA vs. ATL,W,48.0,34,80,0.425,11,29,0.379,21,29,0.724,13,32,45,17,6.0,9,3,3,18,19,100,6.0,1,1,1,1,7,54,31,53,4,1,29,17,19,52,17,31,23,47,1,22,69,17,14,41,31,34
25,2009-10,1610612748,MIA,Miami Heat,0020900912,2010-03-04T00:00:00,MIA vs. LAL,W,53.0,42,80,0.525,9,19,0.474,21,25,0.84,8,30,38,25,15.0,12,4,1,18,23,114,3.0,1,1,1,1,3,9,31,13,9,27,12,17,35,14,61,44,56,8,49,4,55,2,14,20,7,41
26,2009-10,1610612748,MIA,Miami Heat,0020900896,2010-03-02T00:00:00,MIA vs. GSW,W,48.0,42,85,0.494,5,14,0.357,21,31,0.677,11,39,50,23,15.0,8,3,2,18,27,110,4.0,1,1,1,1,7,9,14,25,52,58,37,17,12,68,37,7,9,14,49,29,69,6,14,5,13,37
27,2009-10,1610612748,MIA,Miami Heat,0020900883,2010-02-28T00:00:00,MIA @ ORL,L,48.0,30,77,0.39,6,16,0.375,14,18,0.778,11,27,38,17,15.0,1,4,7,22,19,80,-16.0,1,48,48,48,7,73,53,74,36,44,30,56,59,34,37,60,56,47,49,82,55,69,45,41,74,73
28,2009-10,1610612748,MIA,Miami Heat,0020900872,2010-02-27T00:00:00,MIA vs. MIL,L,48.0,28,78,0.359,3,13,0.231,12,18,0.667,10,31,41,9,12.0,8,4,6,14,16,71,-23.0,1,48,48,48,7,79,45,80,66,67,68,69,59,69,49,38,46,82,26,29,55,60,1,61,81,78
29,2009-10,1610612748,MIA,Miami Heat,0020900839,2010-02-23T00:00:00,MIA vs. MIN,L,48.0,33,80,0.413,8,22,0.364,14,16,0.875,7,29,36,17,13.0,12,12,5,15,15,88,-3.0,1,48,48,48,7,59,31,62,14,12,36,56,68,8,70,52,67,47,37,4,2,47,4,69,63,50
30,2009-10,1610612748,MIA,Miami Heat,0020900819,2010-02-20T00:00:00,MIA @ DAL,L,48.0,37,80,0.463,7,19,0.368,10,10,1.0,12,31,43,18,17.0,3,2,3,25,14,91,-6.0,1,48,48,48,7,32,31,37,21,27,33,75,82,1,26,38,34,43,70,76,76,17,70,77,55,55
31,2009-10,1610612748,MIA,Miami Heat,0020900808,2010-02-19T00:00:00,MIA @ MEM,W,58.0,38,90,0.422,8,20,0.4,16,23,0.696,9,42,51,19,20.0,11,7,6,23,26,100,13.0,1,1,1,1,1,28,5,54,14,24,23,44,41,61,51,2,8,35,81,6,17,60,54,6,31,16
32,2009-10,1610612748,MIA,Miami Heat,0020900795,2010-02-17T00:00:00,MIA @ NJN,W,48.0,29,74,0.392,5,14,0.357,24,34,0.706,12,40,52,16,12.0,6,5,5,23,21,87,3.0,1,1,1,1,7,77,66,73,52,58,37,12,5,57,26,4,2,56,26,48,40,47,54,29,64,41
33,2009-10,1610612748,MIA,Miami Heat,0020900782,2010-02-16T00:00:00,MIA @ PHI,W,48.0,42,82,0.512,5,12,0.417,16,20,0.8,13,39,52,26,13.0,4,7,5,17,15,105,27.0,1,1,1,1,7,9,22,21,52,70,20,44,49,28,17,7,2,6,37,69,17,47,11,69,21,6
34,2009-10,1610612748,MIA,Miami Heat,0020900769,2010-02-10T00:00:00,MIA @ ATL,W,48.0,41,81,0.506,5,16,0.313,7,11,0.636,13,30,43,23,12.0,6,5,4,18,13,94,18.0,1,1,1,1,7,14,28,22,52,44,49,82,80,75,17,44,34,14,26,48,40,38,14,79,48,11
35,2009-10,1610612748,MIA,Miami Heat,0020900762,2010-02-09T00:00:00,MIA vs. HOU,W,48.0,41,79,0.519,7,15,0.467,10,13,0.769,4,42,46,27,11.0,9,8,1,21,15,99,33.0,1,1,1,1,7,14,37,17,21,50,13,75,78,37,81,2,17,4,16,22,7,2,39,69,33,2
36,2009-10,1610612748,MIA,Miami Heat,0020900745,2010-02-06T00:00:00,MIA @ CHI,L,48.0,34,82,0.415,7,21,0.333,16,19,0.842,12,40,52,19,18.0,6,8,7,23,16,91,-4.0,1,48,48,48,7,54,22,58,21,19,40,44,54,13,26,4,2,35,76,48,7,69,54,61,55,51
