,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612749,MIL,Milwaukee Bucks,0040900127,2010-05-02T00:00:00,MIL @ ATL,L,48.0,28,86,0.326,4,19,0.211,14,19,0.737,12,22,34,15,5.0,5,2,8,20,21,74,-21.0,1,4,4,4,1,6,2,7,6,5,6,4,3,5,2,7,6,5,1,4,6,4,2,3,6,7
1,2009-10,1610612749,MIL,Milwaukee Bucks,0040900126,2010-04-30T00:00:00,MIL vs. ATL,L,48.0,25,76,0.329,7,26,0.269,12,12,1.0,8,34,42,14,14.0,4,3,6,24,15,69,-14.0,1,4,4,4,1,7,5,6,3,1,5,5,7,1,6,1,3,6,4,6,3,3,7,5,7,6
2,2009-10,1610612749,MIL,Milwaukee Bucks,0040900125,2010-04-28T00:00:00,MIL @ ATL,W,48.0,30,74,0.405,8,19,0.421,23,29,0.793,10,29,39,16,12.0,10,3,8,21,25,91,4.0,1,1,1,1,1,5,6,5,2,5,2,2,2,4,5,3,4,4,2,2,3,4,3,2,4,3
3,2009-10,1610612749,MIL,Milwaukee Bucks,0040900124,2010-04-26T00:00:00,MIL vs. ATL,W,48.0,38,69,0.551,7,18,0.389,28,32,0.875,8,25,33,17,15.0,2,3,2,21,29,111,7.0,1,1,1,1,1,2,7,1,3,7,3,1,1,3,6,5,7,3,7,7,3,1,3,1,1,2
4,2009-10,1610612749,MIL,Milwaukee Bucks,0040900123,2010-04-24T00:00:00,MIL vs. ATL,W,48.0,41,80,0.513,10,23,0.435,15,16,0.938,11,33,44,23,14.0,7,5,5,22,13,107,18.0,1,1,1,1,1,1,4,2,1,3,1,3,5,2,3,2,2,1,4,3,2,2,6,7,2,1
5,2009-10,1610612749,MIL,Milwaukee Bucks,0040900122,2010-04-20T00:00:00,MIL @ ATL,L,48.0,37,90,0.411,4,24,0.167,8,14,0.571,18,29,47,18,13.0,5,6,8,21,14,86,-10.0,1,4,4,4,1,3,1,4,6,2,7,7,6,7,1,3,1,2,3,4,1,4,3,6,5,4
6,2009-10,1610612749,MIL,Milwaukee Bucks,0040900121,2010-04-17T00:00:00,MIL @ ATL,L,48.0,37,82,0.451,6,20,0.3,12,17,0.706,11,24,35,11,14.0,11,1,11,18,17,92,-10.0,1,4,4,4,1,3,3,3,5,4,4,5,4,6,3,6,5,7,4,1,7,7,1,4,3,4
7,2009-10,1610612749,MIL,Milwaukee Bucks,0020901218,2010-04-14T00:00:00,MIL @ BOS,W,48.0,40,79,0.506,10,26,0.385,16,24,0.667,11,30,41,25,8.0,6,2,3,20,22,106,11.0,1,1,1,1,11,22,63,9,10,16,27,36,21,63,42,46,53,15,5,50,67,14,21,22,19,17
8,2009-10,1610612749,MIL,Milwaukee Bucks,0020901207,2010-04-12T00:00:00,MIL vs. ATL,L,48.0,36,93,0.387,11,32,0.344,13,17,0.765,11,23,34,20,4.0,5,1,11,22,21,96,-8.0,1,47,47,47,11,46,10,70,5,1,48,51,57,41,42,75,78,45,1,61,79,80,40,34,45,62
9,2009-10,1610612749,MIL,Milwaukee Bucks,0020901191,2010-04-10T00:00:00,MIL vs. BOS,L,48.0,31,78,0.397,8,24,0.333,20,24,0.833,11,27,38,14,11.0,7,3,6,25,24,90,-15.0,1,47,47,47,11,75,72,65,34,28,49,13,21,17,42,66,67,79,22,33,56,48,58,6,64,73
