,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901223,2010-04-14T00:00:00,MIN vs. DET,L,48.0,38,77,0.494,3,12,0.25,19,24,0.792,12,27,39,23,17.0,6,7,5,24,21,98,-5.0,1,16,16,16,3,35,69,15,58,56,58,28,34,29,37,62,52,13,46,52,4,33,63,33,39,27
1,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901208,2010-04-12T00:00:00,MIN @ SAS,L,48.0,39,82,0.476,9,16,0.563,24,30,0.8,6,30,36,21,19.0,6,4,4,27,25,111,-22.0,1,16,16,16,3,29,49,22,3,25,4,13,17,24,78,42,66,28,59,52,26,23,78,12,9,67
2,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901198,2010-04-11T00:00:00,MIN @ NOH,L,48.0,26,66,0.394,3,13,0.231,31,38,0.816,4,26,30,13,19.0,9,3,2,22,28,86,-28.0,1,16,16,16,3,82,82,68,58,49,61,2,3,20,81,66,81,78,59,11,45,7,47,4,74,78
3,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901180,2010-04-09T00:00:00,MIN vs. LAL,L,48.0,38,89,0.427,7,23,0.304,5,9,0.556,15,30,45,24,16.0,7,3,9,19,15,88,-9.0,1,16,16,16,3,35,22,58,12,1,50,81,80,78,18,42,32,10,40,38,45,73,25,73,68,39
4,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901163,2010-04-07T00:00:00,MIN vs. GSW,L,48.0,39,81,0.481,10,20,0.5,19,27,0.704,10,26,36,25,16.0,6,2,1,15,23,107,-9.0,1,16,16,16,3,29,54,18,2,6,8,28,24,58,48,66,66,8,40,52,60,2,3,22,21,39
5,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901147,2010-04-04T00:00:00,MIN @ OKC,L,48.0,37,78,0.474,6,17,0.353,28,32,0.875,7,27,34,18,15.0,4,2,6,19,24,108,-8.0,1,16,16,16,3,43,63,24,24,18,38,3,13,6,69,62,73,54,31,74,60,42,25,16,17,35
6,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901136,2010-04-03T00:00:00,MIN vs. MIA,L,48.0,34,76,0.447,4,18,0.222,12,23,0.522,8,30,38,20,13.0,9,6,4,19,22,84,-13.0,1,16,16,16,3,66,74,42,42,12,64,64,39,82,60,42,56,41,13,11,5,23,25,27,77,50
7,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901115,2010-03-31T00:00:00,MIN vs. SAC,W,48.0,46,82,0.561,8,15,0.533,8,11,0.727,10,36,46,30,19.0,4,10,1,16,14,108,9.0,1,1,1,1,3,2,49,2,7,35,6,77,76,51,48,15,27,2,59,74,1,2,9,79,17,5
8,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901093,2010-03-28T00:00:00,MIN vs. PHX,L,48.0,37,94,0.394,4,16,0.25,27,37,0.73,20,38,58,17,16.0,9,6,3,18,26,105,-6.0,1,16,16,16,3,43,5,69,42,25,58,5,4,50,3,9,2,62,40,11,5,14,18,8,24,28
9,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901073,2010-03-26T00:00:00,MIN @ ORL,L,48.0,39,88,0.443,5,16,0.313,14,19,0.737,10,29,39,14,12.0,10,3,6,21,20,97,-9.0,1,16,16,16,3,29,27,47,32,25,47,57,59,47,48,53,52,70,5,6,45,42,39,40,41,39
10,2009-10,1610612750,MIN,Minnesota Timberwolves,0020901059,2010-03-24T00:00:00,MIN @ CHA,L,48.0,37,82,0.451,4,13,0.308,17,23,0.739,7,27,34,20,17.0,9,6,11,19,21,95,-13.0,1,16,16,16,3,43,49,39,42,49,48,38,39,44,69,62,73,41,46,11,5,79,25,33,46,50
