,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612740,NOH,New Orleans Hornets,0020901221,2010-04-14T00:00:00,NOH @ HOU,W,48.0,51,80,0.638,9,15,0.6,12,16,0.75,5,32,37,28,14.0,6,2,6,17,19,123,8.0,1,1,1,1,7,2,55,1,14,63,2,57,61,52,74,23,52,9,48,53,52,52,18,43,2,7
1,2009-10,1610612740,NOH,New Orleans Hornets,0020901198,2010-04-11T00:00:00,NOH vs. MIN,W,48.0,43,82,0.524,4,15,0.267,24,27,0.889,11,38,49,30,20.0,11,2,3,28,22,114,28.0,1,1,1,1,7,11,47,8,64,63,63,9,11,9,26,3,9,4,76,6,52,20,80,20,8,1
2,2009-10,1610612740,NOH,New Orleans Hornets,0020901182,2010-04-09T00:00:00,NOH vs. UTA,L,48.0,39,79,0.494,8,15,0.533,17,24,0.708,7,28,35,20,14.0,7,4,4,18,23,103,-11.0,1,38,38,38,7,29,58,24,23,63,6,29,18,61,63,52,63,52,48,41,31,34,29,15,27,62
3,2009-10,1610612740,NOH,New Orleans Hornets,0020901164,2010-04-07T00:00:00,NOH vs. CHA,L,48.0,39,81,0.481,8,20,0.4,17,22,0.773,9,25,34,23,14.0,14,5,6,23,20,103,-1.0,1,38,38,38,7,29,51,30,23,35,31,29,30,43,47,71,66,31,48,1,16,52,66,32,27,38
4,2009-10,1610612740,NOH,New Orleans Hornets,0020901134,2010-04-03T00:00:00,NOH @ NJN,L,48.0,37,93,0.398,1,11,0.091,12,18,0.667,14,21,35,26,11.0,11,6,10,17,15,87,-28.0,1,38,38,38,7,47,5,75,82,77,82,57,51,67,12,79,63,16,18,6,11,81,18,68,76,82
5,2009-10,1610612740,NOH,New Orleans Hornets,0020901128,2010-04-02T00:00:00,NOH @ MEM,L,48.0,41,93,0.441,5,20,0.25,9,13,0.692,11,30,41,17,11.0,7,7,5,23,17,96,-11.0,1,38,38,38,7,18,5,54,56,35,67,74,70,64,26,35,31,70,18,41,6,44,66,57,50,62
6,2009-10,1610612740,NOH,New Orleans Hornets,0020901116,2010-03-31T00:00:00,NOH vs. WAS,L,48.0,37,77,0.481,3,11,0.273,14,18,0.778,11,25,36,18,14.0,8,1,4,22,18,91,-5.0,1,38,38,38,7,47,70,33,74,77,61,46,51,42,26,71,60,62,48,28,67,34,60,47,68,45
7,2009-10,1610612740,NOH,New Orleans Hornets,0020901099,2010-03-29T00:00:00,NOH vs. LAL,W,48.0,36,73,0.493,10,23,0.435,26,34,0.765,8,32,40,22,9.0,6,4,2,20,27,108,8.0,1,1,1,1,7,62,77,26,10,15,24,5,1,47,54,23,39,38,4,53,31,12,43,1,17,7
8,2009-10,1610612740,NOH,New Orleans Hornets,0020901084,2010-03-27T00:00:00,NOH vs. POR,L,48.0,41,70,0.586,7,12,0.583,12,17,0.706,6,19,25,24,12.0,6,1,2,22,15,101,-11.0,1,38,38,38,7,18,81,3,36,76,3,57,55,63,70,81,82,23,28,53,67,12,60,68,32,62
9,2009-10,1610612740,NOH,New Orleans Hornets,0020901064,2010-03-24T00:00:00,NOH vs. CLE,L,48.0,37,84,0.44,6,21,0.286,12,15,0.8,13,24,37,29,9.0,6,2,2,17,16,92,-13.0,1,38,38,38,7,47,36,55,47,25,56,57,64,38,18,74,52,7,4,53,52,12,18,61,64,68
10,2009-10,1610612740,NOH,New Orleans Hornets,0020901048,2010-03-22T00:00:00,NOH vs. DAL,W,48.0,45,83,0.542,12,24,0.5,13,17,0.765,8,29,37,33,14.0,9,3,6,15,18,115,16.0,1,1,1,1,7,7,41,6,5,13,10,50,55,47,54,47,52,2,48,20,41,52,5,47,6,3
11,2009-10,1610612740,NOH,New Orleans Hornets,0020901035,2010-03-20T00:00:00,NOH @ UTA,L,48.0,34,79,0.43,3,13,0.231,15,24,0.625,18,26,44,19,18.0,3,6,4,16,20,86,-20.0,1,38,38,38,7,68,58,63,74,74,73,43,18,73,5,65,17,58,71,79,11,34,11,32,78,78
12,2009-10,1610612740,NOH,New Orleans Hornets,0020901017,2010-03-18T00:00:00,NOH @ DEN,L,48.0,33,77,0.429,2,8,0.25,12,15,0.8,11,33,44,16,21.0,5,4,6,23,15,80,-13.0,1,38,38,38,7,77,70,65,81,81,67,57,64,38,26,16,17,76,79,67,31,52,66,68,81,68
13,2009-10,1610612740,NOH,New Orleans Hornets,0020901014,2010-03-17T00:00:00,NOH @ GSW,L,48.0,44,86,0.512,7,21,0.333,26,34,0.765,13,26,39,28,18.0,7,2,3,19,25,121,-10.0,1,38,38,38,7,10,24,13,36,25,42,5,1,47,18,65,44,9,71,41,52,20,37,5,4,59
14,2009-10,1610612740,NOH,New Orleans Hornets,0020900996,2010-03-15T00:00:00,NOH @ LAC,W,48.0,48,85,0.565,9,18,0.5,3,5,0.6,6,36,42,31,15.0,3,2,1,17,12,108,8.0,1,1,1,1,7,3,29,4,14,47,10,82,82,76,70,8,29,3,57,79,52,2,18,82,17,7
15,2009-10,1610612740,NOH,New Orleans Hornets,0020900988,2010-03-14T00:00:00,NOH @ PHX,L,48.0,42,90,0.467,7,15,0.467,15,20,0.75,14,27,41,22,14.0,11,2,3,23,16,106,-14.0,1,38,38,38,7,13,16,39,36,63,17,43,40,52,12,58,31,38,48,6,52,20,66,61,22,70
16,2009-10,1610612740,NOH,New Orleans Hornets,0020900971,2010-03-12T00:00:00,NOH vs. DEN,L,48.0,37,89,0.416,4,17,0.235,17,21,0.81,9,27,36,23,12.0,12,1,1,18,16,95,-7.0,1,38,38,38,7,47,18,71,64,55,71,29,36,34,47,58,60,31,28,4,67,2,29,61,57,51
17,2009-10,1610612740,NOH,New Orleans Hornets,0020900958,2010-03-10T00:00:00,NOH @ OKC,L,48.0,34,79,0.43,3,14,0.214,12,19,0.632,8,30,38,16,16.0,7,5,4,17,13,83,-15.0,1,38,38,38,7,68,58,63,74,69,75,57,44,71,54,35,47,76,63,41,16,34,18,79,80,72
18,2009-10,1610612740,NOH,New Orleans Hornets,0020900944,2010-03-08T00:00:00,NOH vs. GSW,W,48.0,54,92,0.587,10,22,0.455,17,24,0.708,15,29,44,38,16.0,8,1,3,18,23,135,4.0,1,1,1,1,7,1,8,2,10,19,19,29,18,61,8,47,17,1,63,28,67,20,29,15,1,27
19,2009-10,1610612740,NOH,New Orleans Hornets,0020900923,2010-03-05T00:00:00,NOH @ SAS,L,48.0,41,83,0.494,4,10,0.4,5,9,0.556,7,25,32,14,10.0,10,6,5,15,16,91,-11.0,1,38,38,38,7,18,41,23,64,79,31,80,80,81,63,71,77,80,10,14,11,44,5,61,68,62
