,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612752,NYK,New York Knicks,0020901226,2010-04-14T00:00:00,NYK @ TOR,L,48.0,39,90,0.433,15,33,0.455,20,26,0.769,18,20,38,22,15.0,6,1,5,19,20,113,-18.0,1,30,30,30,8,31,15,57,5,8,12,20,17,46,3,81,52,35,48,47,71,45,26,32,15,73
1,2009-10,1610612752,NYK,New York Knicks,0020901206,2010-04-12T00:00:00,NYK vs. WAS,W,48.0,41,80,0.513,11,23,0.478,21,25,0.84,10,29,39,17,13.0,8,1,7,20,21,114,11.0,1,1,1,1,8,23,53,12,19,58,10,17,19,22,38,41,44,70,29,25,71,67,36,21,12,9
2,2009-10,1610612752,NYK,New York Knicks,0020901199,2010-04-11T00:00:00,NYK vs. MIA,L,48.0,33,73,0.452,7,24,0.292,25,28,0.893,10,29,39,25,15.0,5,2,2,18,21,98,-13.0,1,30,30,30,8,69,78,43,54,50,57,5,11,8,38,41,44,18,48,58,58,4,22,21,45,64
3,2009-10,1610612752,NYK,New York Knicks,0020901174,2010-04-09T00:00:00,NYK @ ORL,L,48.0,35,74,0.473,16,33,0.485,17,22,0.773,9,26,35,21,13.0,6,2,3,20,18,103,-15.0,1,30,30,30,8,56,76,28,2,8,9,35,35,43,48,72,69,38,29,47,58,17,36,46,39,70
4,2009-10,1610612752,NYK,New York Knicks,0020901158,2010-04-07T00:00:00,NYK @ IND,L,48.0,40,89,0.449,10,25,0.4,15,17,0.882,15,30,45,22,11.0,3,2,3,20,16,105,-8.0,1,30,30,30,8,27,17,47,27,40,24,48,60,10,7,36,15,35,17,77,58,17,36,61,31,49
5,2009-10,1610612752,NYK,New York Knicks,0020901153,2010-04-06T00:00:00,NYK vs. BOS,W,48.0,39,88,0.443,6,25,0.24,20,25,0.8,15,29,44,23,13.0,6,1,4,20,22,104,3.0,1,1,1,1,8,31,22,53,67,40,72,20,19,32,7,41,19,28,29,47,71,32,36,15,34,26
6,2009-10,1610612752,NYK,New York Knicks,0020901148,2010-04-04T00:00:00,NYK @ LAC,W,48.0,42,89,0.472,11,30,0.367,18,22,0.818,9,29,38,27,12.0,10,4,5,15,17,113,6.0,1,1,1,1,8,16,17,29,19,16,33,28,35,26,48,41,52,7,21,9,26,45,9,54,15,18
7,2009-10,1610612752,NYK,New York Knicks,0020901130,2010-04-02T00:00:00,NYK @ GSW,L,48.0,43,89,0.483,15,34,0.441,16,19,0.842,14,30,44,30,23.0,4,1,5,20,16,117,-11.0,1,30,30,30,8,13,17,26,5,7,16,42,51,21,12,36,19,4,82,71,71,45,36,61,10,59
8,2009-10,1610612752,NYK,New York Knicks,0020901118,2010-03-31T00:00:00,NYK @ POR,L,48.0,32,74,0.432,7,20,0.35,19,21,0.905,6,24,30,16,14.0,4,2,2,20,18,90,-28.0,1,30,30,30,8,72,76,58,54,69,37,23,39,6,67,75,82,73,39,71,58,4,36,46,68,78
9,2009-10,1610612752,NYK,New York Knicks,0020901101,2010-03-29T00:00:00,NYK @ UTA,L,48.0,35,77,0.455,9,28,0.321,19,25,0.76,6,35,41,16,14.0,9,3,5,19,21,98,-5.0,1,30,30,30,8,56,65,40,39,28,48,23,19,51,67,10,34,73,39,17,40,45,26,21,45,40
