,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612760,OKC,Oklahoma City Thunder,0040900146,2010-04-30T00:00:00,OKC vs. LAL,L,48.0,31,85,0.365,5,19,0.263,27,31,0.871,13,29,42,21,7.0,7,4,8,19,21,94,-1.0,1,3,3,3,1,2,1,6,4,2,4,3,4,3,3,4,3,1,1,3,3,4,1,5,3,3
1,2009-10,1610612760,OKC,Oklahoma City Thunder,0040900145,2010-04-27T00:00:00,OKC @ LAL,L,48.0,31,84,0.369,7,20,0.35,18,24,0.75,14,28,42,18,17.0,6,3,10,25,19,87,-24.0,1,3,3,3,1,2,2,5,2,1,2,6,5,6,1,5,3,2,5,4,4,6,5,6,5,6
2,2009-10,1610612760,OKC,Oklahoma City Thunder,0040900144,2010-04-24T00:00:00,OKC vs. LAL,W,48.0,31,76,0.408,6,18,0.333,42,48,0.875,13,37,50,15,10.0,8,7,4,23,30,110,21.0,1,1,1,1,1,2,4,2,3,5,3,1,1,2,3,2,2,4,3,2,2,2,4,1,1,1
3,2009-10,1610612760,OKC,Oklahoma City Thunder,0040900143,2010-04-22T00:00:00,OKC vs. LAL,W,48.0,33,80,0.413,8,19,0.421,27,34,0.794,14,39,53,16,9.0,3,3,4,19,26,101,5.0,1,1,1,1,1,1,3,1,1,2,1,3,2,4,1,1,1,3,2,6,4,2,1,3,2,2
4,2009-10,1610612760,OKC,Oklahoma City Thunder,0040900142,2010-04-20T00:00:00,OKC @ LAL,L,48.0,29,74,0.392,5,19,0.263,29,33,0.879,7,30,37,13,17.0,9,17,3,30,26,92,-3.0,1,3,3,3,1,5,5,4,4,2,4,2,3,1,6,3,5,6,5,1,1,1,6,3,4,4
5,2009-10,1610612760,OKC,Oklahoma City Thunder,0040900141,2010-04-18T00:00:00,OKC @ LAL,L,48.0,29,72,0.403,2,16,0.125,19,24,0.792,9,27,36,14,15.0,6,3,8,21,27,79,-8.0,1,3,3,3,1,5,6,3,6,6,6,5,5,5,5,6,6,5,4,4,4,4,3,2,6,5
6,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901224,2010-04-14T00:00:00,OKC vs. MEM,W,48.0,42,79,0.532,10,25,0.4,20,25,0.8,10,32,42,25,14.0,4,9,2,25,17,114,9.0,1,1,1,1,6,14,48,8,4,2,30,45,41,45,50,36,50,7,30,75,11,2,62,71,13,26
7,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901210,2010-04-12T00:00:00,OKC @ POR,L,48.0,30,64,0.469,7,18,0.389,28,36,0.778,8,27,35,11,16.0,5,3,3,25,23,95,-8.0,1,51,51,51,6,79,82,39,17,13,33,9,7,58,65,67,77,80,49,65,69,13,62,25,56,67
8,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901200,2010-04-11T00:00:00,OKC @ GSW,L,48.0,44,104,0.423,9,21,0.429,20,24,0.833,23,32,55,25,14.0,7,6,8,25,20,117,-3.0,1,51,51,51,6,4,1,64,6,7,22,45,46,29,1,36,2,7,30,39,31,75,62,44,8,57
9,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901183,2010-04-09T00:00:00,OKC vs. PHX,W,48.0,35,88,0.398,4,13,0.308,22,27,0.815,12,27,39,16,13.0,11,9,7,22,20,96,5.0,1,1,1,1,6,53,11,73,49,51,50,34,36,44,37,67,65,64,19,12,11,67,45,44,54,38
10,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901165,2010-04-07T00:00:00,OKC vs. DEN,L,48.0,35,80,0.438,1,14,0.071,23,31,0.742,10,31,41,17,16.0,5,9,6,20,26,94,-4.0,1,51,51,51,6,53,44,55,80,39,80,30,25,66,50,46,54,59,49,65,11,61,33,12,57,62
11,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901156,2010-04-06T00:00:00,OKC @ UTA,L,53.0,45,90,0.5,13,30,0.433,36,41,0.878,13,30,43,27,18.0,7,11,2,27,31,139,-1.0,1,51,51,51,1,3,7,20,1,1,21,1,1,14,27,50,43,3,66,39,3,2,74,1,1,51
12,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901147,2010-04-04T00:00:00,OKC vs. MIN,W,48.0,46,91,0.505,5,13,0.385,19,20,0.95,16,32,48,25,13.0,7,6,2,24,19,116,8.0,1,1,1,1,6,2,5,19,30,51,34,53,69,3,10,36,12,7,19,39,31,2,60,53,11,28
13,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901137,2010-04-03T00:00:00,OKC @ DAL,W,48.0,42,81,0.519,5,14,0.357,32,38,0.842,10,24,34,22,14.0,11,1,6,23,28,121,5.0,1,1,1,1,6,14,38,10,30,39,42,3,5,26,50,79,80,28,30,12,78,61,51,3,4,38
14,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901111,2010-03-31T00:00:00,OKC @ BOS,W,48.0,38,75,0.507,5,11,0.455,28,34,0.824,11,25,36,22,12.0,6,5,5,21,25,109,5.0,1,1,1,1,6,34,66,16,30,71,16,9,15,41,45,74,73,28,11,56,42,45,37,16,18,38
15,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901103,2010-03-30T00:00:00,OKC @ PHI,W,48.0,43,88,0.489,6,12,0.5,19,27,0.704,14,33,47,27,10.0,13,4,4,18,19,111,18.0,1,1,1,1,6,9,11,23,20,61,8,53,36,76,17,29,18,3,5,6,53,30,16,53,16,5
16,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901094,2010-03-28T00:00:00,OKC vs. POR,L,48.0,32,70,0.457,3,15,0.2,20,25,0.8,13,28,41,13,17.0,5,10,3,23,20,87,-5.0,1,51,51,51,6,71,77,45,61,33,68,45,41,45,27,63,54,77,58,65,5,13,51,44,73,63
17,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901078,2010-03-26T00:00:00,OKC vs. LAL,W,48.0,37,77,0.481,2,18,0.111,15,18,0.833,8,34,42,15,14.0,12,4,3,17,18,91,16.0,1,1,1,1,6,42,55,27,69,13,79,72,75,29,65,22,50,68,30,9,53,13,11,62,66,13
18,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901065,2010-03-24T00:00:00,OKC vs. HOU,W,48.0,47,80,0.588,8,16,0.5,20,22,0.909,6,35,41,30,13.0,5,12,4,20,19,122,18.0,1,1,1,1,6,1,44,2,8,26,8,45,64,7,76,18,54,1,19,65,2,30,33,53,3,5
19,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901049,2010-03-22T00:00:00,OKC vs. SAS,L,48.0,33,73,0.452,2,13,0.154,28,32,0.875,7,32,39,16,12.0,5,8,2,23,22,96,-3.0,1,51,51,51,6,66,73,48,69,51,74,9,21,15,71,36,65,64,11,65,18,2,51,30,54,57
20,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901037,2010-03-21T00:00:00,OKC @ IND,L,48.0,38,88,0.432,4,16,0.25,21,23,0.913,16,28,44,25,16.0,6,5,3,21,19,101,-20.0,1,51,51,51,6,34,11,59,49,26,57,43,53,6,10,63,39,7,49,56,42,13,37,53,40,81
21,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901019,2010-03-19T00:00:00,OKC @ TOR,W,48.0,39,94,0.415,8,22,0.364,29,33,0.879,20,33,53,20,11.0,10,7,3,22,24,115,26.0,1,1,1,1,6,28,2,70,8,6,41,7,17,13,2,29,3,42,6,17,20,13,45,20,12,2
22,2009-10,1610612760,OKC,Oklahoma City Thunder,0020901005,2010-03-17T00:00:00,OKC @ CHA,L,48.0,37,82,0.451,2,13,0.154,16,18,0.889,9,34,43,22,13.0,5,7,12,26,17,92,-8.0,1,51,51,51,6,42,34,49,69,51,74,67,75,9,58,22,43,28,19,65,20,82,72,71,64,67
