,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612753,ORL,Orlando Magic,0040900306,2010-05-28T00:00:00,ORL @ BOS,L,48.0,31,72,0.431,6,22,0.273,16,27,0.593,9,26,35,14,12.0,8,3,3,21,25,84,-12.0,1,11,11,11,2,9,5,10,13,12,12,12,8,13,9,11,12,10,5,3,11,5,4,8,13,13
1,2009-10,1610612753,ORL,Orlando Magic,0040900305,2010-05-26T00:00:00,ORL vs. BOS,W,48.0,36,69,0.522,13,25,0.52,28,35,0.8,10,33,43,16,14.0,6,7,4,24,30,113,21.0,1,1,1,1,2,3,9,4,2,9,1,3,4,2,6,4,4,8,7,6,4,7,8,1,2,3
2,2009-10,1610612753,ORL,Orlando Magic,0040900304,2010-05-24T00:00:00,ORL @ BOS,W,53.0,33,74,0.446,10,28,0.357,20,33,0.606,11,32,43,19,19.0,5,5,6,27,30,96,4.0,1,1,1,1,1,6,3,7,5,7,9,7,7,12,3,6,4,4,13,10,7,12,14,1,8,9
3,2009-10,1610612753,ORL,Orlando Magic,0040900303,2010-05-22T00:00:00,ORL @ BOS,L,48.0,24,65,0.369,8,30,0.267,15,18,0.833,3,33,36,10,17.0,5,5,3,25,20,71,-23.0,1,11,11,11,2,14,12,14,11,3,13,13,14,1,13,4,9,13,11,10,7,5,11,14,14,14
4,2009-10,1610612753,ORL,Orlando Magic,0040900302,2010-05-18T00:00:00,ORL vs. BOS,L,48.0,28,71,0.394,7,18,0.389,29,38,0.763,10,26,36,18,14.0,9,2,6,25,29,92,-3.0,1,11,11,11,2,12,6,13,12,14,7,2,3,3,6,11,9,5,7,2,14,12,11,3,9,11
5,2009-10,1610612753,ORL,Orlando Magic,0040900301,2010-05-16T00:00:00,ORL vs. BOS,L,48.0,32,77,0.416,5,22,0.227,19,26,0.731,15,30,45,10,18.0,6,8,5,17,25,88,-4.0,1,11,11,11,2,8,2,12,14,12,14,8,10,5,1,9,3,13,12,6,3,9,2,8,12,12
6,2009-10,1610612753,ORL,Orlando Magic,0040900214,2010-05-10T00:00:00,ORL @ ATL,W,48.0,36,65,0.554,16,37,0.432,10,19,0.526,3,34,37,27,16.0,4,6,2,23,22,98,14.0,1,1,1,1,2,3,12,2,1,1,3,14,13,14,13,3,8,1,10,14,6,2,6,12,6,5
7,2009-10,1610612753,ORL,Orlando Magic,0040900213,2010-05-08T00:00:00,ORL @ ATL,W,48.0,36,71,0.507,10,29,0.345,23,34,0.676,10,41,51,21,9.0,5,5,0,16,24,105,30.0,1,1,1,1,2,3,6,5,5,6,10,6,6,11,6,1,2,3,2,10,7,1,1,10,4,2
8,2009-10,1610612753,ORL,Orlando Magic,0040900212,2010-05-06T00:00:00,ORL vs. ATL,W,48.0,38,68,0.559,9,23,0.391,27,39,0.692,8,27,35,16,9.0,5,3,2,24,29,112,14.0,1,1,1,1,2,2,10,1,8,10,5,4,2,9,10,10,12,8,2,10,11,2,8,3,3,5
9,2009-10,1610612753,ORL,Orlando Magic,0040900211,2010-05-04T00:00:00,ORL vs. ATL,W,48.0,44,84,0.524,9,23,0.391,17,24,0.708,14,39,53,23,13.0,6,7,4,17,24,114,43.0,1,1,1,1,2,1,1,3,8,10,5,11,12,7,2,2,1,2,6,6,4,7,2,10,1,1
