,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612755,PHI,Philadelphia 76ers,0020901225,2010-04-14T00:00:00,PHI @ ORL,L,48.0,43,83,0.518,6,19,0.316,19,24,0.792,9,22,31,23,8.0,6,5,2,17,18,111,-14.0,1,28,28,28,6,10,29,15,25,19,44,23,29,31,54,76,76,22,1,59,40,11,11,37,9,66
1,2009-10,1610612755,PHI,Philadelphia 76ers,0020901203,2010-04-12T00:00:00,PHI vs. MIA,L,48.0,41,75,0.547,12,25,0.48,11,19,0.579,5,25,30,35,10.0,5,3,2,23,18,105,-2.0,1,28,28,28,6,17,70,9,4,3,10,69,57,77,80,65,77,1,5,69,64,11,63,37,22,31
2,2009-10,1610612755,PHI,Philadelphia 76ers,0020901190,2010-04-10T00:00:00,PHI @ MEM,W,48.0,49,86,0.57,14,26,0.538,8,11,0.727,10,29,39,28,14.0,7,5,1,26,14,120,19.0,1,1,1,1,6,2,14,5,1,2,7,77,78,48,46,42,48,4,34,47,40,6,75,76,3,2
3,2009-10,1610612755,PHI,Philadelphia 76ers,0020901175,2010-04-09T00:00:00,PHI vs. MIL,L,48.0,36,81,0.444,9,22,0.409,9,20,0.45,11,29,40,20,18.0,8,6,5,18,19,90,-5.0,1,28,28,28,6,47,43,47,8,9,23,75,53,82,35,42,41,39,67,32,28,48,16,30,58,40
4,2009-10,1610612755,PHI,Philadelphia 76ers,0020901161,2010-04-07T00:00:00,PHI @ MIA,L,48.0,38,75,0.507,8,18,0.444,11,18,0.611,9,36,45,21,19.0,9,6,4,26,16,95,-4.0,1,28,28,28,6,31,70,16,13,28,15,69,64,75,54,8,20,36,73,25,28,36,75,66,45,36
5,2009-10,1610612755,PHI,Philadelphia 76ers,0020901151,2010-04-06T00:00:00,PHI vs. DET,L,48.0,39,74,0.527,6,20,0.3,19,23,0.826,8,18,26,28,16.0,4,5,1,19,18,103,-21.0,1,28,28,28,6,25,76,11,25,14,50,23,33,21,64,81,82,4,51,76,40,6,27,37,28,76
6,2009-10,1610612755,PHI,Philadelphia 76ers,0020901132,2010-04-03T00:00:00,PHI vs. TOR,L,53.0,45,81,0.556,7,21,0.333,26,32,0.813,6,21,27,34,12.0,13,1,3,27,21,123,-5.0,1,28,28,28,1,5,43,7,20,11,35,3,3,27,74,79,81,2,15,4,78,25,79,12,2,40
7,2009-10,1610612755,PHI,Philadelphia 76ers,0020901108,2010-03-31T00:00:00,PHI @ CHA,L,48.0,37,83,0.446,5,21,0.238,5,11,0.455,11,30,41,23,25.0,7,7,6,27,12,84,-19.0,1,28,28,28,6,37,29,46,42,11,69,82,78,81,35,34,36,22,82,47,13,60,79,80,73,74
8,2009-10,1610612755,PHI,Philadelphia 76ers,0020901103,2010-03-30T00:00:00,PHI vs. OKC,L,48.0,36,76,0.474,3,11,0.273,18,22,0.818,6,30,36,19,17.0,5,4,4,19,18,93,-18.0,1,28,28,28,6,47,69,35,68,72,57,31,41,24,74,34,65,50,61,69,52,36,27,37,48,73
9,2009-10,1610612755,PHI,Philadelphia 76ers,0020901074,2010-03-26T00:00:00,PHI vs. ATL,W,48.0,41,83,0.494,6,16,0.375,17,25,0.68,15,25,40,25,15.0,15,3,3,18,17,105,7.0,1,1,1,1,6,17,29,24,25,46,27,39,20,62,15,65,41,10,43,1,64,25,16,53,22,17
