,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612756,PHX,Phoenix Suns,0040900316,2010-05-29T00:00:00,PHX vs. LAL,L,48.0,35,75,0.467,9,26,0.346,24,29,0.828,8,23,31,19,12.0,4,6,3,19,23,103,-8.0,1,11,11,11,1,13,13,10,9,6,11,4,7,4,10,16,16,10,4,11,3,3,2,8,12,13
1,2009-10,1610612756,PHX,Phoenix Suns,0040900315,2010-05-27T00:00:00,PHX @ LAL,L,48.0,36,77,0.468,9,27,0.333,20,29,0.69,12,28,40,19,15.0,7,8,10,21,24,101,-2.0,1,11,11,11,1,11,11,9,9,4,13,11,7,13,5,11,7,10,12,4,1,16,4,6,13,11
2,2009-10,1610612756,PHX,Phoenix Suns,0040900314,2010-05-25T00:00:00,PHX vs. LAL,W,48.0,41,84,0.488,11,30,0.367,22,32,0.688,18,33,51,23,8.0,3,3,7,12,23,115,9.0,1,1,1,1,1,3,4,7,4,2,9,7,3,14,1,2,1,4,3,15,9,12,1,8,3,5
3,2009-10,1610612756,PHX,Phoenix Suns,0040900313,2010-05-23T00:00:00,PHX vs. LAL,W,48.0,38,82,0.463,5,20,0.25,37,42,0.881,10,30,40,19,7.0,10,2,6,21,28,118,9.0,1,1,1,1,1,7,6,12,15,13,15,1,1,2,7,8,7,10,1,1,14,11,4,2,2,5
4,2009-10,1610612756,PHX,Phoenix Suns,0040900312,2010-05-19T00:00:00,PHX @ LAL,L,48.0,41,83,0.494,10,24,0.417,20,26,0.769,9,25,34,29,17.0,7,4,4,26,23,112,-12.0,1,11,11,11,1,3,5,5,6,8,5,11,11,8,9,14,14,1,15,4,6,5,14,8,4,15
5,2009-10,1610612756,PHX,Phoenix Suns,0040900311,2010-05-17T00:00:00,PHX @ LAL,L,48.0,39,79,0.494,5,22,0.227,24,32,0.75,10,24,34,25,12.0,6,3,3,23,21,107,-21.0,1,11,11,11,1,6,8,6,15,12,16,4,3,10,7,15,14,3,4,9,9,3,9,11,9,16
6,2009-10,1610612756,PHX,Phoenix Suns,0040900224,2010-05-09T00:00:00,PHX @ SAS,W,48.0,37,81,0.457,10,24,0.417,23,28,0.821,8,29,37,22,12.0,9,6,4,24,21,107,6.0,1,1,1,1,1,9,7,13,6,8,5,6,10,5,10,10,11,5,4,2,3,5,10,11,9,10
7,2009-10,1610612756,PHX,Phoenix Suns,0040900223,2010-05-07T00:00:00,PHX @ SAS,W,48.0,42,79,0.532,15,26,0.577,11,17,0.647,6,31,37,16,12.0,7,6,7,20,14,110,14.0,1,1,1,1,1,2,8,1,1,6,1,16,15,16,16,5,11,15,4,4,3,12,3,16,6,4
8,2009-10,1610612756,PHX,Phoenix Suns,0040900222,2010-05-05T00:00:00,PHX vs. SAS,W,48.0,36,85,0.424,9,19,0.474,29,37,0.784,18,31,49,19,14.0,6,1,8,21,31,110,8.0,1,1,1,1,1,11,3,15,9,16,3,2,2,7,1,5,2,10,11,9,16,15,4,1,6,9
9,2009-10,1610612756,PHX,Phoenix Suns,0040900221,2010-05-03T00:00:00,PHX vs. SAS,W,48.0,41,79,0.519,7,20,0.35,22,29,0.759,7,37,44,16,16.0,4,2,5,26,25,111,9.0,1,1,1,1,1,3,8,4,13,13,10,7,7,9,12,1,4,15,14,11,14,7,14,5,5,5
10,2009-10,1610612756,PHX,Phoenix Suns,0040900166,2010-04-29T00:00:00,PHX @ POR,W,48.0,35,74,0.473,12,23,0.522,17,26,0.654,7,33,40,21,17.0,7,8,5,22,21,99,9.0,1,1,1,1,1,13,14,8,3,10,2,13,11,15,12,2,7,6,15,4,1,7,7,11,15,5
