,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612757,POR,Portland Trail Blazers,0040900166,2010-04-29T00:00:00,POR vs. PHX,L,48.0,30,79,0.38,11,23,0.478,19,24,0.792,9,26,35,22,10.0,7,5,8,21,22,90,-9.0,1,3,3,3,1,5,2,6,1,1,1,4,5,2,5,3,4,2,2,3,2,6,3,5,3,3
1,2009-10,1610612757,POR,Portland Trail Blazers,0040900165,2010-04-26T00:00:00,POR @ PHX,L,48.0,32,69,0.464,7,18,0.389,17,24,0.708,9,20,29,21,15.0,8,5,3,28,24,88,-19.0,1,3,3,3,1,4,6,2,2,2,2,5,5,5,5,6,6,3,6,2,2,1,6,3,6,4
2,2009-10,1610612757,POR,Portland Trail Blazers,0040900164,2010-04-24T00:00:00,POR vs. PHX,W,48.0,35,79,0.443,5,14,0.357,21,28,0.75,12,33,45,26,7.0,4,2,4,20,24,96,9.0,1,1,1,1,1,2,2,3,4,5,3,3,3,3,2,2,1,1,1,5,5,4,2,3,2,1
3,2009-10,1610612757,POR,Portland Trail Blazers,0040900163,2010-04-22T00:00:00,POR vs. PHX,L,48.0,34,77,0.442,5,16,0.313,16,28,0.571,14,23,37,20,13.0,9,2,3,27,22,89,-19.0,1,3,3,3,1,3,4,4,4,4,6,6,3,6,1,4,3,4,5,1,5,1,5,5,5,4
4,2009-10,1610612757,POR,Portland Trail Blazers,0040900162,2010-04-20T00:00:00,POR @ PHX,L,48.0,29,76,0.382,4,12,0.333,28,33,0.848,11,23,34,12,10.0,3,5,3,24,28,90,-29.0,1,3,3,3,1,6,5,5,6,6,5,1,1,1,3,4,5,6,2,6,2,1,4,1,3,6
5,2009-10,1610612757,POR,Portland Trail Blazers,0040900161,2010-04-18T00:00:00,POR @ PHX,W,48.0,38,81,0.469,6,17,0.353,23,31,0.742,10,34,44,16,11.0,5,7,4,19,25,105,5.0,1,1,1,1,1,1,1,1,3,3,4,2,2,4,4,1,2,5,4,4,1,4,1,2,1,2
6,2009-10,1610612757,POR,Portland Trail Blazers,0020901229,2010-04-14T00:00:00,POR vs. GSW,L,48.0,44,87,0.506,10,26,0.385,18,24,0.75,9,34,43,32,14.0,3,2,4,21,18,116,-6.0,1,51,51,51,7,4,7,22,5,1,29,47,46,55,53,13,24,2,53,67,66,35,41,64,4,62
7,2009-10,1610612757,POR,Portland Trail Blazers,0020901210,2010-04-12T00:00:00,POR vs. OKC,W,48.0,40,80,0.5,3,15,0.2,20,27,0.741,8,27,35,20,8.0,7,3,3,23,25,103,8.0,1,1,1,1,7,16,32,23,67,54,72,37,29,60,61,51,66,38,6,24,45,25,53,15,25,29
8,2009-10,1610612757,POR,Portland Trail Blazers,0020901196,2010-04-11T00:00:00,POR @ LAL,W,48.0,36,80,0.45,6,15,0.4,13,15,0.867,12,34,46,19,11.0,0,5,6,23,18,91,3.0,1,1,1,1,7,41,32,52,31,54,23,69,75,16,24,13,14,48,30,82,24,62,53,64,65,45
9,2009-10,1610612757,POR,Portland Trail Blazers,0020901186,2010-04-09T00:00:00,POR vs. DAL,L,48.0,28,77,0.364,5,19,0.263,16,23,0.696,11,34,45,16,15.0,6,7,4,22,19,77,-6.0,1,51,51,51,7,77,46,76,44,27,65,57,49,68,36,13,17,66,66,39,7,35,47,53,79,62
