,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612758,SAC,Sacramento Kings,0020901215,2010-04-13T00:00:00,SAC @ LAL,L,48.0,43,90,0.478,5,16,0.313,9,14,0.643,15,26,41,27,12.0,10,3,5,21,15,100,-6.0,1,26,26,26,7,10,18,29,42,38,51,78,78,64,13,67,41,5,15,5,50,30,23,73,45,35
1,2009-10,1610612758,SAC,Sacramento Kings,0020901211,2010-04-12T00:00:00,SAC vs. HOU,L,48.0,41,85,0.482,5,12,0.417,20,24,0.833,7,29,36,21,13.0,9,2,5,20,17,107,-10.0,1,26,26,26,7,21,34,27,42,67,21,25,36,10,76,44,67,28,22,9,65,30,15,62,20,56
2,2009-10,1610612758,SAC,Sacramento Kings,0020901193,2010-04-10T00:00:00,SAC vs. DAL,L,48.0,40,85,0.471,4,10,0.4,24,29,0.828,14,27,41,14,13.0,7,2,7,22,20,108,-18.0,1,26,26,26,7,31,34,33,57,77,23,11,18,12,18,59,41,79,22,29,65,57,27,36,17,78
3,2009-10,1610612758,SAC,Sacramento Kings,0020901172,2010-04-08T00:00:00,SAC vs. LAC,W,48.0,50,92,0.543,4,11,0.364,12,15,0.8,14,33,47,20,9.0,6,3,4,13,14,116,22.0,1,1,1,1,7,1,12,4,57,73,34,67,73,14,18,21,23,38,3,40,50,12,1,78,5,2
4,2009-10,1610612758,SAC,Sacramento Kings,0020901157,2010-04-06T00:00:00,SAC vs. SAS,L,48.0,36,82,0.439,4,11,0.364,10,16,0.625,7,27,34,16,11.0,6,3,4,18,14,86,-9.0,1,26,26,26,7,53,46,54,57,73,34,74,70,71,76,59,72,71,9,40,50,12,8,78,73,53
5,2009-10,1610612758,SAC,Sacramento Kings,0020901140,2010-04-03T00:00:00,SAC vs. POR,L,48.0,35,76,0.461,5,17,0.294,12,20,0.6,11,27,38,19,15.0,6,5,7,23,17,87,-11.0,1,26,26,26,7,59,69,41,42,34,57,67,55,76,40,59,55,43,37,40,21,57,42,62,71,60
6,2009-10,1610612758,SAC,Sacramento Kings,0020901115,2010-03-31T00:00:00,SAC @ MIN,L,48.0,41,89,0.461,9,14,0.643,8,15,0.533,10,23,33,27,11.0,10,1,10,14,16,99,-9.0,1,26,26,26,7,21,22,40,7,55,1,80,73,80,54,79,77,5,9,5,76,77,2,69,47,53
7,2009-10,1610612758,SAC,Sacramento Kings,0020901102,2010-03-30T00:00:00,SAC @ IND,L,48.0,39,92,0.424,4,12,0.333,13,15,0.867,15,34,49,19,17.0,8,2,7,22,16,95,-7.0,1,26,26,26,7,36,12,67,57,67,42,61,73,4,13,18,14,43,54,16,65,57,27,69,56,39
8,2009-10,1610612758,SAC,Sacramento Kings,0020901087,2010-03-28T00:00:00,SAC @ CLE,L,48.0,34,79,0.43,6,12,0.5,16,20,0.8,11,31,42,23,15.0,8,2,5,17,18,90,-7.0,1,26,26,26,7,65,59,62,28,67,7,42,55,14,40,32,36,18,37,16,65,30,5,54,64,39
9,2009-10,1610612758,SAC,Sacramento Kings,0020901076,2010-03-26T00:00:00,SAC @ BOS,L,48.0,31,73,0.425,1,12,0.083,23,31,0.742,9,42,51,20,18.0,6,4,10,23,23,86,-8.0,1,26,26,26,7,77,77,66,82,67,82,12,15,37,63,2,10,38,64,40,38,77,42,16,73,48
