,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612759,SAS,San Antonio Spurs,0040900224,2010-05-09T00:00:00,SAS vs. PHX,L,48.0,35,75,0.467,4,11,0.364,27,36,0.75,7,35,42,20,16.0,9,4,6,21,24,101,-6.0,1,5,5,5,1,8,9,6,5,8,4,1,1,4,9,1,5,3,8,1,5,7,6,4,4,5
1,2009-10,1610612759,SAS,San Antonio Spurs,0040900223,2010-05-07T00:00:00,SAS vs. PHX,L,48.0,36,80,0.45,8,16,0.5,16,28,0.571,11,32,43,17,12.0,6,7,6,14,20,96,-14.0,1,5,5,5,1,7,3,9,1,4,2,7,4,10,4,4,2,9,4,7,2,7,1,8,6,9
2,2009-10,1610612759,SAS,San Antonio Spurs,0040900222,2010-05-05T00:00:00,SAS @ PHX,L,48.0,40,79,0.506,7,18,0.389,15,22,0.682,7,30,37,28,12.0,8,8,1,31,21,102,-8.0,1,5,5,5,1,1,4,1,3,2,3,8,8,6,9,7,8,1,4,2,1,1,10,7,1,7
3,2009-10,1610612759,SAS,San Antonio Spurs,0040900221,2010-05-03T00:00:00,SAS @ PHX,L,48.0,38,83,0.458,4,19,0.211,22,31,0.71,9,29,38,18,12.0,8,5,2,25,26,102,-9.0,1,5,5,5,1,4,1,7,5,1,8,2,2,5,6,8,7,7,4,2,3,2,8,2,1,8
4,2009-10,1610612759,SAS,San Antonio Spurs,0040900156,2010-04-29T00:00:00,SAS vs. DAL,W,48.0,37,78,0.474,4,12,0.333,19,31,0.613,12,31,43,23,8.0,7,4,4,17,27,97,10.0,1,1,1,1,1,5,5,5,5,7,7,5,2,9,2,6,2,2,1,5,5,3,4,1,5,2
5,2009-10,1610612759,SAS,San Antonio Spurs,0040900155,2010-04-27T00:00:00,SAS @ DAL,L,48.0,28,78,0.359,3,16,0.188,22,28,0.786,9,32,41,11,18.0,5,5,7,23,23,81,-22.0,1,5,5,5,1,10,5,10,9,4,9,2,4,2,6,4,6,10,10,8,3,10,7,5,10,10
6,2009-10,1610612759,SAS,San Antonio Spurs,0040900154,2010-04-25T00:00:00,SAS vs. DAL,W,48.0,34,75,0.453,6,17,0.353,18,28,0.643,10,33,43,19,12.0,8,4,5,20,22,92,3.0,1,1,1,1,1,9,9,8,4,3,6,6,4,7,5,3,2,4,4,2,5,6,5,6,9,4
7,2009-10,1610612759,SAS,San Antonio Spurs,0040900153,2010-04-23T00:00:00,SAS vs. DAL,W,48.0,37,76,0.487,0,7,0.0,20,26,0.769,12,24,36,19,11.0,5,4,4,16,25,94,4.0,1,1,1,1,1,5,8,3,10,10,10,4,7,3,2,10,10,4,3,8,5,3,3,3,7,3
8,2009-10,1610612759,SAS,San Antonio Spurs,0040900152,2010-04-21T00:00:00,SAS @ DAL,W,48.0,40,83,0.482,8,15,0.533,14,22,0.636,16,35,51,18,9.0,5,1,6,15,18,102,14.0,1,1,1,1,1,1,1,4,1,6,1,9,8,8,1,1,1,7,2,8,9,7,2,10,1,1
9,2009-10,1610612759,SAS,San Antonio Spurs,0040900151,2010-04-18T00:00:00,SAS @ DAL,L,48.0,39,78,0.5,4,11,0.364,12,14,0.857,8,29,37,19,17.0,7,1,4,28,20,94,-6.0,1,5,5,5,1,3,5,2,5,8,4,10,10,1,8,8,8,4,9,5,9,3,9,8,7,5
10,2009-10,1610612759,SAS,San Antonio Spurs,0020901220,2010-04-14T00:00:00,SAS @ DAL,L,48.0,37,91,0.407,2,22,0.091,13,20,0.65,11,41,52,18,11.0,9,3,7,17,15,89,-7.0,1,51,51,51,5,40,6,77,80,17,82,67,56,71,30,4,9,64,14,8,64,61,15,70,69,63
11,2009-10,1610612759,SAS,San Antonio Spurs,0020901208,2010-04-12T00:00:00,SAS vs. MIN,W,48.0,47,81,0.58,14,26,0.538,25,38,0.658,9,30,39,30,14.0,12,4,4,25,27,133,22.0,1,1,1,1,5,3,36,7,1,7,9,6,3,68,46,55,58,6,45,2,39,25,73,4,2,5
12,2009-10,1610612759,SAS,San Antonio Spurs,0020901192,2010-04-10T00:00:00,SAS @ DEN,W,48.0,34,74,0.459,6,19,0.316,30,45,0.667,12,36,48,23,18.0,9,2,5,20,29,104,19.0,1,1,1,1,5,62,73,44,41,38,52,2,1,62,24,16,15,27,72,8,74,38,36,2,27,10
13,2009-10,1610612759,SAS,San Antonio Spurs,0020901185,2010-04-09T00:00:00,SAS vs. MEM,L,48.0,33,75,0.44,9,28,0.321,24,32,0.75,7,32,39,22,13.0,7,5,5,22,23,99,-8.0,1,51,51,51,5,72,70,52,13,3,49,9,9,44,72,35,58,36,35,24,26,38,48,16,44,70
14,2009-10,1610612759,SAS,San Antonio Spurs,0020901170,2010-04-07T00:00:00,SAS @ PHX,L,48.0,39,82,0.476,6,25,0.24,17,28,0.607,20,26,46,21,19.0,4,4,4,20,23,101,-11.0,1,51,51,51,5,31,32,37,41,8,70,40,20,73,1,71,20,44,75,61,39,25,36,16,39,74
15,2009-10,1610612759,SAS,San Antonio Spurs,0020901157,2010-04-06T00:00:00,SAS @ SAC,W,48.0,37,79,0.468,5,18,0.278,16,18,0.889,8,35,43,22,11.0,4,4,3,14,18,95,9.0,1,1,1,1,5,40,50,40,54,42,65,46,66,5,58,19,33,36,14,61,39,15,2,60,56,35
16,2009-10,1610612759,SAS,San Antonio Spurs,0020901142,2010-04-04T00:00:00,SAS @ LAL,W,48.0,37,76,0.487,7,18,0.389,19,24,0.792,9,32,41,20,14.0,4,2,5,19,21,100,19.0,1,1,1,1,5,40,66,30,31,42,30,34,35,24,46,35,43,54,45,61,74,38,26,33,42,10
17,2009-10,1610612759,SAS,San Antonio Spurs,0020901129,2010-04-02T00:00:00,SAS vs. ORL,W,48.0,43,83,0.518,6,19,0.316,20,26,0.769,8,31,39,21,8.0,6,4,5,25,22,112,12.0,1,1,1,1,5,11,30,18,41,38,52,27,26,34,58,44,58,44,4,40,39,38,73,24,15,26
18,2009-10,1610612759,SAS,San Antonio Spurs,0020901117,2010-03-31T00:00:00,SAS vs. HOU,W,48.0,46,81,0.568,6,14,0.429,21,25,0.84,8,33,41,24,16.0,8,8,2,22,22,119,17.0,1,1,1,1,5,6,36,10,41,66,22,23,32,11,58,27,43,21,61,16,2,3,48,24,4,17
19,2009-10,1610612759,SAS,San Antonio Spurs,0020901098,2010-03-29T00:00:00,SAS @ NJN,L,48.0,34,82,0.415,5,15,0.333,11,20,0.55,16,37,53,23,16.0,1,4,2,19,19,84,-6.0,1,51,51,51,5,62,32,74,54,62,41,74,56,78,8,11,6,27,61,80,39,3,26,51,76,61
20,2009-10,1610612759,SAS,San Antonio Spurs,0020901095,2010-03-28T00:00:00,SAS @ BOS,W,48.0,34,78,0.436,6,23,0.261,20,24,0.833,14,34,48,21,16.0,7,4,2,22,19,94,21.0,1,1,1,1,5,62,56,53,41,15,68,27,35,15,14,23,15,44,61,24,39,3,48,51,60,7
21,2009-10,1610612759,SAS,San Antonio Spurs,0020901080,2010-03-26T00:00:00,SAS vs. CLE,W,48.0,37,78,0.474,6,17,0.353,22,27,0.815,9,33,42,26,16.0,5,5,2,19,19,102,5.0,1,1,1,1,5,40,56,38,41,50,37,19,24,22,46,27,37,16,61,53,26,3,26,51,36,44
22,2009-10,1610612759,SAS,San Antonio Spurs,0020901066,2010-03-24T00:00:00,SAS vs. LAL,L,48.0,30,80,0.375,8,27,0.296,15,19,0.789,14,31,45,16,14.0,6,7,5,20,21,83,-9.0,1,51,51,51,5,81,43,81,19,6,57,54,63,27,14,44,26,74,45,40,8,38,36,33,79,72
23,2009-10,1610612759,SAS,San Antonio Spurs,0020901049,2010-03-22T00:00:00,SAS @ OKC,W,48.0,37,85,0.435,8,25,0.32,17,24,0.708,8,30,38,18,11.0,3,2,8,22,23,99,3.0,1,1,1,1,5,40,20,55,19,8,50,40,35,56,58,55,62,64,14,73,74,67,48,16,44,45
24,2009-10,1610612759,SAS,San Antonio Spurs,0020901038,2010-03-21T00:00:00,SAS @ ATL,L,53.0,41,81,0.506,8,24,0.333,24,29,0.828,11,30,41,20,13.0,4,3,0,20,22,114,-5.0,1,51,51,51,1,22,36,24,19,11,41,9,19,17,30,55,43,54,35,61,64,1,36,24,11,56
25,2009-10,1610612759,SAS,San Antonio Spurs,0020901024,2010-03-19T00:00:00,SAS vs. GSW,W,48.0,62,96,0.646,6,18,0.333,17,32,0.531,14,39,53,39,10.0,3,7,5,16,25,147,31.0,1,1,1,1,5,1,2,1,41,42,41,40,9,79,14,7,6,1,8,73,8,38,9,8,1,1
26,2009-10,1610612759,SAS,San Antonio Spurs,0020901010,2010-03-17T00:00:00,SAS @ ORL,L,48.0,34,80,0.425,5,14,0.357,11,14,0.786,9,27,36,17,11.0,4,4,3,25,15,84,-26.0,1,51,51,51,5,62,43,62,54,66,36,74,76,28,46,65,71,70,14,61,39,15,73,70,76,82
27,2009-10,1610612759,SAS,San Antonio Spurs,0020900999,2010-03-16T00:00:00,SAS @ MIA,W,48.0,34,76,0.447,8,17,0.471,12,13,0.923,9,37,46,19,22.0,5,3,5,19,20,88,12.0,1,1,1,1,5,62,66,49,19,50,17,71,77,2,46,11,20,60,81,53,64,38,26,40,72,26
28,2009-10,1610612759,SAS,San Antonio Spurs,0020900981,2010-03-13T00:00:00,SAS vs. LAC,W,48.0,51,87,0.586,9,14,0.643,7,9,0.778,7,37,44,32,11.0,9,4,8,12,14,118,30.0,1,1,1,1,5,2,10,4,13,66,3,79,82,30,72,11,29,2,14,8,39,67,1,77,5,2
29,2009-10,1610612759,SAS,San Antonio Spurs,0020900970,2010-03-12T00:00:00,SAS @ MIN,W,48.0,42,85,0.494,5,22,0.227,14,18,0.778,11,37,48,24,11.0,9,6,4,20,18,103,18.0,1,1,1,1,5,17,20,28,54,17,73,63,66,30,30,11,15,21,14,8,15,25,36,60,32,15
30,2009-10,1610612759,SAS,San Antonio Spurs,0020900960,2010-03-10T00:00:00,SAS vs. NYK,W,48.0,36,80,0.45,8,20,0.4,17,22,0.773,13,40,53,19,17.0,7,4,3,21,20,97,10.0,1,1,1,1,5,51,43,48,19,34,27,40,46,33,19,6,6,60,69,24,39,15,44,40,51,33
31,2009-10,1610612759,SAS,San Antonio Spurs,0020900940,2010-03-08T00:00:00,SAS @ CLE,L,48.0,35,84,0.417,10,29,0.345,15,22,0.682,13,31,44,21,14.0,5,4,2,19,17,95,-2.0,1,51,51,51,5,57,27,73,8,2,40,54,46,60,19,44,29,44,45,53,39,3,26,64,56,51
32,2009-10,1610612759,SAS,San Antonio Spurs,0020900929,2010-03-06T00:00:00,SAS @ MEM,W,48.0,39,80,0.488,9,21,0.429,15,21,0.714,10,24,34,23,12.0,11,6,4,22,17,102,10.0,1,1,1,1,5,31,43,29,13,22,22,54,51,55,38,79,75,27,24,4,15,25,48,64,36,33
33,2009-10,1610612759,SAS,San Antonio Spurs,0020900923,2010-03-05T00:00:00,SAS vs. NOH,W,48.0,38,71,0.535,12,20,0.6,14,21,0.667,7,31,38,26,13.0,7,5,6,16,15,102,11.0,1,1,1,1,5,37,77,12,4,34,4,63,51,62,72,44,62,16,35,24,26,53,9,70,36,31
34,2009-10,1610612759,SAS,San Antonio Spurs,0020900891,2010-03-01T00:00:00,SAS @ NOH,W,48.0,42,83,0.506,8,23,0.348,14,17,0.824,9,32,41,23,9.0,7,8,4,19,14,106,14.0,1,1,1,1,5,17,30,26,19,15,39,63,70,18,46,35,43,27,5,24,2,25,26,77,23,23
35,2009-10,1610612759,SAS,San Antonio Spurs,0020900878,2010-02-28T00:00:00,SAS vs. PHX,W,48.0,43,85,0.506,4,14,0.286,23,28,0.821,10,31,41,23,12.0,6,4,9,16,20,113,3.0,1,1,1,1,5,11,20,27,65,66,59,13,20,19,38,44,43,27,24,40,39,71,9,40,12,45
36,2009-10,1610612759,SAS,San Antonio Spurs,0020900866,2010-02-26T00:00:00,SAS @ HOU,L,48.0,38,85,0.447,6,21,0.286,22,30,0.733,15,31,46,21,16.0,4,6,5,28,24,104,-5.0,1,51,51,51,5,37,20,50,41,22,59,19,16,53,12,44,20,44,61,61,15,38,80,11,27,56
37,2009-10,1610612759,SAS,San Antonio Spurs,0020900851,2010-02-24T00:00:00,SAS vs. OKC,W,48.0,33,78,0.423,6,17,0.353,23,30,0.767,10,35,45,16,11.0,7,4,5,22,22,95,8.0,1,1,1,1,5,72,56,65,41,50,37,13,16,37,38,19,26,74,14,24,39,38,48,24,56,37
38,2009-10,1610612759,SAS,San Antonio Spurs,0020900825,2010-02-21T00:00:00,SAS @ DET,L,53.0,34,81,0.42,6,21,0.286,27,33,0.818,8,24,32,21,12.0,7,4,4,28,26,101,-8.0,1,51,51,51,1,62,36,69,41,22,59,3,7,21,58,79,80,44,24,24,39,25,80,6,39,70
39,2009-10,1610612759,SAS,San Antonio Spurs,0020900805,2010-02-19T00:00:00,SAS @ PHI,L,48.0,36,86,0.419,5,21,0.238,17,19,0.895,11,28,39,21,12.0,6,1,7,20,16,94,-12.0,1,51,51,51,5,51,14,71,54,22,71,40,63,4,30,62,58,44,24,40,80,61,36,67,60,75
40,2009-10,1610612759,SAS,San Antonio Spurs,0020900791,2010-02-17T00:00:00,SAS @ IND,W,48.0,35,99,0.354,7,24,0.292,13,17,0.765,17,39,56,18,13.0,7,4,10,19,16,90,3.0,1,1,1,1,5,57,1,82,31,11,58,67,70,38,7,7,3,64,35,24,39,78,26,67,68,45
41,2009-10,1610612759,SAS,San Antonio Spurs,0020900780,2010-02-11T00:00:00,SAS @ DEN,W,48.0,41,77,0.532,9,19,0.474,20,30,0.667,12,33,45,24,17.0,8,3,6,29,23,111,19.0,1,1,1,1,5,22,63,13,13,38,16,27,16,62,24,27,26,21,69,16,64,53,82,16,19,10
42,2009-10,1610612759,SAS,San Antonio Spurs,0020900757,2010-02-08T00:00:00,SAS @ LAL,L,48.0,35,82,0.427,4,12,0.333,15,18,0.833,10,32,42,17,13.0,4,6,7,24,13,89,-12.0,1,51,51,51,5,57,32,60,65,77,41,54,66,15,38,35,37,70,35,61,15,61,67,81,69,75
43,2009-10,1610612759,SAS,San Antonio Spurs,0020900752,2010-02-06T00:00:00,SAS @ LAC,W,48.0,37,86,0.43,11,28,0.393,13,17,0.765,9,32,41,26,12.0,14,5,9,18,19,98,17.0,1,1,1,1,5,40,14,59,6,3,29,67,70,38,46,35,43,16,24,1,26,71,20,51,48,17
44,2009-10,1610612759,SAS,San Antonio Spurs,0020900730,2010-02-04T00:00:00,SAS @ POR,L,48.0,37,84,0.44,4,17,0.235,15,22,0.682,10,26,36,18,6.0,6,4,2,18,20,93,-3.0,1,51,51,51,5,40,27,51,65,50,72,54,46,60,38,71,71,64,1,40,39,3,20,40,64,52
45,2009-10,1610612759,SAS,San Antonio Spurs,0020900726,2010-02-03T00:00:00,SAS @ SAC,W,48.0,44,84,0.524,4,13,0.308,23,28,0.821,11,27,38,22,15.0,6,4,5,18,23,115,2.0,1,1,1,1,5,9,27,16,65,73,54,13,20,19,30,65,62,36,54,40,39,38,20,16,9,48
46,2009-10,1610612759,SAS,San Antonio Spurs,0020900695,2010-01-31T00:00:00,SAS vs. DEN,L,48.0,34,79,0.43,3,17,0.176,18,21,0.857,9,24,33,20,15.0,12,5,2,20,21,89,-14.0,1,51,51,51,5,62,50,58,77,50,79,37,51,7,46,79,77,54,54,2,26,3,36,33,69,79
47,2009-10,1610612759,SAS,San Antonio Spurs,0020900686,2010-01-29T00:00:00,SAS vs. MEM,W,48.0,42,87,0.483,8,19,0.421,12,18,0.667,13,25,38,26,14.0,7,5,6,17,20,104,7.0,1,1,1,1,5,17,10,33,19,38,24,71,66,62,19,76,62,16,45,24,26,53,15,40,27,40
48,2009-10,1610612759,SAS,San Antonio Spurs,0020900671,2010-01-27T00:00:00,SAS vs. ATL,W,48.0,40,92,0.435,4,16,0.25,21,28,0.75,19,41,60,29,9.0,2,5,4,16,21,105,15.0,1,1,1,1,5,26,5,56,65,56,69,23,20,44,3,4,1,9,5,79,26,25,9,33,25,21
49,2009-10,1610612759,SAS,San Antonio Spurs,0020900654,2010-01-25T00:00:00,SAS vs. CHI,L,48.0,39,93,0.419,3,14,0.214,12,20,0.6,18,25,43,17,10.0,9,5,9,14,15,93,-5.0,1,51,51,51,5,31,4,70,77,66,74,71,56,75,4,76,33,70,8,8,26,71,2,70,64,56
50,2009-10,1610612759,SAS,San Antonio Spurs,0020900633,2010-01-22T00:00:00,SAS vs. HOU,L,48.0,38,91,0.418,8,22,0.364,25,33,0.758,14,27,41,22,11.0,5,3,5,24,29,109,-7.0,1,51,51,51,5,37,6,72,19,17,35,6,7,43,14,65,43,36,14,53,64,38,67,2,20,63
51,2009-10,1610612759,SAS,San Antonio Spurs,0020900618,2010-01-20T00:00:00,SAS vs. UTA,L,48.0,35,89,0.393,6,21,0.286,22,26,0.846,15,31,46,19,16.0,6,7,9,21,23,98,-7.0,1,51,51,51,5,57,8,78,41,22,59,19,26,9,12,44,20,60,61,40,8,71,44,16,48,63
52,2009-10,1610612759,SAS,San Antonio Spurs,0020900601,2010-01-18T00:00:00,SAS @ NOH,W,48.0,33,78,0.423,7,18,0.389,24,38,0.632,16,34,50,13,10.0,4,2,3,17,23,97,7.0,1,1,1,1,5,72,56,65,31,42,30,9,3,72,8,23,11,82,8,61,74,15,15,16,51,40
53,2009-10,1610612759,SAS,San Antonio Spurs,0020900588,2010-01-16T00:00:00,SAS @ MEM,L,48.0,36,87,0.414,7,21,0.333,7,12,0.583,12,32,44,14,16.0,6,9,9,23,15,86,-6.0,1,51,51,51,5,51,10,75,31,22,41,79,79,77,24,35,29,79,61,40,1,71,59,70,73,61
54,2009-10,1610612759,SAS,San Antonio Spurs,0020900571,2010-01-15T00:00:00,SAS @ CHA,L,48.0,31,80,0.388,5,25,0.2,9,13,0.692,10,31,41,18,14.0,4,3,10,18,16,76,-16.0,1,51,51,51,5,80,43,79,54,8,75,77,77,58,38,44,43,64,45,61,64,78,20,67,82,81
55,2009-10,1610612759,SAS,San Antonio Spurs,0020900563,2010-01-13T00:00:00,SAS @ OKC,W,53.0,43,95,0.453,7,22,0.318,16,24,0.667,18,32,50,21,14.0,9,4,5,23,24,109,1.0,1,1,1,1,1,11,3,46,31,17,51,46,35,62,4,35,11,44,45,8,39,38,59,11,20,49
