,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612761,TOR,Toronto Raptors,0020901226,2010-04-14T00:00:00,TOR vs. NYK,W,48.0,52,80,0.65,7,14,0.5,20,25,0.8,4,29,33,28,11.0,9,5,1,20,19,131,18.0,1,1,1,1,5,1,46,1,26,62,12,38,38,24,76,53,70,10,18,8,35,2,25,49,1,6
1,2009-10,1610612761,TOR,Toronto Raptors,0020901204,2010-04-12T00:00:00,TOR @ DET,W,48.0,45,75,0.6,9,15,0.6,12,16,0.75,4,30,34,37,14.0,1,3,5,21,17,111,14.0,1,1,1,1,5,8,64,4,8,50,4,73,73,47,76,43,65,1,40,81,58,45,31,68,18,11
2,2009-10,1610612761,TOR,Toronto Raptors,0020901197,2010-04-11T00:00:00,TOR vs. CHI,L,48.0,37,90,0.411,5,21,0.238,9,15,0.6,9,32,41,22,8.0,6,4,6,18,14,88,-16.0,1,41,41,41,5,53,9,74,52,12,72,80,76,80,46,30,35,36,4,26,43,58,13,79,79,68
3,2009-10,1610612761,TOR,Toronto Raptors,0020901176,2010-04-09T00:00:00,TOR @ ATL,L,48.0,43,90,0.478,2,15,0.133,13,20,0.65,12,30,42,21,10.0,5,3,7,21,21,101,-6.0,1,41,41,41,5,13,9,42,77,50,79,68,64,74,17,43,30,41,13,41,58,68,31,36,48,48
4,2009-10,1610612761,TOR,Toronto Raptors,0020901159,2010-04-07T00:00:00,TOR vs. BOS,L,48.0,43,90,0.478,6,17,0.353,12,12,1.0,10,22,32,24,9.0,7,6,5,27,17,104,-11.0,1,41,41,41,5,13,9,42,42,37,43,73,80,1,38,76,73,26,7,17,18,45,66,68,39,59
5,2009-10,1610612761,TOR,Toronto Raptors,0020901150,2010-04-06T00:00:00,TOR @ CLE,L,48.0,39,83,0.47,7,20,0.35,16,20,0.8,8,28,36,25,9.0,5,0,2,12,13,101,-12.0,1,41,41,41,5,40,28,49,26,18,45,54,64,24,56,58,58,21,7,41,80,15,1,81,48,61
6,2009-10,1610612761,TOR,Toronto Raptors,0020901145,2010-04-04T00:00:00,TOR vs. GSW,L,48.0,36,92,0.391,3,12,0.25,37,45,0.822,17,38,55,15,10.0,9,5,3,23,28,112,-1.0,1,41,41,41,5,56,2,78,72,69,69,2,3,17,3,5,2,73,13,8,35,22,42,5,14,41
7,2009-10,1610612761,TOR,Toronto Raptors,0020901132,2010-04-03T00:00:00,TOR @ PHI,W,53.0,45,80,0.563,11,24,0.458,27,34,0.794,11,31,42,31,20.0,4,3,1,21,27,128,5.0,1,1,1,1,1,8,46,11,3,5,20,11,11,28,25,35,30,4,79,61,58,2,31,7,2,29
8,2009-10,1610612761,TOR,Toronto Raptors,0020901110,2010-03-31T00:00:00,TOR vs. LAC,W,48.0,47,77,0.61,7,15,0.467,13,18,0.722,5,34,39,30,12.0,6,8,4,14,18,114,22.0,1,1,1,1,5,4,54,2,26,50,18,68,70,59,68,20,43,7,27,26,5,31,4,59,13,4
9,2009-10,1610612761,TOR,Toronto Raptors,0020901097,2010-03-29T00:00:00,TOR @ CHA,W,48.0,40,79,0.506,8,18,0.444,15,24,0.625,10,28,38,22,11.0,5,6,5,25,20,103,2.0,1,1,1,1,5,29,51,27,16,33,23,59,44,76,38,58,50,36,18,41,18,45,57,43,42,35
10,2009-10,1610612761,TOR,Toronto Raptors,0020901091,2010-03-28T00:00:00,TOR @ MIA,L,48.0,35,72,0.486,7,15,0.467,17,20,0.85,5,24,29,19,15.0,10,2,6,24,16,94,-3.0,1,41,41,41,5,64,73,36,26,50,18,49,64,11,68,69,79,54,55,4,68,58,51,73,69,45
