,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612762,UTA,Utah Jazz,0040900234,2010-05-10T00:00:00,UTA vs. LAL,L,48.0,37,81,0.457,4,16,0.25,18,27,0.667,13,32,45,16,13.0,4,8,5,28,21,96,-15.0,1,5,5,5,1,7,5,7,10,8,10,9,8,8,2,3,1,10,6,6,1,4,6,8,10,10
1,2009-10,1610612762,UTA,Utah Jazz,0040900233,2010-05-08T00:00:00,UTA vs. LAL,L,48.0,37,77,0.481,10,22,0.455,26,31,0.839,13,29,42,23,11.0,4,4,5,21,25,110,-1.0,1,5,5,5,1,7,6,5,1,1,2,4,5,2,2,4,4,8,4,6,5,4,1,4,5,5
2,2009-10,1610612762,UTA,Utah Jazz,0040900232,2010-05-04T00:00:00,UTA @ LAL,L,48.0,38,96,0.396,8,19,0.421,19,28,0.679,19,21,40,27,10.0,10,4,13,28,21,103,-8.0,1,5,5,5,1,4,1,10,2,2,3,7,7,7,1,10,6,1,2,1,5,10,6,8,7,7
3,2009-10,1610612762,UTA,Utah Jazz,0040900231,2010-05-02T00:00:00,UTA @ LAL,L,48.0,38,85,0.447,5,18,0.278,18,21,0.857,11,27,38,24,11.0,8,2,7,26,20,99,-5.0,1,5,5,5,1,4,2,9,8,3,8,9,10,1,6,6,8,6,4,3,9,9,3,10,9,6
4,2009-10,1610612762,UTA,Utah Jazz,0040900176,2010-04-30T00:00:00,UTA vs. DEN,W,48.0,36,69,0.522,6,15,0.4,34,51,0.667,8,37,45,26,19.0,2,4,4,31,39,112,8.0,1,1,1,1,1,9,9,4,6,9,5,2,1,8,8,1,1,3,10,10,5,2,10,1,4,3
5,2009-10,1610612762,UTA,Utah Jazz,0040900175,2010-04-28T00:00:00,UTA @ DEN,L,48.0,38,84,0.452,7,18,0.389,19,25,0.76,13,28,41,19,16.0,4,5,5,26,25,102,-14.0,1,5,5,5,1,4,3,8,3,3,6,7,9,4,2,5,5,9,8,6,4,4,3,4,8,9
6,2009-10,1610612762,UTA,Utah Jazz,0040900174,2010-04-25T00:00:00,UTA vs. DEN,W,48.0,41,77,0.532,5,18,0.278,30,42,0.714,12,27,39,24,15.0,6,7,4,29,34,117,11.0,1,1,1,1,1,1,6,2,8,3,8,3,3,6,5,6,7,6,7,5,2,2,8,3,1,2
7,2009-10,1610612762,UTA,Utah Jazz,0040900173,2010-04-23T00:00:00,UTA vs. DEN,W,48.0,39,83,0.47,7,18,0.389,20,31,0.645,10,33,43,27,9.0,10,0,6,26,25,105,12.0,1,1,1,1,1,3,4,6,3,3,6,6,5,10,7,2,3,1,1,1,10,7,3,4,6,1
8,2009-10,1610612762,UTA,Utah Jazz,0040900172,2010-04-19T00:00:00,UTA @ DEN,W,48.0,36,68,0.529,6,13,0.462,36,47,0.766,6,26,32,26,18.0,7,4,6,30,37,114,3.0,1,1,1,1,1,9,10,3,6,10,1,1,2,3,9,9,9,3,9,4,5,7,9,2,2,4
9,2009-10,1610612762,UTA,Utah Jazz,0040900171,2010-04-17T00:00:00,UTA @ DEN,L,48.0,41,75,0.547,7,17,0.412,24,32,0.75,4,27,31,26,10.0,4,6,3,25,25,113,-13.0,1,5,5,5,1,1,8,1,3,7,4,5,4,5,10,6,10,3,2,6,3,1,2,4,3,8
10,2009-10,1610612762,UTA,Utah Jazz,0020901230,2010-04-14T00:00:00,UTA vs. PHX,L,48.0,30,80,0.375,7,19,0.368,19,24,0.792,10,31,41,17,19.0,5,2,10,26,23,86,-14.0,1,54,54,54,4,79,42,80,19,15,38,42,52,24,40,39,46,81,65,67,71,72,64,28,75,75
11,2009-10,1610612762,UTA,Utah Jazz,0020901214,2010-04-13T00:00:00,UTA @ GSW,W,48.0,41,85,0.482,5,18,0.278,16,20,0.8,15,46,61,29,22.0,10,3,4,23,19,103,9.0,1,1,1,1,4,31,18,50,37,20,53,56,69,21,8,1,1,21,76,20,58,27,44,64,45,33
12,2009-10,1610612762,UTA,Utah Jazz,0020901182,2010-04-09T00:00:00,UTA @ NOH,W,48.0,44,80,0.55,8,20,0.4,18,24,0.75,7,34,41,32,12.0,10,4,4,23,18,114,11.0,1,1,1,1,4,11,42,15,11,10,28,51,52,40,67,24,46,7,16,20,45,27,44,70,16,27
13,2009-10,1610612762,UTA,Utah Jazz,0020901168,2010-04-07T00:00:00,UTA @ HOU,L,48.0,39,79,0.494,3,14,0.214,15,21,0.714,12,30,42,25,26.0,9,5,3,23,20,96,-17.0,1,54,54,54,4,41,46,44,59,44,72,62,64,52,30,43,38,53,81,28,30,11,44,56,63,79
14,2009-10,1610612762,UTA,Utah Jazz,0020901156,2010-04-06T00:00:00,UTA vs. OKC,W,53.0,49,94,0.521,12,21,0.571,30,37,0.811,16,27,43,29,16.0,7,2,11,31,27,140,1.0,1,1,1,1,1,2,1,28,2,4,7,4,10,20,6,65,31,21,48,46,71,79,79,9,1,52
15,2009-10,1610612762,UTA,Utah Jazz,0020901131,2010-04-02T00:00:00,UTA @ LAL,L,48.0,38,85,0.447,4,15,0.267,12,21,0.571,9,36,45,22,14.0,6,4,6,26,23,92,-14.0,1,54,54,54,4,47,18,62,48,36,59,79,64,78,46,12,19,68,34,56,45,45,64,28,70,75
16,2009-10,1610612762,UTA,Utah Jazz,0020901119,2010-03-31T00:00:00,UTA vs. GSW,W,48.0,46,87,0.529,8,19,0.421,28,38,0.737,14,43,57,37,17.0,9,5,2,31,25,128,24.0,1,1,1,1,4,4,12,23,11,15,26,10,7,47,13,2,2,2,57,28,30,5,79,16,4,5
17,2009-10,1610612762,UTA,Utah Jazz,0020901101,2010-03-29T00:00:00,UTA vs. NYK,W,48.0,41,80,0.513,9,16,0.563,12,18,0.667,7,37,44,24,16.0,6,5,3,21,19,103,5.0,1,1,1,1,4,31,42,33,7,31,8,79,75,60,67,9,23,58,48,56,30,11,29,64,45,46
18,2009-10,1610612762,UTA,Utah Jazz,0020901082,2010-03-27T00:00:00,UTA @ WAS,W,48.0,39,66,0.591,5,12,0.417,20,26,0.769,5,40,45,32,23.0,7,8,3,22,23,103,16.0,1,1,1,1,4,41,81,7,37,53,27,36,38,31,77,5,19,7,78,46,8,11,35,28,45,18
19,2009-10,1610612762,UTA,Utah Jazz,0020901072,2010-03-26T00:00:00,UTA @ IND,L,48.0,37,86,0.43,10,18,0.556,22,26,0.846,12,37,49,27,15.0,6,5,10,24,20,106,-16.0,1,54,54,54,4,55,15,66,6,20,10,25,38,14,30,9,7,41,39,56,30,72,50,56,34,78
20,2009-10,1610612762,UTA,Utah Jazz,0020901061,2010-03-24T00:00:00,UTA @ TOR,W,48.0,43,87,0.494,8,20,0.4,19,27,0.704,14,38,52,31,15.0,11,7,9,25,20,113,26.0,1,1,1,1,4,17,12,42,11,10,28,42,32,55,13,8,5,13,39,13,12,69,56,56,17,4
21,2009-10,1610612762,UTA,Utah Jazz,0020901050,2010-03-22T00:00:00,UTA vs. BOS,W,48.0,38,74,0.514,7,21,0.333,27,31,0.871,8,32,40,25,18.0,9,5,6,28,23,110,13.0,1,1,1,1,4,47,66,32,19,4,42,13,23,9,53,33,54,53,63,28,30,45,74,28,26,22
22,2009-10,1610612762,UTA,Utah Jazz,0020901035,2010-03-20T00:00:00,UTA vs. NOH,W,48.0,43,77,0.558,3,13,0.231,17,26,0.654,11,30,41,28,12.0,12,4,6,20,16,106,20.0,1,1,1,1,4,17,56,14,59,49,70,53,38,66,37,43,46,29,16,10,45,45,16,80,34,14
23,2009-10,1610612762,UTA,Utah Jazz,0020901025,2010-03-19T00:00:00,UTA @ PHX,L,48.0,34,88,0.386,0,9,0.0,32,39,0.821,18,30,48,23,15.0,14,2,10,28,29,100,-10.0,1,54,54,54,4,70,10,78,79,74,79,2,5,19,3,43,11,64,39,3,71,72,74,1,53,69
