,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2009-10,1610612764,WAS,Washington Wizards,0020901227,2010-04-14T00:00:00,WAS vs. IND,W,48.0,37,77,0.481,4,15,0.267,20,27,0.741,9,38,47,20,20.0,9,4,3,23,22,98,1.0,1,1,1,1,6,33,61,24,48,39,61,20,20,48,59,7,16,31,76,11,50,15,50,26,33,24
1,2009-10,1610612764,WAS,Washington Wizards,0020901206,2010-04-12T00:00:00,WAS @ NYK,L,48.0,41,82,0.5,10,17,0.588,11,19,0.579,14,27,41,25,17.0,8,7,1,21,20,103,-11.0,1,27,27,27,6,14,36,14,4,26,5,74,60,76,23,59,42,6,56,15,16,1,39,43,26,54
2,2009-10,1610612764,WAS,Washington Wizards,0020901189,2010-04-10T00:00:00,WAS vs. ATL,L,48.0,40,79,0.506,7,12,0.583,8,12,0.667,13,26,39,26,17.0,1,4,8,17,15,95,-10.0,1,27,27,27,6,21,51,11,16,60,6,78,80,64,30,63,55,4,56,82,50,69,9,73,40,52
3,2009-10,1610612764,WAS,Washington Wizards,0020901177,2010-04-09T00:00:00,WAS @ BOS,W,48.0,37,76,0.487,5,13,0.385,27,35,0.771,10,39,49,25,19.0,6,6,4,19,27,106,10.0,1,1,1,1,6,33,69,21,36,53,28,7,3,43,51,4,9,6,69,28,27,26,22,4,18,6
4,2009-10,1610612764,WAS,Washington Wizards,0020901166,2010-04-07T00:00:00,WAS @ ORL,L,48.0,39,78,0.5,4,10,0.4,12,14,0.857,5,22,27,18,14.0,2,2,6,24,17,94,-27.0,1,27,27,27,6,25,57,14,48,69,24,67,76,14,77,76,81,47,28,78,70,46,62,67,44,81
5,2009-10,1610612764,WAS,Washington Wizards,0020901152,2010-04-06T00:00:00,WAS vs. GSW,W,48.0,44,85,0.518,8,18,0.444,16,20,0.8,17,35,52,22,15.0,3,8,7,18,19,112,18.0,1,1,1,1,6,6,20,9,10,17,17,43,53,29,6,15,5,19,40,72,7,60,12,49,6,2
6,2009-10,1610612764,WAS,Washington Wizards,0020901146,2010-04-04T00:00:00,WAS vs. NJN,W,48.0,38,77,0.494,4,6,0.667,29,34,0.853,11,29,40,28,15.0,9,3,5,17,25,109,10.0,1,1,1,1,6,29,61,18,48,80,1,6,6,18,46,42,49,2,40,11,61,33,9,10,9,6
7,2009-10,1610612764,WAS,Washington Wizards,0020901124,2010-04-02T00:00:00,WAS vs. CHI,L,48.0,32,85,0.376,6,14,0.429,17,20,0.85,14,30,44,21,13.0,4,4,6,20,18,87,-8.0,1,27,27,27,6,66,20,76,22,43,20,38,53,19,23,37,28,24,22,56,50,46,30,60,64,48
8,2009-10,1610612764,WAS,Washington Wizards,0020901116,2010-03-31T00:00:00,WAS @ NOH,W,48.0,38,68,0.559,3,6,0.5,17,21,0.81,4,24,28,18,14.0,4,4,1,18,22,96,5.0,1,1,1,1,6,29,80,3,65,80,10,38,46,28,78,71,79,47,28,56,50,1,12,26,37,18
9,2009-10,1610612764,WAS,Washington Wizards,0020901106,2010-03-30T00:00:00,WAS @ HOU,L,48.0,37,85,0.435,2,14,0.143,18,25,0.72,17,29,46,14,16.0,5,9,4,21,17,94,-4.0,1,27,27,27,6,33,20,51,74,43,76,32,28,53,6,42,24,68,48,44,2,26,39,67,44,39
10,2009-10,1610612764,WAS,Washington Wizards,0020901082,2010-03-27T00:00:00,WAS vs. UTA,L,48.0,33,86,0.384,6,18,0.333,15,22,0.682,14,21,35,21,12.0,7,3,8,23,22,87,-16.0,1,27,27,27,6,61,18,73,22,17,41,53,39,63,23,78,68,24,16,23,61,69,50,26,64,70
11,2009-10,1610612764,WAS,Washington Wizards,0020901071,2010-03-26T00:00:00,WAS @ CHA,L,48.0,34,71,0.479,12,20,0.6,16,19,0.842,4,22,26,22,18.0,9,3,8,26,20,96,-11.0,1,27,27,27,6,54,76,27,1,9,3,43,60,20,78,76,82,19,62,11,61,69,70,43,37,54
12,2009-10,1610612764,WAS,Washington Wizards,0020901060,2010-03-24T00:00:00,WAS @ IND,L,48.0,35,96,0.365,4,12,0.333,8,13,0.615,16,41,57,11,13.0,5,3,8,21,18,82,-17.0,1,27,27,27,6,45,3,79,48,60,41,78,78,73,11,2,2,81,22,44,61,69,39,60,75,73
13,2009-10,1610612764,WAS,Washington Wizards,0020901053,2010-03-23T00:00:00,WAS vs. CHA,L,53.0,33,83,0.398,6,17,0.353,14,17,0.824,11,31,42,17,18.0,5,5,1,34,23,86,-9.0,1,27,27,27,2,61,32,62,22,26,37,58,68,25,46,28,38,52,62,44,36,1,82,16,69,50
14,2009-10,1610612764,WAS,Washington Wizards,0020901041,2010-03-21T00:00:00,WAS @ LAL,L,48.0,37,76,0.487,6,14,0.429,12,17,0.706,10,21,31,24,13.0,11,2,6,16,14,92,-7.0,1,27,27,27,6,33,69,21,22,43,20,67,68,56,51,78,76,10,22,5,70,46,7,75,50,47
15,2009-10,1610612764,WAS,Washington Wizards,0020901026,2010-03-19T00:00:00,WAS @ POR,L,48.0,30,77,0.39,3,8,0.375,11,18,0.611,12,37,49,13,14.0,2,5,6,20,19,74,-2.0,1,27,27,27,6,76,61,69,65,77,32,74,64,74,38,10,9,72,28,78,36,46,30,49,81,29
16,2009-10,1610612764,WAS,Washington Wizards,0020901002,2010-03-16T00:00:00,WAS @ DEN,L,48.0,34,78,0.436,4,11,0.364,15,26,0.577,12,28,40,15,16.0,5,7,2,24,25,87,-10.0,1,27,27,27,6,54,57,49,48,66,34,53,23,77,38,50,49,62,48,44,16,8,62,10,64,52
17,2009-10,1610612764,WAS,Washington Wizards,0020900994,2010-03-15T00:00:00,WAS @ UTA,L,48.0,31,84,0.369,3,9,0.333,24,30,0.8,19,29,48,17,15.0,4,7,6,23,26,89,-23.0,1,27,27,27,6,72,25,77,65,74,41,11,12,29,2,42,12,52,40,56,16,46,50,8,56,77
18,2009-10,1610612764,WAS,Washington Wizards,0020900977,2010-03-13T00:00:00,WAS vs. ORL,L,48.0,40,82,0.488,2,9,0.222,13,17,0.765,9,21,30,24,10.0,4,6,7,19,20,95,-14.0,1,27,27,27,6,21,36,20,74,74,71,64,68,45,59,78,78,10,5,56,27,60,22,43,40,66
19,2009-10,1610612764,WAS,Washington Wizards,0020900968,2010-03-12T00:00:00,WAS @ DET,L,48.0,33,74,0.446,4,11,0.364,17,22,0.773,9,26,35,23,17.0,4,2,6,19,20,87,-14.0,1,27,27,27,6,61,73,42,48,66,34,38,39,42,59,63,68,14,56,56,70,46,22,43,64,66
20,2009-10,1610612764,WAS,Washington Wizards,0020900742,2010-03-11T00:00:00,WAS vs. ATL,L,48.0,39,79,0.494,1,13,0.077,20,22,0.909,17,25,42,20,21.0,9,1,6,23,22,99,-6.0,1,27,27,27,6,25,51,17,78,53,81,20,39,3,6,69,38,31,80,11,78,46,50,26,32,46
21,2009-10,1610612764,WAS,Washington Wizards,0020900948,2010-03-09T00:00:00,WAS vs. HOU,L,48.0,35,83,0.422,3,12,0.25,15,16,0.938,10,31,41,22,18.0,6,8,3,22,17,88,-8.0,1,27,27,27,6,45,32,57,65,60,63,53,74,1,51,28,42,19,62,28,7,15,43,67,61,48
22,2009-10,1610612764,WAS,Washington Wizards,0020900937,2010-03-07T00:00:00,WAS @ BOS,L,48.0,31,68,0.456,1,11,0.091,20,24,0.833,6,30,36,13,19.0,8,8,1,18,21,83,-3.0,1,27,27,27,6,72,80,37,78,66,80,20,32,22,74,37,65,72,69,15,7,1,12,35,74,36
23,2009-10,1610612764,WAS,Washington Wizards,0020900918,2010-03-05T00:00:00,WAS vs. MIL,L,48.0,31,82,0.378,0,5,0.0,12,21,0.571,14,28,42,10,14.0,3,9,5,22,19,74,-28.0,1,27,27,27,6,72,36,74,82,82,82,67,46,79,23,50,38,82,28,72,2,33,43,49,81,82
